# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ACHUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-01-10T10:00:00+00:00Z
# t0_final_iso,2022-01-10T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ff207b10a40cfe3b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-01-10T10:00:00+00:00Z,2022-01-10T10:59:59.999000+00:00Z,0.06464,0.09727,0.06464,0.07795,234803725.0,19882811.08205,51993,125356553.0,10621878.16508
2022-01-10T11:00:00+00:00Z,2022-01-10T11:59:59.999000+00:00Z,0.0778,0.08046,0.07063,0.07171,97852843.0,7292548.56116,17644,49144376.0,3677957.33498
2022-01-10T12:00:00+00:00Z,2022-01-10T12:59:59.999000+00:00Z,0.07173,0.07476,0.06961,0.07387,70033739.0,5056356.50419,11238,38814239.0,2804958.54434
2022-01-10T13:00:00+00:00Z,2022-01-10T13:59:59.999000+00:00Z,0.07387,0.07607,0.06973,0.07229,71970519.0,5257085.00259,13444,32826221.0,2403475.71821
2022-01-10T14:00:00+00:00Z,2022-01-10T14:59:59.999000+00:00Z,0.0724,0.085,0.06918,0.07345,109446947.0,8093990.08637,20292,57810935.0,4299335.15706
2022-01-10T15:00:00+00:00Z,2022-01-10T15:59:59.999000+00:00Z,0.07335,0.0886,0.07245,0.07704,136866539.0,10826272.05247,32513,72140118.0,5727890.35922
2022-01-10T16:00:00+00:00Z,2022-01-10T16:59:59.999000+00:00Z,0.07732,0.08249,0.0762,0.08171,69229411.0,5477765.67565,15937,34972747.0,2769351.11011
2022-01-10T17:00:00+00:00Z,2022-01-10T17:59:59.999000+00:00Z,0.08183,0.098,0.08158,0.08683,280497137.0,24721506.97354,70585,154448886.0,13634465.37598
2022-01-10T18:00:00+00:00Z,2022-01-10T18:59:59.999000+00:00Z,0.08683,0.08925,0.08009,0.08067,107967881.0,9047249.20677,25981,49770851.0,4190308.9517
2022-01-10T19:00:00+00:00Z,2022-01-10T19:59:59.999000+00:00Z,0.08069,0.08396,0.07825,0.07979,56075702.0,4540363.01371,16452,29167943.0,2362838.99023
2022-01-10T20:00:00+00:00Z,2022-01-10T20:59:59.999000+00:00Z,0.07969,0.082,0.07501,0.07593,56796320.0,4445580.36487,13868,24669276.0,1933799.69571
2022-01-10T21:00:00+00:00Z,2022-01-10T21:59:59.999000+00:00Z,0.07583,0.0798,0.0742,0.07859,51362997.0,3978212.33666,11777,26552174.0,2056219.77919
