# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ACMUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-02-24T11:00:00+00:00Z
# t0_final_iso,2021-02-24T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7995e002ba92aae8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-02-24T11:00:00+00:00Z,2021-02-24T11:59:59.999000+00:00Z,6.5,25.46,6.5,24.422,4305844.452,91325387.194922,144881,2287600.352,48744980.774904
2021-02-24T12:00:00+00:00Z,2021-02-24T12:59:59.999000+00:00Z,24.426,24.493,20.576,21.5,1102130.894,24397599.955614,45052,506590.573,11194552.861923
2021-02-24T13:00:00+00:00Z,2021-02-24T13:59:59.999000+00:00Z,21.445,21.622,18.438,19.0,610255.267,12139567.517972,23669,278962.292,5550697.552491
2021-02-24T14:00:00+00:00Z,2021-02-24T14:59:59.999000+00:00Z,19.0,20.132,18.2,18.54,350130.166,6691489.667894,16995,180120.396,3450228.046249
2021-02-24T15:00:00+00:00Z,2021-02-24T15:59:59.999000+00:00Z,18.539,19.58,18.349,19.5,197223.909,3770022.67068,9820,98782.759,1889169.82579
2021-02-24T16:00:00+00:00Z,2021-02-24T16:59:59.999000+00:00Z,19.455,19.498,18.5,18.515,126274.615,2395613.828869,6882,68107.796,1292690.270976
2021-02-24T17:00:00+00:00Z,2021-02-24T17:59:59.999000+00:00Z,18.558,18.896,16.7,17.134,243162.86,4299665.967228,11364,85743.863,1509829.485569
2021-02-24T18:00:00+00:00Z,2021-02-24T18:59:59.999000+00:00Z,17.045,17.31,16.7,16.98,105981.692,1800585.029781,7736,55373.8,941901.790052
2021-02-24T19:00:00+00:00Z,2021-02-24T19:59:59.999000+00:00Z,16.932,16.971,15.28,16.125,183375.055,2954357.703416,10031,82563.992,1330002.692495
2021-02-24T20:00:00+00:00Z,2021-02-24T20:59:59.999000+00:00Z,16.072,17.88,16.067,16.421,167713.88,2851931.908464,10229,85250.754,1451047.943699
2021-02-24T21:00:00+00:00Z,2021-02-24T21:59:59.999000+00:00Z,16.464,16.832,15.388,15.998,111311.348,1777394.004459,8028,56241.43,899940.468527
2021-02-24T22:00:00+00:00Z,2021-02-24T22:59:59.999000+00:00Z,15.962,16.699,15.2,15.951,83970.436,1332087.868619,4741,41390.713,658226.221488
2021-02-24T23:00:00+00:00Z,2021-02-24T23:59:59.999000+00:00Z,16.007,18.59,15.811,17.822,182929.068,3163120.799246,8490,104517.986,1811843.424945
2021-02-25T00:00:00+00:00Z,2021-02-25T00:59:59.999000+00:00Z,17.909,18.6,15.979,17.122,208911.644,3587063.388299,12074,101449.966,1744746.844623
2021-02-25T01:00:00+00:00Z,2021-02-25T01:59:59.999000+00:00Z,17.07,17.122,16.162,16.56,51110.919,846788.714078,3890,23280.645,386277.4232
2021-02-25T02:00:00+00:00Z,2021-02-25T02:59:59.999000+00:00Z,16.55,17.1,15.544,15.737,96124.294,1560647.655522,5192,47075.626,766911.506518
2021-02-25T03:00:00+00:00Z,2021-02-25T03:59:59.999000+00:00Z,15.737,15.95,14.642,14.975,99067.952,1508311.909923,5473,43865.588,668821.440309
2021-02-25T04:00:00+00:00Z,2021-02-25T04:59:59.999000+00:00Z,14.973,15.913,14.66,14.908,68890.946,1046033.204549,4651,33662.296,511950.766052
2021-02-25T05:00:00+00:00Z,2021-02-25T05:59:59.999000+00:00Z,14.916,15.871,14.701,15.508,68897.606,1059796.161473,3669,29979.523,460071.423939
2021-02-25T06:00:00+00:00Z,2021-02-25T06:59:59.999000+00:00Z,15.431,16.3,14.859,15.62,84232.382,1312574.496138,4968,40457.812,633386.628682
2021-02-25T07:00:00+00:00Z,2021-02-25T07:59:59.999000+00:00Z,15.614,16.515,15.289,16.225,102551.416,1636578.45911,6708,56740.739,908621.573325
2021-02-25T08:00:00+00:00Z,2021-02-25T08:59:59.999000+00:00Z,16.227,22.348,16.227,19.072,924048.59,18015310.358423,43383,506010.906,9866347.05439
2021-02-25T09:00:00+00:00Z,2021-02-25T09:59:59.999000+00:00Z,19.001,21.0,17.312,18.966,647748.43,12209885.283282,25281,333779.28,6307218.132854
2021-02-25T10:00:00+00:00Z,2021-02-25T10:59:59.999000+00:00Z,18.966,21.98,18.4,20.547,460866.693,9410565.634534,25274,233350.368,4775040.895937
2021-02-25T11:00:00+00:00Z,2021-02-25T11:59:59.999000+00:00Z,20.562,21.5,18.017,19.334,383072.223,7426780.555921,21195,187853.977,3658840.639858
2021-02-25T12:00:00+00:00Z,2021-02-25T12:59:59.999000+00:00Z,19.32,20.4,17.625,18.273,227865.333,4304123.481554,14153,95986.212,1826543.145489
2021-02-25T13:00:00+00:00Z,2021-02-25T13:59:59.999000+00:00Z,18.166,18.545,16.79,17.543,197726.692,3494179.959128,11087,79636.567,1419714.905233
2021-02-25T14:00:00+00:00Z,2021-02-25T14:59:59.999000+00:00Z,17.543,18.2,16.8,17.981,129845.034,2266516.800678,7521,68283.68,1194506.471557
2021-02-25T15:00:00+00:00Z,2021-02-25T15:59:59.999000+00:00Z,17.98,18.2,17.0,17.35,87671.53,1525432.93586,5038,38338.273,667399.019968
2021-02-25T16:00:00+00:00Z,2021-02-25T16:59:59.999000+00:00Z,17.35,17.96,17.1,17.238,55466.139,970260.148786,3683,24206.836,423774.540691
2021-02-25T17:00:00+00:00Z,2021-02-25T17:59:59.999000+00:00Z,17.238,17.265,16.438,16.568,59851.698,997451.640236,3233,25825.467,430215.378896
2021-02-25T18:00:00+00:00Z,2021-02-25T18:59:59.999000+00:00Z,16.5,17.396,16.252,16.354,54552.783,917344.865972,4616,28789.161,484859.935651
2021-02-25T19:00:00+00:00Z,2021-02-25T19:59:59.999000+00:00Z,16.429,16.915,15.978,16.572,37784.55,620313.232568,2645,17403.903,286896.250649
2021-02-25T20:00:00+00:00Z,2021-02-25T20:59:59.999000+00:00Z,16.553,16.615,16.037,16.387,19886.982,325403.475764,1989,8436.328,138199.930417
2021-02-25T21:00:00+00:00Z,2021-02-25T21:59:59.999000+00:00Z,16.274,16.597,15.6,15.85,36436.565,587137.24003,2689,14527.879,234722.212115
2021-02-25T22:00:00+00:00Z,2021-02-25T22:59:59.999000+00:00Z,15.85,15.914,14.81,14.86,72409.349,1102846.185328,3753,27060.85,413780.587173
2021-02-25T23:00:00+00:00Z,2021-02-25T23:59:59.999000+00:00Z,14.956,15.499,14.199,14.23,58187.297,855804.633171,2372,18705.355,277825.768545
2021-02-26T00:00:00+00:00Z,2021-02-26T00:59:59.999000+00:00Z,14.229,14.299,13.02,14.047,66446.342,913360.240273,3040,27407.52,378120.638597
2021-02-26T01:00:00+00:00Z,2021-02-26T01:59:59.999000+00:00Z,14.046,15.45,13.905,14.92,74210.671,1095886.736178,3391,31231.513,461407.86016
2021-02-26T02:00:00+00:00Z,2021-02-26T02:59:59.999000+00:00Z,14.881,15.836,14.88,15.16,35427.99,543204.687733,2338,18126.536,278447.42651
2021-02-26T03:00:00+00:00Z,2021-02-26T03:59:59.999000+00:00Z,15.16,15.331,14.009,14.345,35383.025,512031.734984,1600,20028.358,289220.906161
2021-02-26T04:00:00+00:00Z,2021-02-26T04:59:59.999000+00:00Z,14.425,14.895,14.253,14.42,11748.214,170671.772468,923,3887.545,56583.243576
2021-02-26T05:00:00+00:00Z,2021-02-26T05:59:59.999000+00:00Z,14.507,14.543,12.73,13.387,45916.109,616813.040731,2719,18060.839,243751.616337
2021-02-26T06:00:00+00:00Z,2021-02-26T06:59:59.999000+00:00Z,13.3,13.56,12.822,13.196,32337.014,426664.34515,1814,14947.185,197567.580353
2021-02-26T07:00:00+00:00Z,2021-02-26T07:59:59.999000+00:00Z,13.196,13.566,12.336,12.5,57782.204,742324.86459,2023,18754.033,241406.256319
2021-02-26T08:00:00+00:00Z,2021-02-26T08:59:59.999000+00:00Z,12.5,14.22,12.49,13.77,51796.057,701092.466926,2174,29865.191,403172.22538
2021-02-26T09:00:00+00:00Z,2021-02-26T09:59:59.999000+00:00Z,13.723,14.547,13.401,14.18,53360.408,745568.985925,2695,27019.367,377056.873444
2021-02-26T10:00:00+00:00Z,2021-02-26T10:59:59.999000+00:00Z,14.196,14.215,13.466,13.466,40629.531,560691.161746,2063,18155.909,250490.372176
2021-02-26T11:00:00+00:00Z,2021-02-26T11:59:59.999000+00:00Z,13.466,13.855,13.2,13.493,24283.13,326626.090022,1845,12736.965,171560.86713
2021-02-26T12:00:00+00:00Z,2021-02-26T12:59:59.999000+00:00Z,13.364,14.5,13.363,13.536,33094.435,461493.51843,2053,17779.086,248725.094287
2021-02-26T13:00:00+00:00Z,2021-02-26T13:59:59.999000+00:00Z,13.536,13.662,13.329,13.443,21637.797,292072.116528,1297,10641.712,143894.739452
2021-02-26T14:00:00+00:00Z,2021-02-26T14:59:59.999000+00:00Z,13.561,13.561,12.96,13.207,30982.573,407892.57908,1868,14300.384,188555.546313
2021-02-26T15:00:00+00:00Z,2021-02-26T15:59:59.999000+00:00Z,13.216,13.3,12.8,12.85,33949.59,441182.683777,1975,12512.347,162838.500402
2021-02-26T16:00:00+00:00Z,2021-02-26T16:59:59.999000+00:00Z,12.946,13.077,12.702,12.812,31806.677,409927.1427,1892,15448.665,199457.738334
2021-02-26T17:00:00+00:00Z,2021-02-26T17:59:59.999000+00:00Z,12.812,13.415,12.749,12.897,37272.791,486651.777968,2012,15598.657,204328.328731
2021-02-26T18:00:00+00:00Z,2021-02-26T18:59:59.999000+00:00Z,12.898,13.4,12.898,13.2,26810.025,353737.736496,1549,16239.223,214025.679282
2021-02-26T19:00:00+00:00Z,2021-02-26T19:59:59.999000+00:00Z,13.201,13.248,12.56,12.72,21253.585,273575.341251,1605,8272.601,106155.520505
2021-02-26T20:00:00+00:00Z,2021-02-26T20:59:59.999000+00:00Z,12.848,12.996,12.524,12.529,18167.771,230600.224157,1670,9767.074,124102.644057
2021-02-26T21:00:00+00:00Z,2021-02-26T21:59:59.999000+00:00Z,12.529,12.788,11.478,11.478,53155.125,642428.315967,2363,19987.221,241791.003253
2021-02-26T22:00:00+00:00Z,2021-02-26T22:59:59.999000+00:00Z,11.521,11.968,11.227,11.227,49474.829,570506.563992,2819,33685.483,388308.391435
2021-02-26T23:00:00+00:00Z,2021-02-26T23:59:59.999000+00:00Z,11.23,11.989,11.09,11.67,25050.924,291805.320206,1491,11381.174,132566.295878
2021-02-27T00:00:00+00:00Z,2021-02-27T00:59:59.999000+00:00Z,11.67,12.3,11.4,12.201,23662.634,277499.831844,1337,12755.234,150289.244709
2021-02-27T01:00:00+00:00Z,2021-02-27T01:59:59.999000+00:00Z,12.288,14.131,12.213,13.258,88818.693,1179327.316334,3214,43028.556,571871.916783
2021-02-27T02:00:00+00:00Z,2021-02-27T02:59:59.999000+00:00Z,13.253,13.367,12.672,13.223,17323.718,225868.194819,1226,6052.302,78875.39806
2021-02-27T03:00:00+00:00Z,2021-02-27T03:59:59.999000+00:00Z,13.24,13.31,12.701,12.98,12361.628,160440.756601,859,5275.358,68504.123665
2021-02-27T04:00:00+00:00Z,2021-02-27T04:59:59.999000+00:00Z,13.0,14.0,12.98,13.894,28526.053,393036.128,1440,13576.243,186164.988419
2021-02-27T05:00:00+00:00Z,2021-02-27T05:59:59.999000+00:00Z,13.894,13.976,13.335,13.666,20783.175,283275.079201,1378,11850.016,161668.058796
2021-02-27T06:00:00+00:00Z,2021-02-27T06:59:59.999000+00:00Z,13.666,13.899,13.02,13.033,16704.343,223752.110103,1166,5111.928,68700.392403
2021-02-27T07:00:00+00:00Z,2021-02-27T07:59:59.999000+00:00Z,13.025,13.098,12.501,12.8,26050.793,332012.420077,1830,10923.168,139339.131365
