# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ADXUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-10-29T10:00:00+00:00Z
# t0_final_iso,2021-10-29T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6ef92e2e698b5ee8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-10-29T10:00:00+00:00Z,2021-10-29T10:59:59.999000+00:00Z,0.5348,1.2808,0.5348,0.9473,67376014.0,62660097.3553,152434,33936830.0,31422008.8171
2021-10-29T11:00:00+00:00Z,2021-10-29T11:59:59.999000+00:00Z,0.9463,1.9266,0.944,1.6567,117526707.0,172589695.5053,318326,60983885.0,89114482.9189
2021-10-29T12:00:00+00:00Z,2021-10-29T12:59:59.999000+00:00Z,1.6546,1.66,1.2715,1.3122,34540891.0,49454530.8859,107382,16277945.0,23321726.0847
2021-10-29T13:00:00+00:00Z,2021-10-29T13:59:59.999000+00:00Z,1.3135,1.3868,1.2079,1.2421,20260212.0,25895099.6492,57983,9712570.0,12447921.4425
2021-10-29T14:00:00+00:00Z,2021-10-29T14:59:59.999000+00:00Z,1.2434,1.245,1.0759,1.0982,14987121.0,17284429.5666,36141,6590852.0,7612298.9925
2021-10-29T15:00:00+00:00Z,2021-10-29T15:59:59.999000+00:00Z,1.0986,1.1701,1.0311,1.0448,14823527.0,16527821.9487,37071,7061353.0,7897972.0544
2021-10-29T16:00:00+00:00Z,2021-10-29T16:59:59.999000+00:00Z,1.0441,1.0629,0.9817,1.0516,14072561.0,14402380.9089,31657,6539774.0,6697774.1556
2021-10-29T17:00:00+00:00Z,2021-10-29T17:59:59.999000+00:00Z,1.0513,1.1219,0.9843,1.0009,16523762.0,17426503.5783,37181,8141722.0,8623897.61
2021-10-29T18:00:00+00:00Z,2021-10-29T18:59:59.999000+00:00Z,1.0,1.0338,0.9849,1.0048,6627605.0,6694077.8358,16223,3259397.0,3296148.0872
2021-10-29T19:00:00+00:00Z,2021-10-29T19:59:59.999000+00:00Z,1.0043,1.0099,0.95,0.9628,5378949.0,5249467.1254,13388,2338471.0,2280314.7807
2021-10-29T20:00:00+00:00Z,2021-10-29T20:59:59.999000+00:00Z,0.9628,1.1776,0.9606,1.141,30920859.0,34210244.5834,72051,16281766.0,18008162.6661
2021-10-29T21:00:00+00:00Z,2021-10-29T21:59:59.999000+00:00Z,1.1408,1.4114,1.1408,1.1993,59998582.0,76324315.0123,146555,30645238.0,38952801.3171
2021-10-29T22:00:00+00:00Z,2021-10-29T22:59:59.999000+00:00Z,1.1993,1.3,1.1561,1.1921,25966815.0,31609305.1672,64495,13118847.0,15995553.0499
2021-10-29T23:00:00+00:00Z,2021-10-29T23:59:59.999000+00:00Z,1.1921,1.225,1.1286,1.1633,12104316.0,14261845.2174,26383,6134256.0,7235854.7984
2021-10-30T00:00:00+00:00Z,2021-10-30T00:59:59.999000+00:00Z,1.1623,1.1977,1.0896,1.1396,5677607.0,6446180.0049,13687,2737032.0,3108695.7569
2021-10-30T01:00:00+00:00Z,2021-10-30T01:59:59.999000+00:00Z,1.1389,1.1415,1.036,1.0678,6255976.0,6690174.2069,13041,2997788.0,3205930.5179
2021-10-30T02:00:00+00:00Z,2021-10-30T02:59:59.999000+00:00Z,1.0678,1.13,1.0391,1.0878,5217099.0,5647930.8419,12716,2641601.0,2862457.2808
2021-10-30T03:00:00+00:00Z,2021-10-30T03:59:59.999000+00:00Z,1.087,1.0878,1.03,1.0695,3519634.0,3698407.2865,8612,1608329.0,1689556.6495
2021-10-30T04:00:00+00:00Z,2021-10-30T04:59:59.999000+00:00Z,1.0695,1.1898,1.04,1.1662,9072019.0,10350551.0839,24072,4886742.0,5578216.9094
2021-10-30T05:00:00+00:00Z,2021-10-30T05:59:59.999000+00:00Z,1.1662,1.289,1.1043,1.1624,17836550.0,21374350.5539,42821,9634366.0,11587710.7422
2021-10-30T06:00:00+00:00Z,2021-10-30T06:59:59.999000+00:00Z,1.1623,1.208,1.12,1.1359,7826980.0,9077610.2908,21153,3794704.0,4403447.996
2021-10-30T07:00:00+00:00Z,2021-10-30T07:59:59.999000+00:00Z,1.135,1.2326,1.1245,1.2279,9826917.0,11625911.4579,24986,5424006.0,6423727.5599
2021-10-30T08:00:00+00:00Z,2021-10-30T08:59:59.999000+00:00Z,1.2281,1.3782,1.1752,1.347,15924832.0,20147603.8632,44513,9137933.0,11572677.2898
2021-10-30T09:00:00+00:00Z,2021-10-30T09:59:59.999000+00:00Z,1.347,1.46,1.3206,1.3537,44079274.0,61545865.0416,120783,23509168.0,32889074.7353
2021-10-30T10:00:00+00:00Z,2021-10-30T10:59:59.999000+00:00Z,1.3536,1.4149,1.2686,1.3479,20534480.0,27628871.3756,61625,10195588.0,13747973.2081
2021-10-30T11:00:00+00:00Z,2021-10-30T11:59:59.999000+00:00Z,1.3465,1.3625,1.19,1.2278,13577593.0,17097480.8112,36043,6221492.0,7824741.0308
2021-10-30T12:00:00+00:00Z,2021-10-30T12:59:59.999000+00:00Z,1.2278,1.2563,1.1541,1.1701,7136725.0,8577798.5225,20224,3464076.0,4159888.2333
2021-10-30T13:00:00+00:00Z,2021-10-30T13:59:59.999000+00:00Z,1.1701,1.2206,1.12,1.153,6874926.0,8001964.5114,18522,3310078.0,3853702.4676
2021-10-30T14:00:00+00:00Z,2021-10-30T14:59:59.999000+00:00Z,1.1534,1.2,1.123,1.1448,4772356.0,5522836.3076,12974,2333359.0,2703141.614
2021-10-30T15:00:00+00:00Z,2021-10-30T15:59:59.999000+00:00Z,1.1435,1.175,1.1049,1.1699,3424327.0,3889244.6346,8979,1754926.0,1997999.786
2021-10-30T16:00:00+00:00Z,2021-10-30T16:59:59.999000+00:00Z,1.1699,1.2749,1.1433,1.1851,10234547.0,12497145.6753,29030,5433096.0,6645912.0263
2021-10-30T17:00:00+00:00Z,2021-10-30T17:59:59.999000+00:00Z,1.1851,1.1998,1.134,1.135,3127804.0,3609058.5098,9659,1434060.0,1656503.0569
2021-10-30T18:00:00+00:00Z,2021-10-30T18:59:59.999000+00:00Z,1.135,1.18,1.13,1.1485,2358611.0,2724653.4868,6835,1210597.0,1398475.2242
2021-10-30T19:00:00+00:00Z,2021-10-30T19:59:59.999000+00:00Z,1.1484,1.2182,1.125,1.1685,3674780.0,4310266.8744,10682,1920456.0,2255249.9409
2021-10-30T20:00:00+00:00Z,2021-10-30T20:59:59.999000+00:00Z,1.1685,1.1943,1.14,1.1427,1945735.0,2258976.7546,5966,926001.0,1076624.0174
2021-10-30T21:00:00+00:00Z,2021-10-30T21:59:59.999000+00:00Z,1.1411,1.1442,1.116,1.133,2327029.0,2621907.9458,6302,1121440.0,1263300.8088
2021-10-30T22:00:00+00:00Z,2021-10-30T22:59:59.999000+00:00Z,1.1308,1.1353,1.0389,1.0743,3516243.0,3803646.436,8866,1625214.0,1752435.0747
2021-10-30T23:00:00+00:00Z,2021-10-30T23:59:59.999000+00:00Z,1.0743,1.0743,1.0269,1.0458,1658108.0,1732721.8181,4882,734376.0,767695.1693
2021-10-31T00:00:00+00:00Z,2021-10-31T00:59:59.999000+00:00Z,1.0459,1.095,1.0196,1.0215,2120628.0,2237688.0461,5342,977057.0,1033360.3897
2021-10-31T01:00:00+00:00Z,2021-10-31T01:59:59.999000+00:00Z,1.0222,1.0482,1.0075,1.029,1665297.0,1705050.0842,3941,703727.0,721571.4166
2021-10-31T02:00:00+00:00Z,2021-10-31T02:59:59.999000+00:00Z,1.0291,1.039,1.0037,1.0228,1396362.0,1416403.2826,3082,673898.0,683354.5917
2021-10-31T03:00:00+00:00Z,2021-10-31T03:59:59.999000+00:00Z,1.0214,1.0385,1.013,1.0167,718191.0,733355.5409,1859,334842.0,342073.8806
2021-10-31T04:00:00+00:00Z,2021-10-31T04:59:59.999000+00:00Z,1.0167,1.0188,0.98,0.9804,1226985.0,1222670.0344,3261,485655.0,483411.5278
2021-10-31T05:00:00+00:00Z,2021-10-31T05:59:59.999000+00:00Z,0.9805,1.0399,0.9752,1.0263,2322101.0,2361318.4038,6924,1178058.0,1198153.9282
2021-10-31T06:00:00+00:00Z,2021-10-31T06:59:59.999000+00:00Z,1.0255,1.03,0.986,0.9879,1182864.0,1183754.8275,3291,586441.0,586887.8933
2021-10-31T07:00:00+00:00Z,2021-10-31T07:59:59.999000+00:00Z,0.988,1.012,0.9743,0.9979,1660869.0,1648247.3808,4811,882390.0,875208.4795
2021-10-31T08:00:00+00:00Z,2021-10-31T08:59:59.999000+00:00Z,0.9979,1.045,0.981,1.0088,2155802.0,2192944.8116,5774,954322.0,969529.4154
2021-10-31T09:00:00+00:00Z,2021-10-31T09:59:59.999000+00:00Z,1.0087,1.15,1.0007,1.1041,6083971.0,6601620.7825,18140,3387423.0,3674876.8348
