# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ALGOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3408db5ec4c4a23e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.3109,0.3146,0.3073,0.3122,1295929.56,402622.181429,1756,694386.08,215838.351181
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.3123,0.315,0.3093,0.3102,923813.15,287949.177739,1356,541800.99,168946.808267
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.31,0.3108,0.3062,0.3079,799266.43,246445.448198,928,305779.33,94279.158541
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.308,0.3095,0.306,0.3083,375648.0,115804.219311,586,209389.53,64564.293279
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.308,0.3111,0.3071,0.3085,256234.7,79184.693237,455,124368.84,38434.147829
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.3082,0.3102,0.3065,0.3091,350713.22,108055.573295,608,197573.03,60856.753177
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.3092,0.3109,0.3057,0.3072,321543.33,99360.558721,579,106078.79,32797.056092
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.3071,0.3127,0.307,0.3116,628882.91,195192.280123,812,373915.24,116050.729148
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.3114,0.3114,0.3072,0.3087,432687.05,133723.353903,614,129424.51,39978.952173
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.3088,0.3097,0.3027,0.3053,644394.46,196974.833006,980,336126.72,102713.543122
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.3054,0.3081,0.3045,0.3078,355342.21,108927.201309,481,181516.84,55682.81093
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.3076,0.309,0.306,0.3077,324449.6,99854.760453,442,172841.14,53210.084046
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.3076,0.3085,0.3055,0.3057,98156.04,30171.047869,250,38722.46,11904.309884
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.3054,0.3064,0.3026,0.3035,363555.23,110769.952486,834,179628.2,54746.286781
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.3034,0.3052,0.3012,0.3027,368680.02,111798.24962,758,142309.16,43175.963544
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.3022,0.3036,0.3003,0.3024,435159.15,131378.064394,774,227889.35,68834.238546
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.3025,0.3052,0.3021,0.305,394374.92,119941.722862,647,180375.96,54863.586621
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.3049,0.3088,0.3044,0.3087,371751.91,114302.66182,655,196812.5,60526.895485
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.3084,0.3088,0.3044,0.306,670977.32,205918.997668,696,416145.51,127846.71534
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.3062,0.3159,0.3041,0.3124,1301522.66,404961.14267,1632,659971.86,205662.568652
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.3127,0.3186,0.3123,0.3182,1264242.86,400281.473095,1747,643206.4,203684.899958
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.3182,0.3197,0.3155,0.3172,684795.87,217892.129222,1016,325300.28,103525.055048
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.3167,0.3184,0.3139,0.3179,656430.56,207579.622,837,251695.14,79676.616646
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.3179,0.3219,0.3173,0.3211,994035.62,317586.189434,1168,571332.11,182423.086312
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.3213,0.3257,0.319,0.3235,865125.5,278914.775512,1349,497498.83,160535.002729
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.3238,0.3294,0.3211,0.3275,1359165.55,442942.841212,1616,637020.71,207501.161168
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.3276,0.329,0.3247,0.3254,385507.25,125952.749834,679,192872.5,62992.08498
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.3253,0.3254,0.3193,0.3243,619758.32,199724.676345,1032,321164.39,103570.551006
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.3241,0.3274,0.3204,0.3249,620979.33,201367.358005,1016,226144.66,73388.919337
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.3251,0.3292,0.3247,0.3284,285699.82,93486.889537,662,180216.26,58996.664041
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.3289,0.3324,0.3268,0.3316,1151565.67,380249.342573,1104,725099.04,239322.303312
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.3318,0.3322,0.3282,0.3302,365386.82,120468.459469,641,142712.43,47078.168581
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.3302,0.3325,0.3272,0.3286,399913.9,131880.004322,724,196615.47,64882.062262
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.3285,0.3322,0.328,0.3288,588204.64,194392.844782,915,359061.38,118741.224464
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.3283,0.3283,0.3259,0.3262,264180.81,86394.784674,560,91135.08,29813.190887
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,0.3261,0.3319,0.3244,0.3306,1296398.64,426693.093797,1623,545361.59,179499.16172
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,0.3307,0.3348,0.3307,0.3344,696235.49,231964.391039,1020,353755.06,117848.557059
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,0.3344,0.3349,0.3283,0.3297,779523.93,257916.020826,795,239238.67,79218.838152
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,0.3297,0.3298,0.3252,0.3253,375256.87,122977.532291,520,151737.11,49782.109779
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,0.3254,0.3328,0.3254,0.3293,748232.74,246195.96754,986,326189.7,107300.51974
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,0.3293,0.3335,0.3287,0.3335,241761.02,80146.504123,497,128080.24,42451.713312
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,0.3332,0.3332,0.3302,0.331,383020.93,127075.775101,550,146865.2,48678.69159
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,0.3312,0.3323,0.3268,0.327,720049.49,236625.082874,720,396487.4,130129.897931
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,0.327,0.327,0.3189,0.323,1785060.33,575759.221982,1740,782866.79,252303.462299
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,0.323,0.3252,0.32,0.3228,465633.84,150073.236405,681,262093.88,84461.589509
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,0.3228,0.3247,0.321,0.324,532539.98,172076.676781,627,264047.09,85386.830964
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,0.324,0.3282,0.323,0.327,580314.09,188878.457497,931,273250.39,88933.179419
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,0.3268,0.3286,0.326,0.3271,324799.3,106219.500486,539,173746.2,56840.198506
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,0.3272,0.3313,0.3245,0.3266,693722.09,227641.606794,1060,309572.05,101712.759641
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,0.3264,0.3282,0.3226,0.3247,571541.61,185624.91332,803,222167.75,72194.597986
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,0.3244,0.3288,0.324,0.3258,467319.41,152315.855835,799,229711.67,74902.208468
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,0.3256,0.3305,0.3252,0.3293,618183.49,202674.063747,884,342384.6,112256.60331
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,0.3293,0.3308,0.3264,0.3286,252424.81,82986.113525,610,138352.43,45474.834494
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,0.3283,0.3336,0.3282,0.3326,577475.34,191057.724897,816,320664.02,106104.87621
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,0.3322,0.3399,0.3294,0.338,1400475.92,470401.010254,2004,696695.28,233822.173296
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,0.3379,0.3381,0.329,0.3315,1250811.51,416216.001308,1607,542573.13,180658.041814
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,0.3314,0.3318,0.3231,0.3262,1122926.74,367439.35385,1531,487116.59,159274.635503
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,0.3265,0.328,0.3176,0.3204,1009227.19,324776.861919,1342,420700.25,135608.269482
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,0.3201,0.3233,0.32,0.3233,595028.62,191297.835329,789,252359.86,81135.59951
2020-10-11T02:00:00+00:00Z,2020-10-11T02:59:59.999000+00:00Z,0.323,0.3238,0.3192,0.3201,537564.88,172695.519415,650,250646.5,80593.368879
2020-10-11T03:00:00+00:00Z,2020-10-11T03:59:59.999000+00:00Z,0.32,0.3202,0.3162,0.3182,311500.38,99088.987525,546,99355.72,31609.209961
2020-10-11T04:00:00+00:00Z,2020-10-11T04:59:59.999000+00:00Z,0.3183,0.3201,0.3164,0.3172,205291.89,65343.125918,466,107829.42,34338.236699
2020-10-11T05:00:00+00:00Z,2020-10-11T05:59:59.999000+00:00Z,0.3172,0.3233,0.3167,0.3222,353016.71,113197.5464,665,184915.58,59272.663785
2020-10-11T06:00:00+00:00Z,2020-10-11T06:59:59.999000+00:00Z,0.3221,0.3234,0.3212,0.3232,203802.52,65710.898843,405,108579.62,35012.249817
2020-10-11T07:00:00+00:00Z,2020-10-11T07:59:59.999000+00:00Z,0.3228,0.3238,0.3217,0.3227,144637.89,46667.717394,318,102405.11,33040.835033
2020-10-11T08:00:00+00:00Z,2020-10-11T08:59:59.999000+00:00Z,0.3223,0.3252,0.3202,0.3233,291790.32,94087.316743,654,183848.8,59276.130407
2020-10-11T09:00:00+00:00Z,2020-10-11T09:59:59.999000+00:00Z,0.3232,0.324,0.3208,0.3228,656407.24,211746.28267,715,319474.88,103071.588993
2020-10-11T10:00:00+00:00Z,2020-10-11T10:59:59.999000+00:00Z,0.3229,0.3276,0.3214,0.3259,402056.23,130331.67014,600,241156.44,78200.871016
2020-10-11T11:00:00+00:00Z,2020-10-11T11:59:59.999000+00:00Z,0.326,0.3266,0.3202,0.3217,703955.59,227301.77944,965,265793.98,85975.007772
2020-10-11T12:00:00+00:00Z,2020-10-11T12:59:59.999000+00:00Z,0.322,0.3235,0.3182,0.319,497301.95,159224.22036,783,224531.1,71874.405174
2020-10-11T13:00:00+00:00Z,2020-10-11T13:59:59.999000+00:00Z,0.3188,0.3215,0.3177,0.3208,546998.19,175118.361746,749,301580.62,96644.704511
