# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ALTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-01-25T10:00:00+00:00Z
# t0_final_iso,2024-01-25T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,496cd48762986fde
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-01-25T10:00:00+00:00Z,2024-01-25T10:59:59.999000+00:00Z,0.006,0.3288,0.006,0.31237,712419431.0,204258499.51621,518840,355602719.0,102363258.42453
2024-01-25T11:00:00+00:00Z,2024-01-25T11:59:59.999000+00:00Z,0.3123,0.32244,0.28655,0.29308,111541294.0,34208939.24126,133706,49224999.0,15156988.61341
2024-01-25T12:00:00+00:00Z,2024-01-25T12:59:59.999000+00:00Z,0.29308,0.309,0.2823,0.28905,65465347.0,19287407.30934,86289,30820658.0,9097995.411
2024-01-25T13:00:00+00:00Z,2024-01-25T13:59:59.999000+00:00Z,0.28905,0.2988,0.2871,0.29142,35284567.0,10339108.47975,51004,18651320.0,5468954.47114
2024-01-25T14:00:00+00:00Z,2024-01-25T14:59:59.999000+00:00Z,0.2914,0.34736,0.2914,0.3443,160542031.0,52426433.93826,189049,89920315.0,29327268.24758
2024-01-25T15:00:00+00:00Z,2024-01-25T15:59:59.999000+00:00Z,0.34429,0.34999,0.32069,0.34355,100976021.0,33906403.09133,148036,47789408.0,16079074.94956
2024-01-25T16:00:00+00:00Z,2024-01-25T16:59:59.999000+00:00Z,0.34367,0.34888,0.32666,0.32838,48889046.0,16455103.96555,79010,22638599.0,7627755.28612
2024-01-25T17:00:00+00:00Z,2024-01-25T17:59:59.999000+00:00Z,0.3284,0.334,0.3215,0.33026,33100469.0,10806074.91996,53189,16187686.0,5289689.55595
2024-01-25T18:00:00+00:00Z,2024-01-25T18:59:59.999000+00:00Z,0.32992,0.33456,0.32488,0.32672,23353765.0,7690379.23819,42995,10880090.0,3585699.61656
2024-01-25T19:00:00+00:00Z,2024-01-25T19:59:59.999000+00:00Z,0.32671,0.328,0.3121,0.32286,32055411.0,10193190.23947,49433,13063535.0,4149572.21348
2024-01-25T20:00:00+00:00Z,2024-01-25T20:59:59.999000+00:00Z,0.32299,0.32558,0.3012,0.31123,28211296.0,8791430.45771,42182,10578621.0,3312640.85038
2024-01-25T21:00:00+00:00Z,2024-01-25T21:59:59.999000+00:00Z,0.31097,0.31571,0.306,0.30957,18139080.0,5627393.58142,30435,9342006.0,2899791.01819
2024-01-25T22:00:00+00:00Z,2024-01-25T22:59:59.999000+00:00Z,0.30966,0.32462,0.30255,0.32106,25730748.0,8078473.16616,40436,13123409.0,4129200.51072
2024-01-25T23:00:00+00:00Z,2024-01-25T23:59:59.999000+00:00Z,0.32085,0.333,0.31825,0.32267,23074454.0,7512055.53366,35304,11768463.0,3835021.61495
2024-01-26T00:00:00+00:00Z,2024-01-26T00:59:59.999000+00:00Z,0.32279,0.3305,0.306,0.31401,23251644.0,7427223.17986,35838,9937388.0,3182163.17376
2024-01-26T01:00:00+00:00Z,2024-01-26T01:59:59.999000+00:00Z,0.31406,0.32207,0.31,0.32017,13762189.0,4341445.11247,20602,6238154.0,1968998.63637
2024-01-26T02:00:00+00:00Z,2024-01-26T02:59:59.999000+00:00Z,0.32022,0.325,0.31394,0.31417,12746596.0,4063794.68796,18869,6084972.0,1943440.6057
2024-01-26T03:00:00+00:00Z,2024-01-26T03:59:59.999000+00:00Z,0.31409,0.3198,0.31,0.31167,12679518.0,3981754.58768,17961,5391959.0,1693741.0003
2024-01-26T04:00:00+00:00Z,2024-01-26T04:59:59.999000+00:00Z,0.31169,0.3193,0.30809,0.3193,14228400.0,4457081.88587,18173,7992436.0,2508498.3587
2024-01-26T05:00:00+00:00Z,2024-01-26T05:59:59.999000+00:00Z,0.3193,0.32345,0.3135,0.3179,12418329.0,3947240.44188,19365,5973527.0,1899515.22932
2024-01-26T06:00:00+00:00Z,2024-01-26T06:59:59.999000+00:00Z,0.31798,0.326,0.316,0.31831,18151387.0,5829218.56012,25557,8908052.0,2863145.28455
2024-01-26T07:00:00+00:00Z,2024-01-26T07:59:59.999000+00:00Z,0.31831,0.3333,0.31619,0.32732,27101302.0,8805913.7575,43161,13930260.0,4532010.07573
2024-01-26T08:00:00+00:00Z,2024-01-26T08:59:59.999000+00:00Z,0.32735,0.343,0.32373,0.33971,32282525.0,10761670.39074,48121,16929766.0,5650138.34192
2024-01-26T09:00:00+00:00Z,2024-01-26T09:59:59.999000+00:00Z,0.33976,0.34888,0.33256,0.33293,38618965.0,13160564.09351,57865,19321864.0,6591716.02421
2024-01-26T10:00:00+00:00Z,2024-01-26T10:59:59.999000+00:00Z,0.33294,0.339,0.32952,0.33794,26620907.0,8885127.17005,39210,12579037.0,4200433.52987
2024-01-26T11:00:00+00:00Z,2024-01-26T11:59:59.999000+00:00Z,0.33775,0.342,0.3317,0.33651,24278143.0,8165962.42857,36534,12299150.0,4140933.31223
2024-01-26T12:00:00+00:00Z,2024-01-26T12:59:59.999000+00:00Z,0.33672,0.342,0.33208,0.33284,24780872.0,8344641.11568,31538,11432599.0,3848950.57176
2024-01-26T13:00:00+00:00Z,2024-01-26T13:59:59.999000+00:00Z,0.33284,0.33289,0.31888,0.32273,34537037.0,11240239.6891,36064,15854089.0,5158829.17492
2024-01-26T14:00:00+00:00Z,2024-01-26T14:59:59.999000+00:00Z,0.32274,0.32999,0.31698,0.31736,16103966.0,5231791.96376,20915,7379050.0,2397147.79144
2024-01-26T15:00:00+00:00Z,2024-01-26T15:59:59.999000+00:00Z,0.3173,0.3245,0.3115,0.31799,38371302.0,12163279.95054,38668,19153793.0,6072112.05596
2024-01-26T16:00:00+00:00Z,2024-01-26T16:59:59.999000+00:00Z,0.31797,0.32647,0.31267,0.32539,26245243.0,8359852.07161,30316,13390793.0,4266392.26869
2024-01-26T17:00:00+00:00Z,2024-01-26T17:59:59.999000+00:00Z,0.32526,0.3375,0.32385,0.33073,35651574.0,11833833.62822,41980,18257112.0,6064331.85862
2024-01-26T18:00:00+00:00Z,2024-01-26T18:59:59.999000+00:00Z,0.33073,0.345,0.325,0.34312,26101066.0,8756178.27811,27999,12876619.0,4325600.35258
2024-01-26T19:00:00+00:00Z,2024-01-26T19:59:59.999000+00:00Z,0.34312,0.3755,0.3429,0.36197,87975372.0,31901770.03742,124589,46821379.0,16949114.08252
2024-01-26T20:00:00+00:00Z,2024-01-26T20:59:59.999000+00:00Z,0.36197,0.36611,0.3499,0.35399,28091272.0,10030303.82167,46794,12900732.0,4610752.85952
2024-01-26T21:00:00+00:00Z,2024-01-26T21:59:59.999000+00:00Z,0.35399,0.3615,0.3481,0.35541,21422346.0,7612411.81879,38322,10494032.0,3730416.16536
2024-01-26T22:00:00+00:00Z,2024-01-26T22:59:59.999000+00:00Z,0.35551,0.35587,0.349,0.35253,12803314.0,4499774.60152,20708,6134418.0,2155838.9155
2024-01-26T23:00:00+00:00Z,2024-01-26T23:59:59.999000+00:00Z,0.3523,0.3631,0.3472,0.36198,20866182.0,7413191.89693,28343,11035083.0,3925988.44736
