# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,APEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-03-17T14:00:00+00:00Z
# t0_final_iso,2022-03-17T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,30ae4589deb80849
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-03-17T14:00:00+00:00Z,2022-03-17T14:59:59.999000+00:00Z,1.0,28.0,1.0,8.9091,15734683.1,150743233.5948,289181,7649398.43,73589942.924293
2022-03-17T15:00:00+00:00Z,2022-03-17T15:59:59.999000+00:00Z,8.8895,9.299,7.2372,7.3658,9276974.41,78112907.845255,199108,3975776.97,33622348.465018
2022-03-17T16:00:00+00:00Z,2022-03-17T16:59:59.999000+00:00Z,7.3775,8.46,7.1882,8.2527,10006881.07,78421481.080821,209058,5216908.15,40891270.097712
2022-03-17T17:00:00+00:00Z,2022-03-17T17:59:59.999000+00:00Z,8.2527,8.37,7.7684,7.94,4364491.35,35271933.924954,104758,2466350.9,19924918.217221
2022-03-17T18:00:00+00:00Z,2022-03-17T18:59:59.999000+00:00Z,7.94,7.9597,7.273,7.388,3175898.86,24169818.448097,79481,1560489.39,11888478.241383
2022-03-17T19:00:00+00:00Z,2022-03-17T19:59:59.999000+00:00Z,7.3876,7.855,7.2955,7.7777,2999587.45,22846251.042012,61765,1699244.42,12947071.155832
2022-03-17T20:00:00+00:00Z,2022-03-17T20:59:59.999000+00:00Z,7.7777,8.2242,7.6841,8.0956,3163290.15,25341355.420312,70890,1625875.87,13018326.069891
2022-03-17T21:00:00+00:00Z,2022-03-17T21:59:59.999000+00:00Z,8.0956,8.9,8.0452,8.7764,5594604.0,48006566.906368,118840,3018658.05,25888251.238164
2022-03-17T22:00:00+00:00Z,2022-03-17T22:59:59.999000+00:00Z,8.7764,8.7764,8.1791,8.2565,2756150.05,23273259.037317,62892,1304796.21,11018439.247698
2022-03-17T23:00:00+00:00Z,2022-03-17T23:59:59.999000+00:00Z,8.2526,8.5814,8.0516,8.5192,2350071.84,19645405.93051,50035,1193511.69,9976440.33432
2022-03-18T00:00:00+00:00Z,2022-03-18T00:59:59.999000+00:00Z,8.5192,10.2,8.5192,9.5428,7875652.12,73940362.400489,162086,4233412.7,39710781.473777
2022-03-18T01:00:00+00:00Z,2022-03-18T01:59:59.999000+00:00Z,9.5466,10.1344,9.0782,10.0871,5786178.77,55276956.749968,118275,3081836.35,29411013.365043
2022-03-18T02:00:00+00:00Z,2022-03-18T02:59:59.999000+00:00Z,10.0686,11.9,10.0686,11.5736,12689687.84,140748421.708192,328459,6488462.63,72040715.404659
2022-03-18T03:00:00+00:00Z,2022-03-18T03:59:59.999000+00:00Z,11.5775,12.2,10.8137,11.1032,8792274.49,101128149.729923,238842,4800335.72,55206647.86951
2022-03-18T04:00:00+00:00Z,2022-03-18T04:59:59.999000+00:00Z,11.1013,11.65,10.6,11.3368,5371347.98,59335581.963194,129331,2874723.47,31780843.88904
2022-03-18T05:00:00+00:00Z,2022-03-18T05:59:59.999000+00:00Z,11.3369,11.85,10.9642,11.3138,5085157.78,58111734.175084,123617,2509023.47,28684658.849309
2022-03-18T06:00:00+00:00Z,2022-03-18T06:59:59.999000+00:00Z,11.3132,12.5,11.3085,12.2462,7235922.05,86931833.02842,174901,3792223.05,45516557.704301
2022-03-18T07:00:00+00:00Z,2022-03-18T07:59:59.999000+00:00Z,12.2473,14.89,12.1255,13.8602,12927756.76,176254807.09701,372672,6584487.37,89530080.633674
2022-03-18T08:00:00+00:00Z,2022-03-18T08:59:59.999000+00:00Z,13.8604,18.0,13.61,16.3055,17946503.59,283399962.521132,521128,9498316.83,149960141.120818
2022-03-18T09:00:00+00:00Z,2022-03-18T09:59:59.999000+00:00Z,16.3071,16.36,14.333,14.767,17499697.69,267320419.713286,467644,8391020.88,128382373.880819
2022-03-18T10:00:00+00:00Z,2022-03-18T10:59:59.999000+00:00Z,14.752,15.5,14.2001,15.2269,8114489.37,120513589.884383,259017,4141384.34,61660979.130549
2022-03-18T11:00:00+00:00Z,2022-03-18T11:59:59.999000+00:00Z,15.2266,15.45,14.4524,15.4,5956689.28,89174837.992607,187875,2978271.61,44619212.480135
2022-03-18T12:00:00+00:00Z,2022-03-18T12:59:59.999000+00:00Z,15.4,16.4,14.8365,15.152,9642185.4,150932520.755648,293828,4773869.04,74828388.792515
2022-03-18T13:00:00+00:00Z,2022-03-18T13:59:59.999000+00:00Z,15.1504,15.2,14.22,14.3672,5474214.99,80988357.055471,172182,2648933.48,39257404.871919
2022-03-18T14:00:00+00:00Z,2022-03-18T14:59:59.999000+00:00Z,14.3669,14.4125,13.3784,13.9102,9785545.32,135646563.714646,217432,4738194.29,65727564.035046
2022-03-18T15:00:00+00:00Z,2022-03-18T15:59:59.999000+00:00Z,13.9113,14.0,12.61,13.0326,8826731.9,115219373.043852,184245,4354032.58,56789252.235737
2022-03-18T16:00:00+00:00Z,2022-03-18T16:59:59.999000+00:00Z,13.0268,13.8,12.649,13.1295,6785962.29,90340376.633434,152833,3569802.01,47618653.485283
2022-03-18T17:00:00+00:00Z,2022-03-18T17:59:59.999000+00:00Z,13.1279,14.2222,12.79,13.8373,6000905.06,81211705.374969,131310,3188726.4,43208553.031081
2022-03-18T18:00:00+00:00Z,2022-03-18T18:59:59.999000+00:00Z,13.8369,14.6,13.5739,14.4713,5549807.22,78537271.777445,136838,2994283.97,42409992.366964
2022-03-18T19:00:00+00:00Z,2022-03-18T19:59:59.999000+00:00Z,14.4713,14.949,13.8001,14.2443,5035912.41,72517401.640821,126080,2315559.35,33384654.672632
2022-03-18T20:00:00+00:00Z,2022-03-18T20:59:59.999000+00:00Z,14.2443,14.7,13.9789,14.2001,3201739.61,46000750.547533,74558,1647596.13,23694347.572284
2022-03-18T21:00:00+00:00Z,2022-03-18T21:59:59.999000+00:00Z,14.2001,14.3792,13.6227,14.0876,2267667.5,31689897.103389,52160,1098680.81,15362324.052232
