# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,AUDIOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-23T19:00:00+00:00Z
# t0_final_iso,2020-10-23T19:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f5eaa662bb457cd5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-23T19:00:00+00:00Z,2020-10-23T19:59:59.999000+00:00Z,0.02,0.58499,0.02,0.3011,10332949.3,3569653.327875,22075,4614899.4,1596553.821368
2020-10-23T20:00:00+00:00Z,2020-10-23T20:59:59.999000+00:00Z,0.30171,0.31999,0.28726,0.30195,3375746.0,1008711.121763,6966,1778045.1,530324.238942
2020-10-23T21:00:00+00:00Z,2020-10-23T21:59:59.999000+00:00Z,0.30107,0.30449,0.292,0.29785,1289610.6,383054.291847,2197,689395.4,204773.889107
2020-10-23T22:00:00+00:00Z,2020-10-23T22:59:59.999000+00:00Z,0.2948,0.31291,0.293,0.29574,1883472.9,569932.982984,3823,976850.1,295570.543729
2020-10-23T23:00:00+00:00Z,2020-10-23T23:59:59.999000+00:00Z,0.29588,0.29679,0.17817,0.19226,5675237.2,1283642.902585,6439,2154227.9,486477.237913
2020-10-24T00:00:00+00:00Z,2020-10-24T00:59:59.999000+00:00Z,0.19078,0.20952,0.14922,0.16092,7647232.4,1381446.153103,6397,3175912.5,573200.185727
2020-10-24T01:00:00+00:00Z,2020-10-24T01:59:59.999000+00:00Z,0.16102,0.17,0.14786,0.14922,3405834.2,546065.489121,2680,1535399.9,246396.701988
2020-10-24T02:00:00+00:00Z,2020-10-24T02:59:59.999000+00:00Z,0.14997,0.17706,0.14865,0.17678,2770675.4,459138.795835,2421,1394075.8,230154.021762
2020-10-24T03:00:00+00:00Z,2020-10-24T03:59:59.999000+00:00Z,0.17556,0.17755,0.16379,0.17636,2000997.5,344643.214157,1697,927163.7,159819.272331
2020-10-24T04:00:00+00:00Z,2020-10-24T04:59:59.999000+00:00Z,0.17704,0.1973,0.1756,0.19178,4119550.7,784138.269049,3755,1935186.6,367452.275963
2020-10-24T05:00:00+00:00Z,2020-10-24T05:59:59.999000+00:00Z,0.19172,0.24022,0.18821,0.237,5325171.6,1136033.707659,5716,2946462.2,628154.567742
2020-10-24T06:00:00+00:00Z,2020-10-24T06:59:59.999000+00:00Z,0.236,0.3,0.2256,0.27139,16023049.1,4262567.518688,18532,7574993.9,2019346.069255
2020-10-24T07:00:00+00:00Z,2020-10-24T07:59:59.999000+00:00Z,0.27229,0.281,0.231,0.25311,8178931.3,2111198.625136,10471,4011358.1,1039335.104767
2020-10-24T08:00:00+00:00Z,2020-10-24T08:59:59.999000+00:00Z,0.25311,0.28094,0.25301,0.27384,6374299.7,1697442.954507,9430,3336347.2,890505.284122
2020-10-24T09:00:00+00:00Z,2020-10-24T09:59:59.999000+00:00Z,0.27392,0.282,0.26451,0.26777,3489225.1,954208.002567,5130,1658061.9,454629.005445
2020-10-24T10:00:00+00:00Z,2020-10-24T10:59:59.999000+00:00Z,0.26777,0.27024,0.25475,0.26208,1944301.9,513565.376402,3118,958173.2,253431.314825
2020-10-24T11:00:00+00:00Z,2020-10-24T11:59:59.999000+00:00Z,0.26159,0.2658,0.24488,0.24527,1789845.5,456678.317352,2451,801581.6,205003.410257
2020-10-24T12:00:00+00:00Z,2020-10-24T12:59:59.999000+00:00Z,0.24592,0.25739,0.23744,0.25301,3407555.8,839606.390603,4683,1853335.7,455777.498726
2020-10-24T13:00:00+00:00Z,2020-10-24T13:59:59.999000+00:00Z,0.25289,0.25307,0.237,0.23932,1448497.6,355306.930637,2028,592000.3,144840.158138
2020-10-24T14:00:00+00:00Z,2020-10-24T14:59:59.999000+00:00Z,0.23825,0.2469,0.2276,0.236,1873773.1,440621.297053,2358,889442.5,208628.964155
2020-10-24T15:00:00+00:00Z,2020-10-24T15:59:59.999000+00:00Z,0.2365,0.23815,0.225,0.22791,1401272.5,323645.55758,2035,788345.5,182209.970563
2020-10-24T16:00:00+00:00Z,2020-10-24T16:59:59.999000+00:00Z,0.22786,0.22999,0.20261,0.2065,2540737.2,539766.859384,3135,1165581.4,247981.825222
2020-10-24T17:00:00+00:00Z,2020-10-24T17:59:59.999000+00:00Z,0.2065,0.2131,0.20208,0.21249,1915302.7,397417.455173,2603,973460.8,201985.933987
2020-10-24T18:00:00+00:00Z,2020-10-24T18:59:59.999000+00:00Z,0.21247,0.24765,0.21109,0.24194,6167636.0,1437469.795712,6674,2869271.3,670316.599169
2020-10-24T19:00:00+00:00Z,2020-10-24T19:59:59.999000+00:00Z,0.24194,0.2527,0.22779,0.22812,3529963.2,848360.4087,4925,1622155.1,389249.599906
2020-10-24T20:00:00+00:00Z,2020-10-24T20:59:59.999000+00:00Z,0.22817,0.235,0.2164,0.21987,2644952.4,598688.157148,3387,1207883.9,274236.301523
