# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,AVAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-11-24T13:00:00+00:00Z
# t0_final_iso,2020-11-24T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7ee48a21a867033e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-11-24T13:00:00+00:00Z,2020-11-24T13:59:59.999000+00:00Z,0.805,1.05,0.805,0.8859,76740.86,67515.933867,692,38667.06,34132.604909
2020-11-24T14:00:00+00:00Z,2020-11-24T14:59:59.999000+00:00Z,0.8805,0.9088,0.88,0.8826,25675.06,22952.472434,226,8072.35,7256.523815
2020-11-24T15:00:00+00:00Z,2020-11-24T15:59:59.999000+00:00Z,0.8806,0.882,0.8598,0.8811,15320.69,13311.824596,137,9626.13,8352.595283
2020-11-24T16:00:00+00:00Z,2020-11-24T16:59:59.999000+00:00Z,0.8872,0.9244,0.8859,0.8964,36325.97,33042.068703,307,24204.72,22024.157686
2020-11-24T17:00:00+00:00Z,2020-11-24T17:59:59.999000+00:00Z,0.8998,0.9131,0.8732,0.9131,24874.34,22205.281692,278,12226.42,10924.562883
2020-11-24T18:00:00+00:00Z,2020-11-24T18:59:59.999000+00:00Z,0.9106,0.95,0.8906,0.9221,56951.11,52445.886381,330,30529.88,28146.112921
2020-11-24T19:00:00+00:00Z,2020-11-24T19:59:59.999000+00:00Z,0.922,0.96,0.9087,0.957,44649.56,41852.276458,320,22686.67,21317.429935
2020-11-24T20:00:00+00:00Z,2020-11-24T20:59:59.999000+00:00Z,0.9523,0.9557,0.9353,0.9457,11985.55,11346.641683,177,6740.54,6383.515506
2020-11-24T21:00:00+00:00Z,2020-11-24T21:59:59.999000+00:00Z,0.9456,0.9479,0.9295,0.9295,11495.94,10797.384723,133,3711.43,3504.670269
2020-11-24T22:00:00+00:00Z,2020-11-24T22:59:59.999000+00:00Z,0.9295,0.9339,0.9208,0.9228,14247.13,13229.132364,100,12235.3,11366.454603
2020-11-24T23:00:00+00:00Z,2020-11-24T23:59:59.999000+00:00Z,0.9259,0.9262,0.9043,0.9131,27140.1,24674.452726,193,18945.34,17203.870598
2020-11-25T00:00:00+00:00Z,2020-11-25T00:59:59.999000+00:00Z,0.9174,0.93,0.9043,0.9043,26195.16,24075.884787,235,15886.23,14594.50317
2020-11-25T01:00:00+00:00Z,2020-11-25T01:59:59.999000+00:00Z,0.9109,0.9732,0.9092,0.9656,33412.9,31577.91959,250,22268.09,21084.250166
2020-11-25T02:00:00+00:00Z,2020-11-25T02:59:59.999000+00:00Z,0.9659,0.97,0.9154,0.9176,27176.57,25708.814531,260,9288.35,8755.772965
2020-11-25T03:00:00+00:00Z,2020-11-25T03:59:59.999000+00:00Z,0.9135,0.9175,0.8996,0.8996,12048.78,10984.629973,119,4547.25,4149.076358
2020-11-25T04:00:00+00:00Z,2020-11-25T04:59:59.999000+00:00Z,0.8996,0.9145,0.8815,0.9026,19470.5,17507.856835,171,9688.63,8712.15667
2020-11-25T05:00:00+00:00Z,2020-11-25T05:59:59.999000+00:00Z,0.9016,0.9033,0.8849,0.8902,14637.76,13046.860764,124,7703.17,6864.473866
2020-11-25T06:00:00+00:00Z,2020-11-25T06:59:59.999000+00:00Z,0.8947,0.9087,0.8886,0.9046,7208.63,6467.433128,70,4784.9,4299.788439
2020-11-25T07:00:00+00:00Z,2020-11-25T07:59:59.999000+00:00Z,0.905,0.9492,0.905,0.9402,47901.62,44816.056819,241,14514.36,13462.033433
2020-11-25T08:00:00+00:00Z,2020-11-25T08:59:59.999000+00:00Z,0.941,0.9511,0.9356,0.9472,14157.88,13364.191192,121,7572.08,7142.564362
2020-11-25T09:00:00+00:00Z,2020-11-25T09:59:59.999000+00:00Z,0.9473,0.9846,0.9473,0.9668,40226.75,39097.375466,317,19263.39,18638.464582
2020-11-25T10:00:00+00:00Z,2020-11-25T10:59:59.999000+00:00Z,0.9668,1.0405,0.9527,0.9657,100749.64,99486.616368,653,61887.42,61125.223227
2020-11-25T11:00:00+00:00Z,2020-11-25T11:59:59.999000+00:00Z,0.9659,0.9697,0.9402,0.9427,40786.4,38679.510696,221,15193.48,14405.474291
2020-11-25T12:00:00+00:00Z,2020-11-25T12:59:59.999000+00:00Z,0.9428,1.0069,0.9427,0.99,42184.0,41387.522494,359,27384.41,26760.104202
2020-11-25T13:00:00+00:00Z,2020-11-25T13:59:59.999000+00:00Z,0.9897,0.9953,0.9315,0.9349,37199.72,35899.542425,391,13786.58,13431.128705
2020-11-25T14:00:00+00:00Z,2020-11-25T14:59:59.999000+00:00Z,0.933,0.98,0.9326,0.9642,26069.18,24907.857815,249,14244.73,13638.841205
2020-11-25T15:00:00+00:00Z,2020-11-25T15:59:59.999000+00:00Z,0.9642,0.9822,0.9642,0.9789,9357.71,9141.868674,80,5515.19,5399.174268
2020-11-25T16:00:00+00:00Z,2020-11-25T16:59:59.999000+00:00Z,0.9789,0.9825,0.95,0.9624,32801.8,31584.160356,282,11680.74,11256.601899
2020-11-25T17:00:00+00:00Z,2020-11-25T17:59:59.999000+00:00Z,0.9631,0.9682,0.94,0.9597,8704.87,8321.392622,141,4339.65,4146.553054
2020-11-25T18:00:00+00:00Z,2020-11-25T18:59:59.999000+00:00Z,0.9621,0.979,0.9531,0.9689,19924.31,19326.766825,154,9398.27,9109.495592
2020-11-25T19:00:00+00:00Z,2020-11-25T19:59:59.999000+00:00Z,0.9644,0.9689,0.9581,0.96,2365.92,2278.128448,46,1017.6,978.224048
2020-11-25T20:00:00+00:00Z,2020-11-25T20:59:59.999000+00:00Z,0.96,0.96,0.85,0.9076,48588.11,43875.130458,368,17409.63,15520.134894
2020-11-25T21:00:00+00:00Z,2020-11-25T21:59:59.999000+00:00Z,0.9076,0.9203,0.8967,0.8967,18947.36,17319.873576,155,15073.59,13786.789125
2020-11-25T22:00:00+00:00Z,2020-11-25T22:59:59.999000+00:00Z,0.8966,0.8966,0.8603,0.8689,7981.81,7045.828699,118,4681.14,4155.991774
2020-11-25T23:00:00+00:00Z,2020-11-25T23:59:59.999000+00:00Z,0.8689,0.8804,0.852,0.8804,8480.09,7317.014632,93,4890.13,4230.537492
2020-11-26T00:00:00+00:00Z,2020-11-26T00:59:59.999000+00:00Z,0.8803,0.8966,0.8643,0.8962,10392.01,9215.18292,125,6277.19,5565.979637
2020-11-26T01:00:00+00:00Z,2020-11-26T01:59:59.999000+00:00Z,0.895,0.8958,0.8849,0.8849,4095.82,3648.469589,50,1836.46,1638.511935
2020-11-26T02:00:00+00:00Z,2020-11-26T02:59:59.999000+00:00Z,0.8833,0.8833,0.8422,0.8433,9572.13,8207.302569,121,2818.51,2429.975923
2020-11-26T03:00:00+00:00Z,2020-11-26T03:59:59.999000+00:00Z,0.847,0.8532,0.7894,0.8202,47196.53,38333.254156,430,17708.87,14436.713469
2020-11-26T04:00:00+00:00Z,2020-11-26T04:59:59.999000+00:00Z,0.82,0.8967,0.8131,0.815,57329.38,47556.888314,471,30347.8,25329.861027
2020-11-26T05:00:00+00:00Z,2020-11-26T05:59:59.999000+00:00Z,0.8135,0.8261,0.8134,0.8259,13160.03,10751.120781,93,5479.04,4477.314759
2020-11-26T06:00:00+00:00Z,2020-11-26T06:59:59.999000+00:00Z,0.8243,0.8252,0.82,0.82,7307.54,6013.85084,56,3899.86,3213.437544
2020-11-26T07:00:00+00:00Z,2020-11-26T07:59:59.999000+00:00Z,0.82,0.8506,0.7569,0.7651,83823.43,66926.737522,645,26884.72,21792.609133
2020-11-26T08:00:00+00:00Z,2020-11-26T08:59:59.999000+00:00Z,0.7676,0.7868,0.74,0.753,44759.61,34098.068701,498,19709.71,15031.796571
2020-11-26T09:00:00+00:00Z,2020-11-26T09:59:59.999000+00:00Z,0.756,0.7893,0.754,0.7823,26592.08,20471.250577,246,11748.1,9099.986319
2020-11-26T10:00:00+00:00Z,2020-11-26T10:59:59.999000+00:00Z,0.7823,0.7999,0.7748,0.7939,14473.57,11293.746934,128,8416.59,6573.624981
2020-11-26T11:00:00+00:00Z,2020-11-26T11:59:59.999000+00:00Z,0.7999,0.8081,0.7921,0.8,7138.86,5704.897291,86,3152.37,2524.772292
2020-11-26T12:00:00+00:00Z,2020-11-26T12:59:59.999000+00:00Z,0.798,0.8038,0.7941,0.7983,6314.63,5056.699871,82,4114.63,3300.525494
2020-11-26T13:00:00+00:00Z,2020-11-26T13:59:59.999000+00:00Z,0.8007,0.8032,0.7943,0.7943,5525.49,4417.40255,44,2949.84,2364.887157
2020-11-26T14:00:00+00:00Z,2020-11-26T14:59:59.999000+00:00Z,0.7958,0.7958,0.7648,0.7648,14028.66,10960.258443,138,3987.86,3115.158199
2020-11-26T15:00:00+00:00Z,2020-11-26T15:59:59.999000+00:00Z,0.7648,0.803,0.7648,0.7959,18194.31,14301.614189,167,13028.92,10231.138522
2020-11-26T16:00:00+00:00Z,2020-11-26T16:59:59.999000+00:00Z,0.7919,0.8029,0.7635,0.7635,6014.35,4694.857284,107,669.25,525.988461
2020-11-26T17:00:00+00:00Z,2020-11-26T17:59:59.999000+00:00Z,0.7636,0.7676,0.717,0.7341,44016.58,32707.863478,444,15578.33,11482.810715
2020-11-26T18:00:00+00:00Z,2020-11-26T18:59:59.999000+00:00Z,0.7352,0.7477,0.7323,0.7437,5797.89,4297.860129,148,2750.2,2034.247192
2020-11-26T19:00:00+00:00Z,2020-11-26T19:59:59.999000+00:00Z,0.7426,0.7523,0.7366,0.7523,2891.48,2141.270409,74,1329.39,986.043331
2020-11-26T20:00:00+00:00Z,2020-11-26T20:59:59.999000+00:00Z,0.7522,0.789,0.7522,0.786,4376.77,3377.170326,63,2945.77,2264.95054
2020-11-26T21:00:00+00:00Z,2020-11-26T21:59:59.999000+00:00Z,0.7899,0.7924,0.7696,0.7834,6410.9,5019.074325,86,1734.62,1368.381927
2020-11-26T22:00:00+00:00Z,2020-11-26T22:59:59.999000+00:00Z,0.7782,0.783,0.777,0.783,1250.68,975.434496,29,927.2,723.712832
2020-11-26T23:00:00+00:00Z,2020-11-26T23:59:59.999000+00:00Z,0.7799,0.7827,0.7776,0.7827,779.4,607.714756,21,234.55,183.322479
2020-11-27T00:00:00+00:00Z,2020-11-27T00:59:59.999000+00:00Z,0.7811,0.7978,0.7788,0.7978,7445.24,5828.92589,84,6697.7,5241.903529
2020-11-27T01:00:00+00:00Z,2020-11-27T01:59:59.999000+00:00Z,0.7995,0.8441,0.7995,0.8179,29919.35,24408.223355,223,16748.69,13713.11176
2020-11-27T02:00:00+00:00Z,2020-11-27T02:59:59.999000+00:00Z,0.8194,0.8197,0.8008,0.8008,6333.07,5127.810022,80,2742.06,2217.34669
2020-11-27T03:00:00+00:00Z,2020-11-27T03:59:59.999000+00:00Z,0.8013,0.8427,0.8013,0.8366,26187.49,21522.836541,241,13441.83,11037.286902
2020-11-27T04:00:00+00:00Z,2020-11-27T04:59:59.999000+00:00Z,0.8366,0.85,0.8366,0.8404,10540.71,8925.854594,55,2970.81,2509.714215
2020-11-27T05:00:00+00:00Z,2020-11-27T05:59:59.999000+00:00Z,0.8407,0.8465,0.836,0.8373,10570.91,8892.180246,82,7894.31,6642.783758
2020-11-27T06:00:00+00:00Z,2020-11-27T06:59:59.999000+00:00Z,0.8368,0.8387,0.8322,0.8382,2792.56,2334.503961,44,964.55,805.171391
2020-11-27T07:00:00+00:00Z,2020-11-27T07:59:59.999000+00:00Z,0.837,0.8385,0.83,0.8355,3804.75,3169.477255,31,3565.49,2970.499412
2020-11-27T08:00:00+00:00Z,2020-11-27T08:59:59.999000+00:00Z,0.8355,0.8355,0.8027,0.8138,16066.79,13189.391254,188,8114.67,6680.890328
2020-11-27T09:00:00+00:00Z,2020-11-27T09:59:59.999000+00:00Z,0.819,0.8347,0.8147,0.8192,8392.29,6909.751443,144,4373.93,3598.238439
2020-11-27T10:00:00+00:00Z,2020-11-27T10:59:59.999000+00:00Z,0.8193,0.8292,0.8164,0.8292,2135.48,1753.71486,32,1315.06,1081.769586
2020-11-27T11:00:00+00:00Z,2020-11-27T11:59:59.999000+00:00Z,0.8314,0.8357,0.8161,0.834,3694.03,3052.027038,64,2458.58,2036.404492
2020-11-27T12:00:00+00:00Z,2020-11-27T12:59:59.999000+00:00Z,0.8343,0.8411,0.8219,0.8298,10141.52,8421.178467,139,3801.94,3161.441764
2020-11-27T13:00:00+00:00Z,2020-11-27T13:59:59.999000+00:00Z,0.8298,0.8359,0.8048,0.808,10410.12,8473.062202,158,3412.47,2766.847325
2020-11-27T14:00:00+00:00Z,2020-11-27T14:59:59.999000+00:00Z,0.8058,0.8058,0.7914,0.7956,5034.61,4021.939854,74,2460.21,1966.226137
2020-11-27T15:00:00+00:00Z,2020-11-27T15:59:59.999000+00:00Z,0.79,0.7943,0.759,0.7776,16601.5,12841.848557,174,3751.17,2923.024449
2020-11-27T16:00:00+00:00Z,2020-11-27T16:59:59.999000+00:00Z,0.7741,0.7917,0.774,0.7917,4965.11,3909.629725,58,4498.4,3544.515772
2020-11-27T17:00:00+00:00Z,2020-11-27T17:59:59.999000+00:00Z,0.7956,0.8037,0.7956,0.7984,2841.17,2271.089671,20,1168.12,935.8747
2020-11-27T18:00:00+00:00Z,2020-11-27T18:59:59.999000+00:00Z,0.805,0.8051,0.7983,0.7983,1300.06,1043.03436,18,157.54,126.180814
2020-11-27T19:00:00+00:00Z,2020-11-27T19:59:59.999000+00:00Z,0.8047,0.8047,0.7983,0.7983,3474.22,2776.928151,30,2447.72,1955.853663
2020-11-27T20:00:00+00:00Z,2020-11-27T20:59:59.999000+00:00Z,0.7978,0.8022,0.792,0.8022,2425.97,1931.295758,42,731.46,583.386164
2020-11-27T21:00:00+00:00Z,2020-11-27T21:59:59.999000+00:00Z,0.8007,0.808,0.7962,0.8064,7472.8,6009.47933,71,3278.45,2636.596442
2020-11-27T22:00:00+00:00Z,2020-11-27T22:59:59.999000+00:00Z,0.8064,0.809,0.7911,0.7996,3692.47,2966.542605,43,2412.22,1942.520949
2020-11-27T23:00:00+00:00Z,2020-11-27T23:59:59.999000+00:00Z,0.8034,0.8039,0.8034,0.8039,67.61,54.333074,2,67.61,54.333074
2020-11-28T00:00:00+00:00Z,2020-11-28T00:59:59.999000+00:00Z,0.8041,0.8177,0.804,0.8177,1667.36,1351.997005,31,1333.55,1082.527285
2020-11-28T01:00:00+00:00Z,2020-11-28T01:59:59.999000+00:00Z,0.8175,0.8371,0.8171,0.8285,5811.65,4812.761204,76,2991.32,2479.491178
2020-11-28T02:00:00+00:00Z,2020-11-28T02:59:59.999000+00:00Z,0.8285,0.8363,0.8275,0.8275,3351.18,2778.13168,32,630.21,525.514071
2020-11-28T03:00:00+00:00Z,2020-11-28T03:59:59.999000+00:00Z,0.8275,0.8275,0.8275,0.8275,2131.83,1764.089325,12,0.0,0.0
2020-11-28T04:00:00+00:00Z,2020-11-28T04:59:59.999000+00:00Z,0.8275,0.8315,0.8275,0.8275,1234.51,1022.05927,10,103.0,85.6445
2020-11-28T05:00:00+00:00Z,2020-11-28T05:59:59.999000+00:00Z,0.8276,0.8286,0.8166,0.8279,3002.05,2476.981342,29,871.61,718.152886
2020-11-28T06:00:00+00:00Z,2020-11-28T06:59:59.999000+00:00Z,0.828,0.8298,0.8221,0.8231,1327.4,1094.789948,17,666.88,551.164424
2020-11-28T07:00:00+00:00Z,2020-11-28T07:59:59.999000+00:00Z,0.8275,0.8303,0.8189,0.8209,3460.14,2857.061193,43,1426.22,1182.843937
2020-11-28T08:00:00+00:00Z,2020-11-28T08:59:59.999000+00:00Z,0.8172,0.8342,0.8153,0.8342,3565.93,2947.29369,49,1716.24,1414.802036
2020-11-28T09:00:00+00:00Z,2020-11-28T09:59:59.999000+00:00Z,0.8286,0.8445,0.8285,0.8418,2915.53,2447.297907,43,1259.29,1059.151992
2020-11-28T10:00:00+00:00Z,2020-11-28T10:59:59.999000+00:00Z,0.842,0.8507,0.842,0.8507,7722.91,6552.280103,40,1452.31,1233.920122
2020-11-28T11:00:00+00:00Z,2020-11-28T11:59:59.999000+00:00Z,0.8499,0.8515,0.8453,0.85,4048.94,3436.495021,35,1619.39,1373.706432
2020-11-28T12:00:00+00:00Z,2020-11-28T12:59:59.999000+00:00Z,0.85,0.865,0.8482,0.8627,17358.88,14823.170079,98,8209.86,7023.549553
2020-11-28T13:00:00+00:00Z,2020-11-28T13:59:59.999000+00:00Z,0.8627,0.9001,0.8627,0.8759,75154.94,66459.138282,404,49010.46,43238.326375
