# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,AWEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-05-21T08:00:00+00:00Z
# t0_final_iso,2025-05-21T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5dd2b0c24771605a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-05-21T08:00:00+00:00Z,2025-05-21T08:59:59.999000+00:00Z,0.07042,0.0715,0.06,0.06693,53004154.0,3598277.01124,30231,31054740.0,2118264.56116
2025-05-21T09:00:00+00:00Z,2025-05-21T09:59:59.999000+00:00Z,0.06693,0.06765,0.06422,0.06447,15406375.0,1012183.83234,7418,7470765.0,493262.43459
2025-05-21T10:00:00+00:00Z,2025-05-21T10:59:59.999000+00:00Z,0.06449,0.06652,0.06386,0.06544,8872326.0,578037.29823,7508,3495524.0,228256.71753
2025-05-21T11:00:00+00:00Z,2025-05-21T11:59:59.999000+00:00Z,0.06544,0.06841,0.0647,0.06808,8715165.0,579825.39949,6827,5586906.0,372354.79147
2025-05-21T12:00:00+00:00Z,2025-05-21T12:59:59.999000+00:00Z,0.06806,0.06867,0.067,0.0681,7225696.0,489959.47487,5470,4070617.0,276133.15387
2025-05-21T13:00:00+00:00Z,2025-05-21T13:59:59.999000+00:00Z,0.06811,0.06847,0.06696,0.06823,4271694.0,289766.03489,4263,2581467.0,175181.62666
2025-05-21T14:00:00+00:00Z,2025-05-21T14:59:59.999000+00:00Z,0.06823,0.06911,0.06696,0.06773,3143023.0,214406.88105,3203,1573766.0,107419.21264
2025-05-21T15:00:00+00:00Z,2025-05-21T15:59:59.999000+00:00Z,0.0677,0.0691,0.0672,0.0678,4287998.0,291785.1453,3965,2121487.0,144393.04983
2025-05-21T16:00:00+00:00Z,2025-05-21T16:59:59.999000+00:00Z,0.06774,0.06873,0.06739,0.06823,2726095.0,185519.39656,2657,1441972.0,98105.36431
2025-05-21T17:00:00+00:00Z,2025-05-21T17:59:59.999000+00:00Z,0.06818,0.06837,0.06654,0.06746,2495221.0,168771.22114,2137,1328180.0,89897.8064
