# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,AXLUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-03-01T11:00:00+00:00Z
# t0_final_iso,2024-03-01T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6f464607cdc7e5b3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-03-01T11:00:00+00:00Z,2024-03-01T11:59:59.999000+00:00Z,1.2071,2.77,1.2071,2.1641,13230545.25,30757266.984714,116502,6777752.6,15755072.973073
2024-03-01T12:00:00+00:00Z,2024-03-01T12:59:59.999000+00:00Z,2.164,2.2447,2.1216,2.1709,4375057.1,9512814.226606,55929,2397241.7,5216474.036028
2024-03-01T13:00:00+00:00Z,2024-03-01T13:59:59.999000+00:00Z,2.1709,2.1947,2.02,2.0467,2650269.84,5596258.522071,30227,1229618.35,2597671.293422
2024-03-01T14:00:00+00:00Z,2024-03-01T14:59:59.999000+00:00Z,2.0473,2.08,1.951,1.9888,2092350.03,4214766.252555,20740,925228.87,1868029.600718
2024-03-01T15:00:00+00:00Z,2024-03-01T15:59:59.999000+00:00Z,1.9905,2.0795,1.9364,2.016,2943742.66,5920299.284841,26514,1496674.49,3008717.065468
2024-03-01T16:00:00+00:00Z,2024-03-01T16:59:59.999000+00:00Z,2.0147,2.06,1.9729,1.9807,1419140.74,2866020.463303,14779,667203.19,1348167.562875
2024-03-01T17:00:00+00:00Z,2024-03-01T17:59:59.999000+00:00Z,1.9806,2.0049,1.9557,1.9713,887693.68,1759183.173427,8936,415452.97,824305.859595
2024-03-01T18:00:00+00:00Z,2024-03-01T18:59:59.999000+00:00Z,1.9713,1.9977,1.9611,1.9818,735401.16,1456122.529298,6514,405786.0,804070.535209
2024-03-01T19:00:00+00:00Z,2024-03-01T19:59:59.999000+00:00Z,1.9801,1.9961,1.9224,1.949,738525.19,1451909.951951,8091,334395.92,657867.420919
2024-03-01T20:00:00+00:00Z,2024-03-01T20:59:59.999000+00:00Z,1.9479,1.9542,1.9056,1.925,779178.94,1502958.772664,8109,402127.65,776155.594997
2024-03-01T21:00:00+00:00Z,2024-03-01T21:59:59.999000+00:00Z,1.9235,1.9249,1.88,1.9085,863368.1,1640881.69684,6684,379407.71,721434.75673
2024-03-01T22:00:00+00:00Z,2024-03-01T22:59:59.999000+00:00Z,1.9093,1.9491,1.9031,1.94,689920.73,1325772.21481,5907,360411.43,692809.107575
