# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,BBUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-05-13T10:00:00+00:00Z
# t0_final_iso,2024-05-13T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,76a6e8a9f6ceb415
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-05-13T10:00:00+00:00Z,2024-05-13T10:59:59.999000+00:00Z,0.0238,0.6,0.0238,0.4729,321229194.0,123474714.53022,385371,164359006.1,63564906.43427
2024-05-13T11:00:00+00:00Z,2024-05-13T11:59:59.999000+00:00Z,0.4729,0.564,0.4613,0.5355,115641529.7,60436499.98254,180581,62136441.2,32433163.70237
2024-05-13T12:00:00+00:00Z,2024-05-13T12:59:59.999000+00:00Z,0.5354,0.5354,0.468,0.4778,64393564.3,31741570.1958,128788,30984917.2,15275937.51828
2024-05-13T13:00:00+00:00Z,2024-05-13T13:59:59.999000+00:00Z,0.4778,0.4935,0.4582,0.4728,41219191.3,19535735.96691,77880,20402039.9,9677142.43373
2024-05-13T14:00:00+00:00Z,2024-05-13T14:59:59.999000+00:00Z,0.4728,0.487,0.46,0.4812,27817387.2,13109143.35247,62563,14148576.4,6668788.25332
2024-05-13T15:00:00+00:00Z,2024-05-13T15:59:59.999000+00:00Z,0.481,0.5014,0.4716,0.4776,37464581.9,18180123.07517,74466,20298455.8,9858772.16683
2024-05-13T16:00:00+00:00Z,2024-05-13T16:59:59.999000+00:00Z,0.4775,0.4805,0.4262,0.4331,34462008.8,15648237.49456,57662,14591454.0,6632120.22356
2024-05-13T17:00:00+00:00Z,2024-05-13T17:59:59.999000+00:00Z,0.4333,0.4424,0.4199,0.4347,20345969.6,8775269.03413,33606,9967716.6,4306836.43701
2024-05-13T18:00:00+00:00Z,2024-05-13T18:59:59.999000+00:00Z,0.4342,0.4386,0.4012,0.4297,26707373.2,11210383.36165,37956,13524788.0,5690671.45472
2024-05-13T19:00:00+00:00Z,2024-05-13T19:59:59.999000+00:00Z,0.4297,0.4374,0.4169,0.4268,9874479.2,4232108.08752,20508,4888881.4,2097663.98761
