# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,BELUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,be381ee3e1b01595
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,1.1268,1.127,1.0771,1.0932,170766.19,187926.101587,990,67890.11,74642.916704
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,1.0902,1.108,1.0902,1.1069,38850.45,42834.244046,369,27511.28,30327.954416
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,1.1045,1.1063,1.0729,1.0808,45271.69,49394.578311,334,16170.61,17684.35032
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,1.0809,1.0947,1.0761,1.0802,17568.88,19035.352247,248,10960.7,11877.994999
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,1.0802,1.1198,1.0739,1.1167,66333.67,72807.851319,469,42731.22,47073.493343
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,1.1164,1.119,1.0964,1.1024,38250.5,42296.702971,291,13350.55,14783.542965
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,1.1021,1.1549,1.0967,1.1427,153881.81,174887.073094,1060,104769.75,119034.375759
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,1.1424,1.15,1.124,1.1325,50079.37,57089.140592,364,24987.05,28553.893085
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,1.1321,1.134,1.1198,1.13,26198.38,29537.938598,240,10857.08,12242.499581
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,1.13,1.1392,1.1128,1.1248,30095.21,33920.560186,338,15033.95,16974.465907
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,1.1254,1.13,1.1123,1.1149,23098.37,25860.998334,292,5274.53,5919.326902
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,1.1145,1.1212,1.1091,1.1212,16439.1,18335.646835,257,6052.99,6763.227063
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,1.1212,1.164,1.1155,1.1293,139638.64,160004.555066,778,56917.08,65135.563021
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,1.1277,1.1291,1.098,1.0999,64288.61,71577.333546,355,29450.37,32822.259731
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,1.1003,1.1053,1.0971,1.0996,22252.24,24512.036395,237,10092.78,11124.788869
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,1.0999,1.1393,1.0878,1.1222,70074.3,78041.586423,473,39171.3,43648.891969
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,1.1229,1.15,1.1199,1.15,25055.07,28419.945576,321,17810.83,20237.418238
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,1.15,1.1878,1.15,1.1774,100577.72,117671.533472,694,64448.89,75479.131162
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,1.1773,1.2197,1.1427,1.1979,192914.01,228415.943119,1249,93312.7,110467.392472
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,1.198,1.23,1.1638,1.2187,155496.44,185902.819688,1059,76893.12,92085.704355
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,1.2187,1.25,1.2034,1.2174,184760.21,227440.528532,1165,82559.75,101500.13815
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,1.2174,1.2338,1.2,1.2,120278.87,147247.681567,589,33558.28,40990.726723
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,1.203,1.2056,1.1488,1.1855,196061.6,231447.224795,1004,64004.53,75309.253738
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,1.1861,1.1965,1.1701,1.1868,60255.78,71596.461756,530,25346.97,30146.0521
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,1.1854,1.2222,1.1782,1.2222,76601.29,91556.913969,623,54156.64,64837.383049
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,1.2221,1.2222,1.1749,1.1838,54891.59,65371.999883,440,24399.2,28856.731292
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,1.1834,1.1882,1.1797,1.183,13588.35,16063.971319,178,7077.29,8366.137185
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,1.1803,1.1844,1.1626,1.1626,25408.5,29879.484557,255,10892.36,12816.888454
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,1.1663,1.1695,1.1373,1.1411,50897.05,58539.647035,470,20065.85,23042.833817
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,1.143,1.1598,1.1405,1.1597,29448.86,33863.074756,259,15371.89,17691.662215
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,1.1597,1.1806,1.159,1.1806,21880.48,25588.795174,246,15086.8,17659.361727
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,1.1774,1.1805,1.1547,1.1681,53978.52,62777.751524,451,31349.78,36442.345395
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,1.1695,1.1815,1.1471,1.176,58074.16,67626.449955,473,31938.18,37273.308397
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,1.176,1.176,1.1406,1.1559,57028.04,65716.601836,465,26304.57,30245.438465
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,1.1537,1.1781,1.1509,1.1768,19700.99,22904.682917,239,11951.27,13913.487011
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,1.1754,1.1958,1.1752,1.1896,66475.18,78890.166099,398,34720.18,41182.126306
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,1.1896,1.2151,1.1882,1.2124,74273.48,89019.534387,478,49370.89,59191.41149
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,1.215,1.2339,1.2117,1.2228,60390.32,73731.833876,469,41167.69,50260.190242
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,1.2221,1.2229,1.1783,1.18,58017.8,69238.232022,484,26222.58,31222.426001
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,1.1801,1.1917,1.1783,1.1798,29617.29,35134.126943,274,11991.38,14238.76952
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,1.1784,1.1867,1.163,1.1849,74911.48,87931.503962,441,39419.18,46280.017845
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,1.1849,1.206,1.182,1.2006,58249.16,69458.399208,333,36608.49,43742.880551
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,1.201,1.207,1.1644,1.1678,75918.06,89724.486975,472,19535.04,23073.170076
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,1.1678,1.1679,1.1411,1.1455,67856.42,78240.252633,438,20011.66,23097.371049
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,1.1455,1.1558,1.0878,1.1234,235949.79,263479.723962,1277,96438.7,107588.015443
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,1.1273,1.133,1.109,1.1329,41478.04,46361.827192,458,18951.34,21195.320186
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,1.133,1.1362,1.1209,1.1243,44007.28,49666.924213,300,16076.61,18161.141317
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,1.1242,1.1242,1.1019,1.1036,38454.6,42659.851412,374,8789.23,9760.428158
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,1.1034,1.118,1.1034,1.1107,30073.47,33423.365259,303,13062.42,14529.523466
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,1.1104,1.1129,1.0522,1.0609,203603.15,217743.891704,1218,100056.58,106517.534206
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,1.0629,1.0894,1.0592,1.0747,89088.65,95724.157012,650,34743.33,37401.927589
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,1.0744,1.0857,1.0703,1.0849,14932.37,16119.655519,242,10663.88,11516.633578
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,1.0849,1.0853,1.0671,1.0778,33593.4,36136.50782,298,14058.02,15138.259015
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,1.0757,1.0814,1.0704,1.0764,33388.76,35913.557184,356,18263.27,19651.291142
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,1.0743,1.0801,1.052,1.0662,71614.1,76310.010347,538,29696.81,31593.108309
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,1.0663,1.0682,1.059,1.0652,22954.73,24423.133771,238,9008.62,9595.976313
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,1.0646,1.0647,1.0342,1.0374,82747.55,86400.493544,534,20257.09,21126.426286
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,1.0369,1.0475,1.0166,1.0214,76093.02,78207.397201,442,26005.49,26834.726976
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,1.0248,1.049,1.0217,1.0418,29785.05,30810.062638,286,17785.39,18391.411916
2020-10-11T02:00:00+00:00Z,2020-10-11T02:59:59.999000+00:00Z,1.0425,1.0515,1.0419,1.0485,25831.4,27043.579098,272,13812.58,14477.453465
2020-10-11T03:00:00+00:00Z,2020-10-11T03:59:59.999000+00:00Z,1.0494,1.05,1.0401,1.0433,13794.84,14401.433361,158,6348.84,6632.708106
2020-10-11T04:00:00+00:00Z,2020-10-11T04:59:59.999000+00:00Z,1.043,1.052,1.0426,1.0493,17637.99,18498.238511,205,11179.6,11739.19299
2020-10-11T05:00:00+00:00Z,2020-10-11T05:59:59.999000+00:00Z,1.0492,1.0532,1.0461,1.0497,39581.77,41571.068862,261,23354.81,24552.267962
2020-10-11T06:00:00+00:00Z,2020-10-11T06:59:59.999000+00:00Z,1.0504,1.0531,1.0352,1.0475,54844.03,57234.150898,273,22214.26,23226.474872
2020-10-11T07:00:00+00:00Z,2020-10-11T07:59:59.999000+00:00Z,1.0501,1.0809,1.0489,1.0752,63283.97,67533.844633,344,47194.51,50258.73078
2020-10-11T08:00:00+00:00Z,2020-10-11T08:59:59.999000+00:00Z,1.0751,1.0757,1.052,1.0561,28859.14,30562.731806,224,7361.77,7796.488614
