# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,BIFIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-04-01T09:00:00+00:00Z
# t0_final_iso,2022-04-01T09:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,fa7a69d14dd8c0a5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-04-01T09:00:00+00:00Z,2022-04-01T09:59:59.999000+00:00Z,1700.0,1999.0,1642.3,1661.3,1491.318,2672687.5531,9749,787.8,1417983.4034
2022-04-01T10:00:00+00:00Z,2022-04-01T10:59:59.999000+00:00Z,1661.0,1705.0,1595.3,1620.5,129.503,211527.0345,1473,60.671,99264.2861
2022-04-01T11:00:00+00:00Z,2022-04-01T11:59:59.999000+00:00Z,1622.6,1630.3,1593.6,1613.4,67.24,108375.2684,648,43.018,69342.7514
2022-04-01T12:00:00+00:00Z,2022-04-01T12:59:59.999000+00:00Z,1609.8,1710.0,1585.0,1673.7,78.148,129214.9633,774,31.677,52286.4503
2022-04-01T13:00:00+00:00Z,2022-04-01T13:59:59.999000+00:00Z,1679.5,1690.2,1618.0,1636.9,95.37,159301.2988,526,26.415,43788.1928
2022-04-01T14:00:00+00:00Z,2022-04-01T14:59:59.999000+00:00Z,1639.0,1685.0,1621.3,1646.6,25.807,42506.1579,335,14.72,24257.1409
2022-04-01T15:00:00+00:00Z,2022-04-01T15:59:59.999000+00:00Z,1650.8,1740.0,1605.8,1668.9,50.975,84728.6626,524,34.864,57892.7362
2022-04-01T16:00:00+00:00Z,2022-04-01T16:59:59.999000+00:00Z,1669.0,1682.2,1615.0,1635.8,32.036,52622.6091,460,11.512,19020.9712
2022-04-01T17:00:00+00:00Z,2022-04-01T17:59:59.999000+00:00Z,1635.8,2765.0,1620.0,1740.6,652.786,1191246.4531,6156,340.757,642065.3316
2022-04-01T18:00:00+00:00Z,2022-04-01T18:59:59.999000+00:00Z,1743.5,1760.0,1648.7,1683.6,227.102,385298.4422,887,165.525,279768.9141
2022-04-01T19:00:00+00:00Z,2022-04-01T19:59:59.999000+00:00Z,1683.6,1683.8,1633.0,1682.9,140.719,232704.4974,741,110.388,182616.4313
2022-04-01T20:00:00+00:00Z,2022-04-01T20:59:59.999000+00:00Z,1680.2,1690.0,1656.1,1665.2,49.899,83556.6287,555,22.807,38236.3512
2022-04-01T21:00:00+00:00Z,2022-04-01T21:59:59.999000+00:00Z,1672.4,1689.8,1576.1,1621.6,214.771,346467.2112,958,129.747,208113.8191
2022-04-01T22:00:00+00:00Z,2022-04-01T22:59:59.999000+00:00Z,1621.7,1683.0,1608.0,1649.2,53.188,86844.6059,571,27.436,44926.2706
2022-04-01T23:00:00+00:00Z,2022-04-01T23:59:59.999000+00:00Z,1637.7,1637.7,1600.0,1611.9,25.849,41709.1775,277,8.942,14437.0112
2022-04-02T00:00:00+00:00Z,2022-04-02T00:59:59.999000+00:00Z,1611.9,1650.0,1600.0,1640.0,17.971,29072.3688,234,9.033,14656.247
2022-04-02T01:00:00+00:00Z,2022-04-02T01:59:59.999000+00:00Z,1623.8,1639.8,1573.6,1620.5,39.399,63395.9779,345,17.217,27764.2332
2022-04-02T02:00:00+00:00Z,2022-04-02T02:59:59.999000+00:00Z,1625.4,1706.0,1593.3,1633.7,54.123,88153.0992,440,24.423,40106.3658
2022-04-02T03:00:00+00:00Z,2022-04-02T03:59:59.999000+00:00Z,1619.0,1626.7,1593.5,1614.6,20.371,32784.3563,265,6.167,9983.623
2022-04-02T04:00:00+00:00Z,2022-04-02T04:59:59.999000+00:00Z,1600.7,1626.7,1600.1,1613.2,28.359,45740.3266,325,13.243,21389.0878
2022-04-02T05:00:00+00:00Z,2022-04-02T05:59:59.999000+00:00Z,1623.8,1692.0,1602.1,1635.3,54.229,88789.3978,677,30.977,50902.332
2022-04-02T06:00:00+00:00Z,2022-04-02T06:59:59.999000+00:00Z,1635.5,1645.2,1597.2,1624.5,44.947,72734.6122,477,9.098,14839.9981
2022-04-02T07:00:00+00:00Z,2022-04-02T07:59:59.999000+00:00Z,1624.4,1647.5,1604.0,1619.0,32.581,52787.1717,339,16.929,27499.9703
2022-04-02T08:00:00+00:00Z,2022-04-02T08:59:59.999000+00:00Z,1619.1,1630.8,1583.1,1592.2,74.82,119924.1935,766,32.039,51474.2014
2022-04-02T09:00:00+00:00Z,2022-04-02T09:59:59.999000+00:00Z,1594.2,1690.0,1594.2,1635.2,104.904,171038.4047,910,41.458,67965.0249
2022-04-02T10:00:00+00:00Z,2022-04-02T10:59:59.999000+00:00Z,1634.8,1634.8,1590.0,1594.5,74.843,120155.5226,378,11.999,19276.7794
2022-04-02T11:00:00+00:00Z,2022-04-02T11:59:59.999000+00:00Z,1593.0,1618.0,1590.0,1600.0,55.782,89235.2141,312,30.985,49599.0941
2022-04-02T12:00:00+00:00Z,2022-04-02T12:59:59.999000+00:00Z,1601.9,1643.5,1575.0,1620.0,78.468,126459.9906,581,26.686,43165.2345
2022-04-02T13:00:00+00:00Z,2022-04-02T13:59:59.999000+00:00Z,1620.0,1624.3,1585.5,1592.0,61.811,99170.4472,495,23.629,37953.7293
2022-04-02T14:00:00+00:00Z,2022-04-02T14:59:59.999000+00:00Z,1590.4,1612.0,1586.1,1606.0,44.767,71780.7783,315,20.179,32364.1188
2022-04-02T15:00:00+00:00Z,2022-04-02T15:59:59.999000+00:00Z,1606.0,1609.0,1550.3,1575.1,89.609,140738.1865,585,52.846,82888.5367
2022-04-02T16:00:00+00:00Z,2022-04-02T16:59:59.999000+00:00Z,1575.8,1606.0,1564.1,1571.6,38.569,60894.4933,393,22.072,34793.9711
2022-04-02T17:00:00+00:00Z,2022-04-02T17:59:59.999000+00:00Z,1571.4,1609.0,1564.7,1579.6,43.843,69384.7715,460,23.141,36648.0976
2022-04-02T18:00:00+00:00Z,2022-04-02T18:59:59.999000+00:00Z,1587.7,1587.7,1562.5,1567.6,29.13,45748.2408,217,8.852,13913.5083
2022-04-02T19:00:00+00:00Z,2022-04-02T19:59:59.999000+00:00Z,1563.7,1579.1,1562.6,1579.1,6.83,10727.3063,114,3.756,5909.3803
2022-04-02T20:00:00+00:00Z,2022-04-02T20:59:59.999000+00:00Z,1579.0,1579.2,1564.8,1567.3,9.88,15539.871,91,6.779,10671.536
2022-04-02T21:00:00+00:00Z,2022-04-02T21:59:59.999000+00:00Z,1565.9,1587.6,1565.9,1579.8,17.505,27606.4743,128,12.57,19839.5192
2022-04-02T22:00:00+00:00Z,2022-04-02T22:59:59.999000+00:00Z,1582.0,1585.6,1568.8,1574.7,10.31,16244.1373,81,3.303,5215.6188
2022-04-02T23:00:00+00:00Z,2022-04-02T23:59:59.999000+00:00Z,1578.1,1578.2,1562.6,1563.1,7.916,12421.757,80,4.305,6763.6228
2022-04-03T00:00:00+00:00Z,2022-04-03T00:59:59.999000+00:00Z,1570.5,1577.5,1553.6,1557.4,18.994,29594.4998,143,13.537,21090.5861
2022-04-03T01:00:00+00:00Z,2022-04-03T01:59:59.999000+00:00Z,1556.4,1557.9,1533.6,1534.4,20.725,31978.0674,144,2.872,4423.9923
2022-04-03T02:00:00+00:00Z,2022-04-03T02:59:59.999000+00:00Z,1538.9,1548.1,1535.2,1546.8,7.127,11008.9032,82,2.645,4085.4925
2022-04-03T03:00:00+00:00Z,2022-04-03T03:59:59.999000+00:00Z,1546.8,1546.8,1540.3,1540.3,3.981,6139.3383,29,1.739,2682.7128
2022-04-03T04:00:00+00:00Z,2022-04-03T04:59:59.999000+00:00Z,1540.3,1555.1,1539.8,1555.1,6.281,9723.1965,52,4.513,6996.7017
2022-04-03T05:00:00+00:00Z,2022-04-03T05:59:59.999000+00:00Z,1550.9,1555.1,1549.6,1554.0,5.688,8830.8509,67,2.135,3317.5832
2022-04-03T06:00:00+00:00Z,2022-04-03T06:59:59.999000+00:00Z,1553.8,1555.2,1547.7,1555.2,12.543,19471.237,102,5.742,8921.681
2022-04-03T07:00:00+00:00Z,2022-04-03T07:59:59.999000+00:00Z,1555.2,1562.4,1550.0,1553.0,15.967,24832.8192,118,10.617,16528.37
2022-04-03T08:00:00+00:00Z,2022-04-03T08:59:59.999000+00:00Z,1551.6,1553.6,1547.2,1552.5,12.167,18868.2739,98,4.409,6846.0699
2022-04-03T09:00:00+00:00Z,2022-04-03T09:59:59.999000+00:00Z,1551.8,1554.2,1540.3,1551.9,28.778,44567.9811,161,13.393,20784.5721
2022-04-03T10:00:00+00:00Z,2022-04-03T10:59:59.999000+00:00Z,1551.0,1556.5,1521.6,1538.4,34.104,52628.4698,214,11.132,17215.9382
