# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,BNSOLUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-10-17T08:00:00+00:00Z
# t0_final_iso,2024-10-17T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b0dc9583595209fb
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-10-17T08:00:00+00:00Z,2024-10-17T08:59:59.999000+00:00Z,155.1,168.0,146.8,154.2,5468.955,844898.6581,4961,2528.929,392221.2962
2024-10-17T09:00:00+00:00Z,2024-10-17T09:59:59.999000+00:00Z,154.1,156.0,153.5,154.1,1116.67,172284.0684,964,637.609,98437.2074
2024-10-17T10:00:00+00:00Z,2024-10-17T10:59:59.999000+00:00Z,154.1,154.5,151.9,153.2,1128.993,173008.7337,603,487.897,74847.6078
2024-10-17T11:00:00+00:00Z,2024-10-17T11:59:59.999000+00:00Z,153.5,153.6,151.9,151.9,893.772,136485.1954,485,425.899,65097.096
2024-10-17T12:00:00+00:00Z,2024-10-17T12:59:59.999000+00:00Z,152.0,153.8,151.7,153.6,835.123,127641.0468,654,384.755,58832.2651
2024-10-17T13:00:00+00:00Z,2024-10-17T13:59:59.999000+00:00Z,153.4,154.4,152.2,153.2,765.962,117510.6992,583,474.029,72822.2052
2024-10-17T14:00:00+00:00Z,2024-10-17T14:59:59.999000+00:00Z,153.1,153.8,151.5,152.7,861.916,131583.1416,501,590.854,90257.6239
2024-10-17T15:00:00+00:00Z,2024-10-17T15:59:59.999000+00:00Z,153.0,154.3,152.0,153.9,415.612,63636.0768,379,277.719,42513.0511
2024-10-17T16:00:00+00:00Z,2024-10-17T16:59:59.999000+00:00Z,153.9,153.9,151.5,152.2,1178.301,180469.0291,456,809.895,124294.1608
2024-10-17T17:00:00+00:00Z,2024-10-17T17:59:59.999000+00:00Z,152.4,152.7,150.2,150.7,2784.361,422007.0488,485,2395.498,363104.5071
2024-10-17T18:00:00+00:00Z,2024-10-17T18:59:59.999000+00:00Z,150.4,150.6,147.9,149.7,1352.433,201294.9732,529,305.375,45641.8131
2024-10-17T19:00:00+00:00Z,2024-10-17T19:59:59.999000+00:00Z,149.3,151.5,148.8,150.6,453.261,68059.3424,449,227.799,34225.3138
2024-10-17T20:00:00+00:00Z,2024-10-17T20:59:59.999000+00:00Z,150.6,152.3,150.2,150.7,309.969,46746.9315,329,152.111,22949.2042
2024-10-17T21:00:00+00:00Z,2024-10-17T21:59:59.999000+00:00Z,150.5,151.5,150.5,151.3,275.19,41538.0184,228,119.76,18085.7005
2024-10-17T22:00:00+00:00Z,2024-10-17T22:59:59.999000+00:00Z,151.1,152.7,151.0,152.0,450.981,68290.2716,270,118.565,17961.7363
2024-10-17T23:00:00+00:00Z,2024-10-17T23:59:59.999000+00:00Z,152.1,152.5,150.8,151.4,142.591,21595.8574,193,68.688,10404.9732
2024-10-18T00:00:00+00:00Z,2024-10-18T00:59:59.999000+00:00Z,151.1,152.3,150.3,150.7,419.231,63369.0331,172,212.964,32272.3178
2024-10-18T01:00:00+00:00Z,2024-10-18T01:59:59.999000+00:00Z,150.5,154.0,150.3,153.4,194.397,29571.1767,210,107.227,16329.7589
2024-10-18T02:00:00+00:00Z,2024-10-18T02:59:59.999000+00:00Z,153.2,154.3,152.9,154.0,486.688,74818.0675,256,248.257,38242.0979
2024-10-18T03:00:00+00:00Z,2024-10-18T03:59:59.999000+00:00Z,154.2,154.3,151.6,152.8,2368.492,361072.2272,344,161.59,24812.917
2024-10-18T04:00:00+00:00Z,2024-10-18T04:59:59.999000+00:00Z,152.8,154.5,152.7,153.5,721.647,110580.9326,387,313.957,48136.4156
