# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,BTTCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-01-25T04:00:00+00:00Z
# t0_final_iso,2022-01-25T04:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,da680c824c4f4fb9
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-01-25T04:00:00+00:00Z,2022-01-25T04:59:59.999000+00:00Z,1.95e-06,2.55e-06,1.5e-06,1.72e-06,2348935922605.0,4423324.96336933,8258,905426172834.0,1732616.26061544
2022-01-25T05:00:00+00:00Z,2022-01-25T05:59:59.999000+00:00Z,1.71e-06,1.79e-06,1.67e-06,1.79e-06,810710057527.0,1396996.56622333,2628,414031589140.0,717996.94413744
2022-01-25T06:00:00+00:00Z,2022-01-25T06:59:59.999000+00:00Z,1.79e-06,2.07e-06,1.78e-06,1.98e-06,1522074818894.0,2937943.60383581,4575,942875073019.0,1813990.51173124
2022-01-25T07:00:00+00:00Z,2022-01-25T07:59:59.999000+00:00Z,1.96e-06,1.99e-06,1.86e-06,1.96e-06,520290710623.0,1007596.43285213,2753,293715385895.0,569671.87465512
2022-01-25T08:00:00+00:00Z,2022-01-25T08:59:59.999000+00:00Z,1.96e-06,2.06e-06,1.95e-06,1.98e-06,487533739371.0,974252.59549013,3074,306691190764.0,614414.02907037
2022-01-25T09:00:00+00:00Z,2022-01-25T09:59:59.999000+00:00Z,1.98e-06,2.02e-06,1.9e-06,2.02e-06,520244902976.0,1025542.28303577,3898,279972078347.0,553941.52588318
2022-01-25T10:00:00+00:00Z,2022-01-25T10:59:59.999000+00:00Z,2.02e-06,2.14e-06,1.98e-06,2.04e-06,826342817725.0,1699377.64449397,6416,520937621687.0,1075077.17334857
2022-01-25T11:00:00+00:00Z,2022-01-25T11:59:59.999000+00:00Z,2.03e-06,2.1e-06,1.97e-06,2.03e-06,562496294319.0,1154768.04454144,4430,325370704857.0,670775.05877586
2022-01-25T12:00:00+00:00Z,2022-01-25T12:59:59.999000+00:00Z,2.03e-06,2.08e-06,1.98e-06,2.05e-06,486150354123.0,990557.66307605,4378,253290012054.0,517555.15852802
2022-01-25T13:00:00+00:00Z,2022-01-25T13:59:59.999000+00:00Z,2.04e-06,2.08e-06,2e-06,2.04e-06,417913010881.0,850821.11952502,3426,206004558655.0,420484.6748862
