# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,C98USDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-07-23T12:00:00+00:00Z
# t0_final_iso,2021-07-23T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7c58bbad3a55dad4
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-07-23T12:00:00+00:00Z,2021-07-23T12:59:59.999000+00:00Z,0.07541,3.0,0.07541,0.9747,144159228.0,134274664.35597,231097,72199737.0,67458793.76962
2021-07-23T13:00:00+00:00Z,2021-07-23T13:59:59.999000+00:00Z,0.9747,0.98,0.787,0.80245,30706152.0,26758482.7676,64358,13987797.0,12260449.85868
2021-07-23T14:00:00+00:00Z,2021-07-23T14:59:59.999000+00:00Z,0.8007,0.85888,0.7934,0.83798,18107753.0,14950820.72859,39077,9020363.0,7459386.68061
2021-07-23T15:00:00+00:00Z,2021-07-23T15:59:59.999000+00:00Z,0.83942,0.95979,0.81,0.93052,29043052.0,26270547.76269,63901,16520811.0,14942661.92873
2021-07-23T16:00:00+00:00Z,2021-07-23T16:59:59.999000+00:00Z,0.9305,0.93292,0.85022,0.89052,18026035.0,16084712.42862,42613,8951150.0,7999105.17266
2021-07-23T17:00:00+00:00Z,2021-07-23T17:59:59.999000+00:00Z,0.89203,0.90722,0.83222,0.85631,10123372.0,8788242.76741,26111,4605854.0,4008477.94371
2021-07-23T18:00:00+00:00Z,2021-07-23T18:59:59.999000+00:00Z,0.85688,0.85832,0.817,0.834,6291071.0,5245899.1752,14662,2684988.0,2243751.85666
2021-07-23T19:00:00+00:00Z,2021-07-23T19:59:59.999000+00:00Z,0.834,0.86756,0.818,0.86384,5420495.0,4554983.38067,12778,3018987.0,2541345.70864
2021-07-23T20:00:00+00:00Z,2021-07-23T20:59:59.999000+00:00Z,0.86286,0.90011,0.8346,0.8566,8131188.0,7061962.95974,18949,4338294.0,3775241.56083
2021-07-23T21:00:00+00:00Z,2021-07-23T21:59:59.999000+00:00Z,0.8565,0.86056,0.8222,0.82748,3735987.0,3150437.60179,9708,1578178.0,1331577.43363
2021-07-23T22:00:00+00:00Z,2021-07-23T22:59:59.999000+00:00Z,0.82711,0.84501,0.721,0.74362,9060100.0,7031809.42857,19028,3697604.0,2861064.83587
2021-07-23T23:00:00+00:00Z,2021-07-23T23:59:59.999000+00:00Z,0.74636,0.7525,0.70222,0.74531,7242976.0,5266140.65921,14552,3702367.0,2697933.12133
2021-07-24T00:00:00+00:00Z,2021-07-24T00:59:59.999000+00:00Z,0.74531,0.83,0.7453,0.79221,11904076.0,9417233.45571,23953,6163755.0,4881445.55994
2021-07-24T01:00:00+00:00Z,2021-07-24T01:59:59.999000+00:00Z,0.79292,0.79292,0.7422,0.75791,4527443.0,3465421.22644,10210,2008027.0,1537168.92193
2021-07-24T02:00:00+00:00Z,2021-07-24T02:59:59.999000+00:00Z,0.758,0.94508,0.758,0.93673,17904991.0,15385359.61938,37756,10408049.0,8953942.47451
2021-07-24T03:00:00+00:00Z,2021-07-24T03:59:59.999000+00:00Z,0.93661,1.11,0.91,1.0315,42639056.0,43809656.93179,93531,22082721.0,22671902.47652
2021-07-24T04:00:00+00:00Z,2021-07-24T04:59:59.999000+00:00Z,1.0314,1.38273,0.96633,1.30595,59176061.0,72168321.01416,127415,31948620.0,38966919.7021
2021-07-24T05:00:00+00:00Z,2021-07-24T05:59:59.999000+00:00Z,1.30583,1.47764,1.20618,1.45394,44760966.0,60525637.73318,125805,23963002.0,32493294.31519
2021-07-24T06:00:00+00:00Z,2021-07-24T06:59:59.999000+00:00Z,1.45394,2.13999,1.45089,1.75809,121628297.0,224455031.79545,329468,63730637.0,117254176.58958
2021-07-24T07:00:00+00:00Z,2021-07-24T07:59:59.999000+00:00Z,1.75883,2.03295,1.68,1.88177,62017438.0,114093271.01503,199010,33580267.0,61893031.9558
2021-07-24T08:00:00+00:00Z,2021-07-24T08:59:59.999000+00:00Z,1.88161,1.99,1.8,1.9603,34947284.0,66213036.78031,137248,19162721.0,36388212.63818
2021-07-24T09:00:00+00:00Z,2021-07-24T09:59:59.999000+00:00Z,1.96,2.17369,1.89105,1.9402,46817141.0,94195159.53562,161381,25108428.0,50652446.55998
2021-07-24T10:00:00+00:00Z,2021-07-24T10:59:59.999000+00:00Z,1.94135,1.98,1.83622,1.94145,20045572.0,38190025.88833,79824,10425498.0,19921371.15795
2021-07-24T11:00:00+00:00Z,2021-07-24T11:59:59.999000+00:00Z,1.94139,1.95,1.8682,1.92431,12782326.0,24505469.11952,56087,6778253.0,13014408.62797
2021-07-24T12:00:00+00:00Z,2021-07-24T12:59:59.999000+00:00Z,1.91957,1.92845,1.64283,1.6818,30807505.0,53340026.46506,112861,13726618.0,23747403.99242
2021-07-24T13:00:00+00:00Z,2021-07-24T13:59:59.999000+00:00Z,1.6819,1.69,1.51478,1.62288,26028710.0,41203095.86261,75922,10805827.0,17119029.51972
2021-07-24T14:00:00+00:00Z,2021-07-24T14:59:59.999000+00:00Z,1.62288,1.75193,1.57622,1.5908,30412794.0,50514500.02302,95905,16666303.0,27724580.85116
2021-07-24T15:00:00+00:00Z,2021-07-24T15:59:59.999000+00:00Z,1.5902,1.63346,1.54088,1.56288,10491421.0,16614129.26091,43016,5262321.0,8345827.94663
2021-07-24T16:00:00+00:00Z,2021-07-24T16:59:59.999000+00:00Z,1.56289,1.749,1.54651,1.68788,20575864.0,34431500.68603,76889,11040813.0,18485113.91943
2021-07-24T17:00:00+00:00Z,2021-07-24T17:59:59.999000+00:00Z,1.68777,1.7679,1.656,1.74383,10124439.0,17335013.41078,38755,5763067.0,9878913.30743
2021-07-24T18:00:00+00:00Z,2021-07-24T18:59:59.999000+00:00Z,1.74132,1.9288,1.74132,1.879,26288925.0,49009752.20068,101173,13665384.0,25438270.08282
2021-07-24T19:00:00+00:00Z,2021-07-24T19:59:59.999000+00:00Z,1.87924,1.88799,1.8068,1.83833,8913559.0,16441327.12269,35445,3468035.0,6408511.89507
2021-07-24T20:00:00+00:00Z,2021-07-24T20:59:59.999000+00:00Z,1.83833,1.84497,1.67447,1.73634,10726590.0,18669817.46537,37208,5174012.0,9000027.97741
2021-07-24T21:00:00+00:00Z,2021-07-24T21:59:59.999000+00:00Z,1.73659,1.8409,1.66904,1.78223,8721448.0,15259204.24208,34968,4211528.0,7386233.84805
2021-07-24T22:00:00+00:00Z,2021-07-24T22:59:59.999000+00:00Z,1.78411,1.7857,1.7265,1.77092,5298345.0,9317502.71508,23512,2842643.0,5002075.01789
2021-07-24T23:00:00+00:00Z,2021-07-24T23:59:59.999000+00:00Z,1.77217,2.049,1.76004,2.01,26018763.0,50227986.24591,105791,15164780.0,29309373.08952
2021-07-25T00:00:00+00:00Z,2021-07-25T00:59:59.999000+00:00Z,2.00926,2.01643,1.77988,1.8346,14781512.0,27926949.48426,62020,6981906.0,13188453.54673
2021-07-25T01:00:00+00:00Z,2021-07-25T01:59:59.999000+00:00Z,1.83503,1.86539,1.68401,1.75056,10674952.0,18696800.38768,38026,4715908.0,8283300.41161
2021-07-25T02:00:00+00:00Z,2021-07-25T02:59:59.999000+00:00Z,1.75161,1.85923,1.735,1.76599,6721875.0,12057563.96953,27971,3410674.0,6130824.51545
2021-07-25T03:00:00+00:00Z,2021-07-25T03:59:59.999000+00:00Z,1.76594,1.835,1.74109,1.78625,4692215.0,8380300.59378,18726,2475025.0,4424049.87666
