# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CAKEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-02-19T06:00:00+00:00Z
# t0_final_iso,2021-02-19T06:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,2f41b5883f150a29
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-02-19T06:00:00+00:00Z,2021-02-19T06:59:59.999000+00:00Z,9.55,30.0,9.55,16.999,1101443.391,19497058.866293,50035,579897.788,10324421.11879
2021-02-19T07:00:00+00:00Z,2021-02-19T07:59:59.999000+00:00Z,17.01,19.6,16.321,17.64,1040203.352,18983371.837251,43649,499089.439,9125799.61968
2021-02-19T08:00:00+00:00Z,2021-02-19T08:59:59.999000+00:00Z,17.647,18.777,17.15,17.577,727773.902,13140910.582457,32742,294328.396,5314685.843239
2021-02-19T09:00:00+00:00Z,2021-02-19T09:59:59.999000+00:00Z,17.5,17.965,16.63,16.707,438930.903,7569161.322077,21220,197764.532,3420987.551025
2021-02-19T10:00:00+00:00Z,2021-02-19T10:59:59.999000+00:00Z,16.704,17.75,16.5,17.536,471596.244,8141108.78193,18841,196770.124,3396957.979221
2021-02-19T11:00:00+00:00Z,2021-02-19T11:59:59.999000+00:00Z,17.55,18.199,17.45,17.751,418881.466,7485987.22159,18569,210990.228,3770747.357313
2021-02-19T12:00:00+00:00Z,2021-02-19T12:59:59.999000+00:00Z,17.753,18.2,17.5,17.95,221396.596,3944735.066474,11491,113493.079,2023993.438276
2021-02-19T13:00:00+00:00Z,2021-02-19T13:59:59.999000+00:00Z,17.927,19.8,17.7,19.386,879612.697,16772474.685041,23307,500777.247,9548333.957747
2021-02-19T14:00:00+00:00Z,2021-02-19T14:59:59.999000+00:00Z,19.339,20.24,18.507,19.648,1073247.072,21001838.517077,28018,638724.1,12510168.456527
2021-02-19T15:00:00+00:00Z,2021-02-19T15:59:59.999000+00:00Z,19.62,21.7,17.45,19.151,1514085.939,29688090.72015,43968,746821.514,14726477.862102
2021-02-19T16:00:00+00:00Z,2021-02-19T16:59:59.999000+00:00Z,19.098,19.263,16.707,17.468,683217.909,12181912.777919,25497,270013.917,4845088.290341
2021-02-19T17:00:00+00:00Z,2021-02-19T17:59:59.999000+00:00Z,17.557,18.372,17.355,17.899,185826.693,3299896.818207,9910,90716.416,1611862.289224
2021-02-19T18:00:00+00:00Z,2021-02-19T18:59:59.999000+00:00Z,17.86,18.098,17.336,17.493,19756.028,348408.208978,2368,6021.473,107174.561939
2021-02-19T19:00:00+00:00Z,2021-02-19T19:59:59.999000+00:00Z,17.56,19.0,17.131,18.471,260746.154,4718204.901487,14814,143034.732,2583970.038396
2021-02-19T20:00:00+00:00Z,2021-02-19T20:59:59.999000+00:00Z,18.5,19.8,18.355,18.946,563412.115,10783136.624517,23215,297994.852,5704376.678186
2021-02-19T21:00:00+00:00Z,2021-02-19T21:59:59.999000+00:00Z,18.986,19.2,18.207,19.171,223669.984,4169711.330625,11799,113871.494,2124607.393153
2021-02-19T22:00:00+00:00Z,2021-02-19T22:59:59.999000+00:00Z,19.181,20.0,18.623,18.713,349850.818,6772206.794438,17662,195554.761,3799699.552154
2021-02-19T23:00:00+00:00Z,2021-02-19T23:59:59.999000+00:00Z,18.768,19.306,18.515,18.934,168954.049,3213180.634087,11334,82732.641,1575547.887495
2021-02-20T00:00:00+00:00Z,2021-02-20T00:59:59.999000+00:00Z,18.934,19.0,15.535,16.152,470085.534,8191099.172507,22802,181572.23,3174094.120459
2021-02-20T01:00:00+00:00Z,2021-02-20T01:59:59.999000+00:00Z,16.105,17.24,14.5,15.811,668013.718,10515122.375702,25254,308289.33,4867730.05785
2021-02-20T02:00:00+00:00Z,2021-02-20T02:59:59.999000+00:00Z,15.847,17.607,15.502,16.645,485257.712,8140908.632502,17269,227209.281,3820244.059416
