# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CETUSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-11-06T12:00:00+00:00Z
# t0_final_iso,2024-11-06T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,fd83e8537e3455a5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-11-06T12:00:00+00:00Z,2024-11-06T12:59:59.999000+00:00Z,0.1905,0.3283,0.1905,0.2801,57392130.2,16632971.34167,45490,29629045.9,8611265.70436
2024-11-06T13:00:00+00:00Z,2024-11-06T13:59:59.999000+00:00Z,0.2803,0.2899,0.2692,0.2757,14685438.7,4075064.58264,16981,6760535.8,1879434.4051
2024-11-06T14:00:00+00:00Z,2024-11-06T14:59:59.999000+00:00Z,0.2757,0.3176,0.2599,0.2929,78486420.9,22951243.16761,86582,38412477.8,11226965.47499
2024-11-06T15:00:00+00:00Z,2024-11-06T15:59:59.999000+00:00Z,0.2928,0.3148,0.2866,0.3008,31774045.0,9558480.72806,43142,15485521.0,4660683.4054
2024-11-06T16:00:00+00:00Z,2024-11-06T16:59:59.999000+00:00Z,0.3007,0.349,0.3007,0.3189,62004970.3,20292387.66287,82421,32198284.0,10525853.25562
2024-11-06T17:00:00+00:00Z,2024-11-06T17:59:59.999000+00:00Z,0.3189,0.3325,0.3081,0.3259,19896227.7,6389355.17536,28514,9764877.2,3133180.33269
2024-11-06T18:00:00+00:00Z,2024-11-06T18:59:59.999000+00:00Z,0.3257,0.3304,0.3172,0.3248,12042094.0,3899829.83853,17682,5709734.5,1852373.51069
2024-11-06T19:00:00+00:00Z,2024-11-06T19:59:59.999000+00:00Z,0.3246,0.326,0.3038,0.3117,12944340.4,4054680.01978,21984,7721451.5,2414006.59973
2024-11-06T20:00:00+00:00Z,2024-11-06T20:59:59.999000+00:00Z,0.3117,0.3117,0.2881,0.2907,9705305.2,2896114.29801,16420,4864470.0,1451981.56596
2024-11-06T21:00:00+00:00Z,2024-11-06T21:59:59.999000+00:00Z,0.2907,0.3121,0.2899,0.306,10187493.5,3091868.74349,13891,5128776.9,1553798.73118
2024-11-06T22:00:00+00:00Z,2024-11-06T22:59:59.999000+00:00Z,0.306,0.3073,0.2925,0.3048,5894171.0,1770761.77485,8126,3048999.6,916594.3767
2024-11-06T23:00:00+00:00Z,2024-11-06T23:59:59.999000+00:00Z,0.3048,0.3083,0.2942,0.2992,5411771.1,1618020.15159,7273,2852736.8,852506.22062
2024-11-07T00:00:00+00:00Z,2024-11-07T00:59:59.999000+00:00Z,0.2992,0.2994,0.2852,0.2953,7136461.4,2087211.66795,11556,3642525.4,1065326.81084
2024-11-07T01:00:00+00:00Z,2024-11-07T01:59:59.999000+00:00Z,0.2952,0.3254,0.2908,0.3248,15842335.2,4925484.44938,24116,7182401.1,2237681.06125
2024-11-07T02:00:00+00:00Z,2024-11-07T02:59:59.999000+00:00Z,0.3245,0.3303,0.3156,0.3181,10504371.6,3388720.58902,21942,4889814.5,1578184.75374
2024-11-07T03:00:00+00:00Z,2024-11-07T03:59:59.999000+00:00Z,0.3184,0.3212,0.3089,0.3104,5223378.2,1640159.7564,13591,2576631.7,808293.3287
2024-11-07T04:00:00+00:00Z,2024-11-07T04:59:59.999000+00:00Z,0.3103,0.3195,0.3056,0.3087,7903885.5,2476307.3006,13528,3291756.4,1031426.03424
2024-11-07T05:00:00+00:00Z,2024-11-07T05:59:59.999000+00:00Z,0.3088,0.3162,0.3014,0.3133,6210164.9,1928254.19753,11180,3305531.0,1027063.4701
2024-11-07T06:00:00+00:00Z,2024-11-07T06:59:59.999000+00:00Z,0.3133,0.3145,0.3,0.3124,6689929.3,2060673.38625,10840,3286571.7,1013222.23744
2024-11-07T07:00:00+00:00Z,2024-11-07T07:59:59.999000+00:00Z,0.3122,0.3452,0.3099,0.3216,31151059.7,10272978.74974,40273,15644794.7,5163462.05147
2024-11-07T08:00:00+00:00Z,2024-11-07T08:59:59.999000+00:00Z,0.3218,0.3687,0.3214,0.3506,40097700.3,13886046.13612,53838,19500072.7,6748855.83008
