# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CITYUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-11-10T08:00:00+00:00Z
# t0_final_iso,2021-11-10T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6d9ae3f2ef8de042
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-10T08:00:00+00:00Z,2021-11-10T08:59:59.999000+00:00Z,14.44,53.0,14.44,18.11,1429092.49,29611972.4889,71769,683205.47,14274172.1453
2021-11-10T09:00:00+00:00Z,2021-11-10T09:59:59.999000+00:00Z,18.12,18.41,17.5,17.99,223548.46,4028394.7684,10414,110058.5,1986595.0898
2021-11-10T10:00:00+00:00Z,2021-11-10T10:59:59.999000+00:00Z,17.99,18.18,16.79,17.35,153434.51,2668972.3042,7430,62030.25,1081328.2951
2021-11-10T11:00:00+00:00Z,2021-11-10T11:59:59.999000+00:00Z,17.35,17.5,16.45,16.46,167950.51,2848633.8874,5822,63452.74,1079219.6556
2021-11-10T12:00:00+00:00Z,2021-11-10T12:59:59.999000+00:00Z,16.46,16.76,15.67,16.21,213612.37,3456685.9966,6485,94117.85,1523869.3052
2021-11-10T13:00:00+00:00Z,2021-11-10T13:59:59.999000+00:00Z,16.21,16.64,16.03,16.16,105790.9,1727619.4148,4071,54877.05,897491.333
2021-11-10T14:00:00+00:00Z,2021-11-10T14:59:59.999000+00:00Z,16.15,16.4,15.95,15.99,75328.15,1216627.8101,3228,32936.86,533336.1897
2021-11-10T15:00:00+00:00Z,2021-11-10T15:59:59.999000+00:00Z,16.0,17.5,15.53,17.49,234760.83,3908606.5314,7413,137905.23,2304255.0257
2021-11-10T16:00:00+00:00Z,2021-11-10T16:59:59.999000+00:00Z,17.49,18.0,16.6,16.79,276643.06,4760088.4191,10013,138323.05,2392349.9978
2021-11-10T17:00:00+00:00Z,2021-11-10T17:59:59.999000+00:00Z,16.82,17.55,16.11,16.22,137069.79,2309500.8763,5203,70327.57,1188723.8908
2021-11-10T18:00:00+00:00Z,2021-11-10T18:59:59.999000+00:00Z,16.21,16.84,15.95,16.03,58622.08,954185.682,3207,26718.47,435640.2087
2021-11-10T19:00:00+00:00Z,2021-11-10T19:59:59.999000+00:00Z,16.06,16.53,15.6,15.6,63096.27,1010330.6546,2963,25871.91,415911.3248
2021-11-10T20:00:00+00:00Z,2021-11-10T20:59:59.999000+00:00Z,15.6,16.09,15.21,15.29,69328.36,1080550.6719,3109,32916.25,513393.2616
2021-11-10T21:00:00+00:00Z,2021-11-10T21:59:59.999000+00:00Z,15.29,15.52,14.65,14.88,80452.14,1212527.7693,2744,41367.67,623048.0076
2021-11-10T22:00:00+00:00Z,2021-11-10T22:59:59.999000+00:00Z,14.9,17.2,14.56,15.83,168255.42,2698670.2315,5890,94955.11,1526911.4382
2021-11-10T23:00:00+00:00Z,2021-11-10T23:59:59.999000+00:00Z,15.85,16.36,15.27,16.36,42925.1,670703.7158,2371,23677.3,370794.8354
