# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,COOKIEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-01-10T13:00:00+00:00Z
# t0_final_iso,2025-01-10T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,dc45de95d3125d66
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-01-10T13:00:00+00:00Z,2025-01-10T13:59:59.999000+00:00Z,0.4566,0.6999,0.4566,0.5598,22452174.6,13352980.22548,50518,11322184.6,6778361.31262
2025-01-10T14:00:00+00:00Z,2025-01-10T14:59:59.999000+00:00Z,0.56,0.5876,0.5467,0.5788,7025486.6,4029456.87269,17424,3329314.2,1908061.05786
2025-01-10T15:00:00+00:00Z,2025-01-10T15:59:59.999000+00:00Z,0.5783,0.5909,0.5505,0.583,5184017.4,2970312.39327,13726,2372642.0,1359056.42601
2025-01-10T16:00:00+00:00Z,2025-01-10T16:59:59.999000+00:00Z,0.5827,0.6195,0.5753,0.6073,9887196.8,5906222.61623,21723,4679876.2,2797242.56383
2025-01-10T17:00:00+00:00Z,2025-01-10T17:59:59.999000+00:00Z,0.6081,0.6337,0.5927,0.6287,6742280.3,4129558.98884,17635,3378075.3,2068548.35605
2025-01-10T18:00:00+00:00Z,2025-01-10T18:59:59.999000+00:00Z,0.6279,0.6335,0.5931,0.5987,5105099.8,3110919.34944,13224,2401183.6,1464345.12015
2025-01-10T19:00:00+00:00Z,2025-01-10T19:59:59.999000+00:00Z,0.5986,0.6178,0.594,0.5988,3002456.6,1816885.55763,10241,1523404.1,922393.76804
2025-01-10T20:00:00+00:00Z,2025-01-10T20:59:59.999000+00:00Z,0.5988,0.6042,0.5738,0.5921,3023161.7,1789276.37867,9114,1500801.7,887654.08984
2025-01-10T21:00:00+00:00Z,2025-01-10T21:59:59.999000+00:00Z,0.5922,0.6138,0.5878,0.5957,2367738.3,1423209.87089,7696,1252038.8,752610.28273
2025-01-10T22:00:00+00:00Z,2025-01-10T22:59:59.999000+00:00Z,0.5956,0.6028,0.5758,0.5832,1921071.7,1123822.56393,5494,801218.9,468463.64068
2025-01-10T23:00:00+00:00Z,2025-01-10T23:59:59.999000+00:00Z,0.5823,0.5964,0.5777,0.5809,1319310.2,776091.99846,4571,657750.1,386966.60824
2025-01-11T00:00:00+00:00Z,2025-01-11T00:59:59.999000+00:00Z,0.5806,0.586,0.5523,0.5613,2545948.5,1438509.3048,8072,957179.3,540032.15533
2025-01-11T01:00:00+00:00Z,2025-01-11T01:59:59.999000+00:00Z,0.5615,0.5747,0.5601,0.5632,1300995.6,737614.09388,5414,649339.4,367846.8158
2025-01-11T02:00:00+00:00Z,2025-01-11T02:59:59.999000+00:00Z,0.5632,0.574,0.5421,0.5491,1863011.1,1037406.48047,6601,924751.2,516492.94931
2025-01-11T03:00:00+00:00Z,2025-01-11T03:59:59.999000+00:00Z,0.5496,0.5533,0.533,0.5391,1890498.1,1028429.71716,7017,971682.6,529217.31555
2025-01-11T04:00:00+00:00Z,2025-01-11T04:59:59.999000+00:00Z,0.5391,0.5423,0.5249,0.5256,1564578.4,830888.30494,6750,740036.5,393420.26089
2025-01-11T05:00:00+00:00Z,2025-01-11T05:59:59.999000+00:00Z,0.5252,0.5335,0.5189,0.5215,1793462.0,943440.70574,6050,866200.3,456363.14389
2025-01-11T06:00:00+00:00Z,2025-01-11T06:59:59.999000+00:00Z,0.5218,0.5424,0.5175,0.5193,1508310.3,800976.91789,5401,789391.7,418873.90849
2025-01-11T07:00:00+00:00Z,2025-01-11T07:59:59.999000+00:00Z,0.5193,0.5392,0.5193,0.532,1578315.0,838964.57757,4910,886085.7,471141.84222
2025-01-11T08:00:00+00:00Z,2025-01-11T08:59:59.999000+00:00Z,0.5324,0.534,0.5221,0.5245,1562759.8,825295.25897,4505,720729.0,380302.31927
