# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CVCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,fddb9aed0a2a293a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.0245,0.02453,0.02427,0.02435,18891.6,460.716206,17,7107.3,173.448927
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.02447,0.02464,0.02447,0.0246,73484.9,1804.038303,30,22416.7,549.955858
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.02443,0.02483,0.02443,0.02483,297279.5,7337.309331,67,111803.2,2761.945078
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.02479,0.02487,0.02465,0.02485,35635.5,885.249646,21,27474.0,682.848056
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.02481,0.02481,0.0246,0.02464,11512.6,283.806399,14,1749.2,43.320467
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.02472,0.02474,0.02439,0.02458,120604.1,2966.772431,45,30215.3,745.434736
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.02452,0.02462,0.02442,0.02462,12285.3,301.125896,5,7185.3,176.073896
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.02452,0.02476,0.0245,0.02466,62455.3,1538.952253,35,43782.4,1079.231923
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.02486,0.02536,0.02478,0.02521,189770.6,4735.623941,55,116687.4,2916.986351
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.02515,0.02515,0.02474,0.02482,329773.9,8211.671191,97,73951.8,1840.584032
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.02481,0.02505,0.02481,0.02499,102742.1,2564.895839,54,60390.3,1506.998052
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.02495,0.02548,0.02495,0.02547,46386.7,1170.900283,33,37723.4,952.332359
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.02539,0.02562,0.02522,0.02522,446562.9,11356.259843,59,327224.2,8326.675566
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.02524,0.02537,0.02515,0.02526,75105.8,1900.055093,31,58501.0,1480.467998
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.02509,0.02509,0.02471,0.02491,420805.7,10509.948739,118,226692.6,5669.826129
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.02484,0.02494,0.0248,0.0248,110068.2,2737.85811,59,68037.2,1691.818092
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.0248,0.02495,0.02468,0.02495,84285.0,2091.289868,37,56368.0,1400.880738
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.02495,0.02501,0.0249,0.02495,17150.7,428.025829,13,4616.5,115.443368
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.025,0.0251,0.02478,0.02484,35148.4,876.950945,41,12260.7,306.345562
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.02506,0.02541,0.02495,0.02541,23157.3,582.630037,17,20834.4,523.848235
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.02542,0.02557,0.02534,0.0254,150858.0,3846.985204,58,58124.7,1481.256297
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.02537,0.02676,0.02535,0.02671,580300.6,15205.556062,260,404371.7,10571.394708
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.02675,0.0273,0.02665,0.02698,1013919.5,27308.526233,303,842778.7,22707.155522
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.02681,0.02758,0.02654,0.02683,426542.7,11496.403827,221,223927.5,6050.906674
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.02665,0.02701,0.02643,0.0267,572735.7,15321.953378,84,227947.8,6121.394322
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.02683,0.02686,0.02611,0.02665,482579.8,12741.87209,158,214683.6,5688.829928
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.02658,0.02675,0.02645,0.02666,79386.3,2110.706468,70,55167.6,1467.969802
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.02666,0.02669,0.02642,0.02642,12349.0,328.862436,11,9663.7,257.869453
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.02642,0.02665,0.02638,0.02661,74116.4,1965.958689,48,39080.9,1039.498978
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.02663,0.02666,0.02637,0.02649,32745.7,867.498562,37,4521.1,120.031431
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.02634,0.02679,0.02632,0.02679,94024.4,2500.012029,50,50885.9,1356.72645
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.0267,0.02715,0.02669,0.02715,121888.3,3289.793669,85,56018.7,1514.564229
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.02714,0.02714,0.0268,0.0269,103523.3,2789.824046,31,7053.6,189.796327
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.02681,0.02741,0.02677,0.02722,324559.8,8846.127311,108,202131.8,5506.850239
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.02739,0.0296,0.02717,0.02788,1370879.6,38909.031882,429,860193.8,24426.817035
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,0.0279,0.0294,0.02779,0.02881,597326.9,16933.905436,205,261648.9,7432.582764
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,0.0287,0.029,0.02833,0.02887,420413.0,12048.305149,111,157370.5,4511.541114
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,0.02886,0.02886,0.02832,0.02849,74856.6,2140.422133,56,36541.5,1043.111294
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,0.02849,0.02855,0.02833,0.02846,79194.6,2254.745088,27,58064.4,1655.337197
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,0.02846,0.02945,0.02799,0.02831,999195.0,28408.951146,313,556805.5,15832.296952
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,0.02855,0.02882,0.0281,0.0281,241708.0,6871.391469,103,101713.6,2896.508484
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,0.02813,0.03151,0.02812,0.03125,3144972.1,94934.621644,885,1506198.7,45182.811922
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,0.03122,0.0389,0.03116,0.03262,32630689.3,1168385.324578,6751,17374671.4,624127.112926
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,0.03262,0.03373,0.03128,0.03156,3552366.1,114838.308135,1399,1630165.3,52888.451614
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,0.03156,0.03255,0.03122,0.0321,2303311.7,73434.351995,523,906619.4,29009.515677
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,0.0321,0.03225,0.0301,0.03033,2953633.8,91041.058106,793,1269863.9,39338.42067
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,0.03036,0.03048,0.02914,0.02914,2027576.5,60128.768092,471,819017.2,24220.96518
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,0.02929,0.02945,0.02868,0.02901,1648083.0,47724.143505,308,702821.1,20359.292065
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,0.02901,0.02932,0.0287,0.02887,595425.8,17300.470048,166,353243.6,10256.769707
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,0.02885,0.02893,0.0283,0.02872,1717858.2,49181.695804,282,1052466.8,30111.330964
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,0.02848,0.02874,0.02847,0.02868,281182.4,8031.628325,97,60114.2,1722.020869
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,0.02859,0.0287,0.02836,0.02859,232409.3,6615.907646,66,36342.0,1036.255724
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,0.02844,0.02864,0.02837,0.02864,57166.6,1629.202411,23,28914.1,824.697796
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,0.02839,0.02902,0.02832,0.02902,255825.9,7326.844149,108,140935.3,4049.105184
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,0.02902,0.02922,0.02883,0.0289,332134.6,9643.800945,104,242027.3,7034.432658
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,0.02894,0.02942,0.02888,0.02896,473122.8,13784.021576,126,215811.4,6297.396861
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,0.02897,0.02897,0.02786,0.02809,681234.5,19204.248209,196,358462.9,10044.342996
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,0.028,0.03384,0.02789,0.02949,7078297.7,218997.897442,1413,3118789.6,98299.533997
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,0.02974,0.02977,0.02747,0.02753,4294712.0,120787.187265,980,2005880.6,56351.899601
