# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CYBERUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-08-15T12:00:00+00:00Z
# t0_final_iso,2023-08-15T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ec9eed0d402c772f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-08-15T12:00:00+00:00Z,2023-08-15T12:59:59.999000+00:00Z,1.44,17.79,1.44,6.264,4332845.14,30081434.11919,113382,2125044.07,14794215.57099
2023-08-15T13:00:00+00:00Z,2023-08-15T13:59:59.999000+00:00Z,6.262,6.316,5.45,5.666,2101990.46,12152349.19593,44358,1002436.76,5803035.76663
2023-08-15T14:00:00+00:00Z,2023-08-15T14:59:59.999000+00:00Z,5.657,5.711,5.203,5.315,1127703.1,6104920.19264,23246,464568.95,2514980.78019
2023-08-15T15:00:00+00:00Z,2023-08-15T15:59:59.999000+00:00Z,5.315,5.66,5.27,5.43,1116545.67,6135669.40608,21644,509818.25,2802143.29529
2023-08-15T16:00:00+00:00Z,2023-08-15T16:59:59.999000+00:00Z,5.434,5.436,4.82,4.92,928359.14,4793273.54889,15423,364127.57,1876282.70553
2023-08-15T17:00:00+00:00Z,2023-08-15T17:59:59.999000+00:00Z,4.92,5.044,4.76,4.867,596533.31,2925751.94546,10977,264216.3,1297766.65646
2023-08-15T18:00:00+00:00Z,2023-08-15T18:59:59.999000+00:00Z,4.868,4.99,4.686,4.773,455398.27,2186518.40288,8259,206304.73,991615.2928
2023-08-15T19:00:00+00:00Z,2023-08-15T19:59:59.999000+00:00Z,4.773,4.849,4.568,4.794,497114.71,2338763.40181,8095,211987.07,998473.97057
2023-08-15T20:00:00+00:00Z,2023-08-15T20:59:59.999000+00:00Z,4.791,4.827,4.62,4.667,268410.17,1272864.39882,4684,117896.63,559733.35741
2023-08-15T21:00:00+00:00Z,2023-08-15T21:59:59.999000+00:00Z,4.666,4.746,4.6,4.644,158283.12,739088.34358,2926,74851.96,349777.69157
2023-08-15T22:00:00+00:00Z,2023-08-15T22:59:59.999000+00:00Z,4.643,4.643,4.501,4.537,221038.19,1006379.82439,3367,85722.63,390591.99491
