# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,DATAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,2caadf4c3dcd5c6d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,0.04241,0.0433,0.04227,0.04279,157068.2,6702.430022,131,84720.7,3613.621842
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.04299,0.04345,0.04283,0.04285,138479.6,5975.138277,95,106703.3,4610.945852
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.04284,0.04312,0.04257,0.04276,199831.3,8527.374782,134,91729.2,3916.45629
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.04299,0.04321,0.04241,0.04242,83433.2,3575.737914,63,23741.6,1021.541554
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.04238,0.0428,0.04228,0.04273,71826.0,3049.062229,41,29819.3,1267.929753
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.04238,0.04273,0.042,0.04217,132908.3,5619.612096,72,14007.1,590.912511
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.04236,0.04257,0.0421,0.04257,11485.8,485.289223,16,4959.4,210.346031
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.04226,0.04275,0.04226,0.04252,9280.4,394.970002,13,3348.4,142.7688
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.04236,0.04269,0.04224,0.04232,15393.7,652.089053,18,3376.1,143.463605
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.04253,0.04253,0.04224,0.04224,2885.7,122.115864,3,664.0,28.23992
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.04224,0.04251,0.042,0.042,94751.5,3986.216143,28,10869.8,457.643928
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.042,0.04234,0.042,0.04234,40204.1,1694.236786,18,14718.5,622.0552
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.04212,0.04229,0.04182,0.04214,76857.3,3230.345081,51,37260.0,1567.827749
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.04214,0.04246,0.04199,0.04219,53288.7,2247.125845,33,25453.0,1074.429341
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.04213,0.04217,0.04158,0.04158,37019.0,1544.295724,32,11613.8,485.053893
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.04158,0.04158,0.04135,0.04152,69421.9,2881.337517,47,22705.9,942.802473
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.04151,0.04156,0.04122,0.04126,35495.5,1470.961511,35,7110.0,294.818157
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.04132,0.042,0.04121,0.04165,82575.6,3425.960978,75,44616.1,1848.216439
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.04192,0.04192,0.04138,0.04153,58414.9,2433.871412,24,31028.2,1296.854928
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.04165,0.04172,0.04155,0.0417,12685.4,527.914193,14,2801.1,116.791947
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.0417,0.04229,0.0417,0.04229,68990.4,2902.338454,46,65968.2,2775.374381
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.04244,0.04275,0.04223,0.04249,87592.3,3715.504055,46,38171.3,1621.902184
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.04244,0.04474,0.0423,0.04416,536637.6,23402.974313,233,287294.9,12548.094513
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.04413,0.04424,0.0431,0.04338,250909.2,10935.254498,102,63996.0,2796.375416
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.04331,0.04372,0.04331,0.04333,155822.1,6778.336011,35,30313.9,1321.806037
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.04361,0.04382,0.04319,0.04382,95586.8,4150.124966,57,76339.9,3316.207165
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.04382,0.04387,0.04361,0.04387,34018.7,1490.279191,28,24510.0,1074.518693
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.04387,0.04395,0.04368,0.04372,27450.6,1202.296954,24,15982.7,701.024706
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.0437,0.04817,0.04359,0.04598,1392682.6,63802.0141,588,995546.1,45759.927461
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.04598,0.04598,0.04498,0.04502,133539.0,6052.452158,65,49462.0,2241.716397
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.045,0.04549,0.045,0.04543,49107.7,2226.694439,34,29844.1,1354.316165
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.04505,0.04682,0.04504,0.04611,132781.3,6106.107824,92,88404.5,4067.033601
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.04612,0.04619,0.04516,0.04573,248355.0,11303.230608,88,94375.7,4303.707867
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.04572,0.04573,0.04537,0.04554,123635.8,5633.997489,69,18884.4,861.762465
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.04551,0.0458,0.04542,0.04547,13096.9,596.88995,16,9684.5,441.808522
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.04554,0.04581,0.04538,0.04551,57390.5,2611.329345,25,32381.5,1474.881878
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,0.04555,0.04645,0.04555,0.04584,210707.0,9658.910058,134,170374.5,7799.739001
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,0.04584,0.04623,0.04436,0.04484,413724.9,18656.155683,244,135334.4,6078.544853
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,0.04497,0.04521,0.04461,0.04461,33657.9,1512.968359,41,11862.4,535.337094
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,0.04463,0.04501,0.04363,0.0449,915556.5,40556.253641,204,214620.6,9531.101482
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,0.04471,0.04495,0.0439,0.04407,187082.5,8277.9291,77,108584.1,4802.340254
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,0.04414,0.04473,0.04405,0.04473,103891.1,4620.315438,40,36188.4,1612.256685
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,0.04441,0.0447,0.04383,0.04383,179629.5,7937.298866,85,50035.4,2219.245819
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,0.04423,0.0446,0.0442,0.04434,58412.6,2591.449913,33,32102.0,1424.873191
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,0.04425,0.04436,0.04362,0.04421,121191.3,5302.051304,61,105324.4,4604.754197
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,0.04391,0.04394,0.04337,0.04387,80577.4,3523.41747,69,47425.3,2076.17028
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,0.04395,0.04417,0.04387,0.04404,26718.4,1173.903467,25,10180.7,447.979263
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,0.04404,0.04417,0.04373,0.04403,78968.8,3462.864363,51,33246.9,1456.924157
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,0.04403,0.04507,0.04403,0.0448,280313.9,12535.710123,142,100597.7,4502.426792
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,0.04461,0.0453,0.0446,0.04515,121445.1,5476.568806,88,74661.8,3369.7737
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,0.04515,0.04516,0.04414,0.0444,105517.0,4711.087173,74,77875.0,3477.690271
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,0.0445,0.04452,0.0428,0.04312,509925.7,22157.755663,226,110235.6,4772.710293
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,0.04312,0.04413,0.04306,0.0437,400629.8,17342.628945,202,367664.8,15909.931952
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,0.04379,0.0439,0.04345,0.04372,60938.8,2660.146469,43,27085.1,1185.656341
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,0.0435,0.04368,0.04338,0.04366,45481.5,1979.19084,13,17738.2,774.548789
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,0.04364,0.04365,0.04329,0.04329,10206.4,443.561043,16,6044.5,263.171137
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,0.04339,0.04347,0.04325,0.04341,19306.7,837.504505,12,11843.9,514.333097
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,0.04341,0.04341,0.04242,0.04242,79906.8,3429.195447,69,5653.2,241.928042
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,0.04233,0.04249,0.04047,0.04116,471503.0,19472.616943,254,154369.3,6341.549631
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,0.04095,0.04188,0.04095,0.04159,168740.3,6975.369918,117,138031.9,5702.153329
2020-10-11T02:00:00+00:00Z,2020-10-11T02:59:59.999000+00:00Z,0.04161,0.04227,0.04161,0.04211,206370.6,8639.066782,128,46432.5,1952.133058
2020-10-11T03:00:00+00:00Z,2020-10-11T03:59:59.999000+00:00Z,0.04211,0.04213,0.04169,0.04169,37769.0,1579.738131,50,7536.7,316.606073
2020-10-11T04:00:00+00:00Z,2020-10-11T04:59:59.999000+00:00Z,0.04177,0.04184,0.04157,0.04166,154400.8,6435.102087,35,4696.0,196.15503
2020-10-11T05:00:00+00:00Z,2020-10-11T05:59:59.999000+00:00Z,0.04174,0.04185,0.04167,0.04185,8047.6,336.03229,15,5030.0,210.212844
2020-10-11T06:00:00+00:00Z,2020-10-11T06:59:59.999000+00:00Z,0.04171,0.04201,0.04152,0.04194,31147.6,1299.313572,50,7632.2,319.352629
2020-10-11T07:00:00+00:00Z,2020-10-11T07:59:59.999000+00:00Z,0.04199,0.0422,0.04155,0.0422,53239.0,2223.618619,35,2003.5,84.194171
2020-10-11T08:00:00+00:00Z,2020-10-11T08:59:59.999000+00:00Z,0.04192,0.04221,0.04178,0.04219,61712.2,2593.033574,56,36550.8,1539.137967
