# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,DODOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-02-19T10:00:00+00:00Z
# t0_final_iso,2021-02-19T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e59499aada298780
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-02-19T10:00:00+00:00Z,2021-02-19T10:59:59.999000+00:00Z,2.788,10.0,2.788,6.651,17903201.274,128995999.347193,258706,9636464.769,70761391.637653
2021-02-19T11:00:00+00:00Z,2021-02-19T11:59:59.999000+00:00Z,6.662,7.9,6.66,7.064,6509948.972,47460235.138132,95374,3493951.73,25544908.278015
2021-02-19T12:00:00+00:00Z,2021-02-19T12:59:59.999000+00:00Z,7.064,7.3,6.6,6.785,2824063.389,19356199.781431,38522,1357946.546,9315075.466507
2021-02-19T13:00:00+00:00Z,2021-02-19T13:59:59.999000+00:00Z,6.785,6.989,6.223,6.302,3228731.001,21239391.181567,43872,1457889.144,9625654.298487
2021-02-19T14:00:00+00:00Z,2021-02-19T14:59:59.999000+00:00Z,6.3,6.532,5.345,5.625,4432758.962,26738558.103978,52490,1894035.301,11502486.450949
2021-02-19T15:00:00+00:00Z,2021-02-19T15:59:59.999000+00:00Z,5.627,6.35,5.568,5.9,3047786.721,18169950.01197,35930,1525314.923,9097372.199394
2021-02-19T16:00:00+00:00Z,2021-02-19T16:59:59.999000+00:00Z,5.899,6.5,5.898,6.273,1544880.887,9697030.637294,25089,876630.48,5511186.463478
2021-02-19T17:00:00+00:00Z,2021-02-19T17:59:59.999000+00:00Z,6.274,6.35,5.912,6.075,574495.951,3511342.393421,12198,251046.814,1534429.039085
2021-02-19T18:00:00+00:00Z,2021-02-19T18:59:59.999000+00:00Z,6.078,6.146,5.9,5.9,76427.715,458179.788387,3635,26538.652,159640.072816
2021-02-19T19:00:00+00:00Z,2021-02-19T19:59:59.999000+00:00Z,5.905,6.202,5.656,6.151,974201.348,5786069.598157,19152,473125.851,2825497.427741
2021-02-19T20:00:00+00:00Z,2021-02-19T20:59:59.999000+00:00Z,6.159,6.18,5.802,5.875,643947.714,3845501.006629,14845,311231.813,1858512.079007
2021-02-19T21:00:00+00:00Z,2021-02-19T21:59:59.999000+00:00Z,5.869,5.985,5.615,5.636,805575.866,4646179.82869,15408,380158.584,2195351.045407
2021-02-19T22:00:00+00:00Z,2021-02-19T22:59:59.999000+00:00Z,5.637,5.88,5.625,5.789,511271.059,2938899.780775,12192,275937.929,1586156.513769
2021-02-19T23:00:00+00:00Z,2021-02-19T23:59:59.999000+00:00Z,5.789,6.65,5.774,6.225,2447876.743,15452387.248526,34369,1401849.686,8829986.59848
2021-02-20T00:00:00+00:00Z,2021-02-20T00:59:59.999000+00:00Z,6.225,6.387,5.859,5.946,1096285.339,6677957.764216,23601,509559.405,3109433.065736
2021-02-20T01:00:00+00:00Z,2021-02-20T01:59:59.999000+00:00Z,5.938,6.23,5.762,5.968,824595.586,4921752.206967,14493,418727.301,2503820.77578
2021-02-20T02:00:00+00:00Z,2021-02-20T02:59:59.999000+00:00Z,5.972,6.306,5.871,6.194,901898.421,5492730.194038,16756,509748.751,3109089.924108
2021-02-20T03:00:00+00:00Z,2021-02-20T03:59:59.999000+00:00Z,6.194,6.439,6.092,6.179,822217.75,5146586.204952,17031,386723.093,2428151.966516
2021-02-20T04:00:00+00:00Z,2021-02-20T04:59:59.999000+00:00Z,6.185,6.223,5.9,6.078,641066.094,3863567.646751,13323,326838.363,1974159.345799
2021-02-20T05:00:00+00:00Z,2021-02-20T05:59:59.999000+00:00Z,6.057,6.336,5.93,6.14,790274.435,4836029.565281,13125,420628.896,2580352.184287
2021-02-20T06:00:00+00:00Z,2021-02-20T06:59:59.999000+00:00Z,6.149,6.499,6.0,6.454,932379.015,5827656.366442,16611,530889.904,3324417.088999
2021-02-20T07:00:00+00:00Z,2021-02-20T07:59:59.999000+00:00Z,6.454,7.491,6.181,7.123,4476025.464,31195947.303782,56804,2570900.818,17907754.407261
2021-02-20T08:00:00+00:00Z,2021-02-20T08:59:59.999000+00:00Z,7.124,8.25,6.926,8.073,5219891.834,39181297.280242,68085,3002818.426,22649164.136134
2021-02-20T09:00:00+00:00Z,2021-02-20T09:59:59.999000+00:00Z,8.073,8.75,7.541,8.14,8278586.219,67138733.147086,99884,4272773.636,34723633.851571
2021-02-20T10:00:00+00:00Z,2021-02-20T10:59:59.999000+00:00Z,8.13,8.145,7.318,7.68,3418378.979,26168934.966414,51318,1618305.421,12398316.938098
2021-02-20T11:00:00+00:00Z,2021-02-20T11:59:59.999000+00:00Z,7.674,7.82,7.322,7.38,1343878.717,10074547.018759,25611,621270.639,4660947.595996
2021-02-20T12:00:00+00:00Z,2021-02-20T12:59:59.999000+00:00Z,7.38,7.427,7.026,7.175,1323211.08,9556779.305029,24782,622075.027,4494214.388823
2021-02-20T13:00:00+00:00Z,2021-02-20T13:59:59.999000+00:00Z,7.153,7.2,6.6,6.92,2686645.586,18442281.605624,35282,1296895.813,8905129.865354
2021-02-20T14:00:00+00:00Z,2021-02-20T14:59:59.999000+00:00Z,6.921,7.247,6.411,6.583,2069865.539,14240448.91724,36466,997803.943,6892437.234445
2021-02-20T15:00:00+00:00Z,2021-02-20T15:59:59.999000+00:00Z,6.547,6.982,6.536,6.781,1500532.825,10138597.981246,30361,714353.309,4835791.843395
2021-02-20T16:00:00+00:00Z,2021-02-20T16:59:59.999000+00:00Z,6.794,7.475,6.78,7.278,1939818.007,13943706.419181,35588,1054172.635,7583227.777276
2021-02-20T17:00:00+00:00Z,2021-02-20T17:59:59.999000+00:00Z,7.278,7.346,6.875,6.91,1068008.863,7561892.293858,21426,548919.814,3880941.400752
2021-02-20T18:00:00+00:00Z,2021-02-20T18:59:59.999000+00:00Z,6.917,7.24,6.9,7.131,652458.126,4628954.07951,15655,343523.816,2438767.633933
2021-02-20T19:00:00+00:00Z,2021-02-20T19:59:59.999000+00:00Z,7.131,7.5,7.061,7.34,932677.317,6811761.841262,19814,508830.707,3718921.98605
2021-02-20T20:00:00+00:00Z,2021-02-20T20:59:59.999000+00:00Z,7.341,7.415,6.92,7.082,617760.577,4423918.819813,15401,277378.213,1992949.846263
2021-02-20T21:00:00+00:00Z,2021-02-20T21:59:59.999000+00:00Z,7.082,7.1,6.722,6.783,622861.475,4279788.528998,15047,298797.166,2051755.322586
2021-02-20T22:00:00+00:00Z,2021-02-20T22:59:59.999000+00:00Z,6.788,6.829,5.85,6.227,1695832.203,10704812.401855,32898,627833.557,3973118.661885
2021-02-20T23:00:00+00:00Z,2021-02-20T23:59:59.999000+00:00Z,6.227,6.618,6.226,6.503,716365.124,4616845.144959,17297,372019.932,2400257.45605
2021-02-21T00:00:00+00:00Z,2021-02-21T00:59:59.999000+00:00Z,6.503,6.571,6.227,6.406,722902.084,4644884.408534,17854,349268.58,2246570.421481
2021-02-21T01:00:00+00:00Z,2021-02-21T01:59:59.999000+00:00Z,6.413,6.837,6.362,6.678,673700.173,4487993.447532,15080,370678.798,2468540.799682
2021-02-21T02:00:00+00:00Z,2021-02-21T02:59:59.999000+00:00Z,6.678,7.0,6.621,6.874,496692.313,3382110.061674,10455,254613.359,1737141.430969
