# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,EDENUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-09-30T11:00:00+00:00Z
# t0_final_iso,2025-09-30T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f409ae56e1038348
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-30T11:00:00+00:00Z,2025-09-30T11:59:59.999000+00:00Z,0.15,1.401,0.15,0.653,117279084.7,98875596.6981,778215,58468385.5,49548023.29414
2025-09-30T12:00:00+00:00Z,2025-09-30T12:59:59.999000+00:00Z,0.6524,0.6704,0.5176,0.5498,58192686.5,33693527.05397,258863,29974321.4,17344947.37692
2025-09-30T13:00:00+00:00Z,2025-09-30T13:59:59.999000+00:00Z,0.5502,0.572,0.4871,0.526,45989930.5,24396802.43072,149779,24644305.0,13086968.55476
2025-09-30T14:00:00+00:00Z,2025-09-30T14:59:59.999000+00:00Z,0.526,0.5923,0.5166,0.541,32857509.4,18132285.14154,122132,16739445.5,9239512.74719
2025-09-30T15:00:00+00:00Z,2025-09-30T15:59:59.999000+00:00Z,0.5408,0.5452,0.4451,0.4684,31314626.6,15088579.32649,98660,14458140.4,6944084.34297
2025-09-30T16:00:00+00:00Z,2025-09-30T16:59:59.999000+00:00Z,0.4682,0.4899,0.4215,0.4292,20460089.1,9327158.17869,74020,10454566.4,4760823.49598
2025-09-30T17:00:00+00:00Z,2025-09-30T17:59:59.999000+00:00Z,0.4293,0.4398,0.375,0.3887,22733673.7,9111257.95073,68304,11743071.9,4706476.81786
2025-09-30T18:00:00+00:00Z,2025-09-30T18:59:59.999000+00:00Z,0.3889,0.4166,0.3616,0.3858,17248072.8,6623798.29487,52154,9229277.6,3550814.31302
2025-09-30T19:00:00+00:00Z,2025-09-30T19:59:59.999000+00:00Z,0.3858,0.4099,0.3814,0.386,14741675.3,5797337.02527,34862,8986464.5,3531928.62901
2025-09-30T20:00:00+00:00Z,2025-09-30T20:59:59.999000+00:00Z,0.386,0.3938,0.3654,0.3901,13734043.0,5237599.74122,23072,8084485.9,3083639.66177
2025-09-30T21:00:00+00:00Z,2025-09-30T21:59:59.999000+00:00Z,0.3899,0.4359,0.3819,0.4296,15114261.7,6129829.78955,37260,7931443.1,3213331.02631
2025-09-30T22:00:00+00:00Z,2025-09-30T22:59:59.999000+00:00Z,0.4296,0.452,0.4055,0.4182,14482548.1,6244349.99298,39874,7179657.7,3101816.61876
2025-09-30T23:00:00+00:00Z,2025-09-30T23:59:59.999000+00:00Z,0.4181,0.4281,0.3709,0.4005,15549359.8,6233380.24512,37850,7236127.8,2905095.31681
2025-10-01T00:00:00+00:00Z,2025-10-01T00:59:59.999000+00:00Z,0.401,0.4246,0.39,0.4165,10311836.1,4161253.88693,32204,4723272.0,1910447.94899
2025-10-01T01:00:00+00:00Z,2025-10-01T01:59:59.999000+00:00Z,0.4162,0.4651,0.4087,0.4405,12073161.2,5233183.45453,41328,5820704.0,2526444.18867
2025-10-01T02:00:00+00:00Z,2025-10-01T02:59:59.999000+00:00Z,0.4405,0.4495,0.4178,0.4362,7668467.0,3345422.12602,28875,3370544.1,1471721.15792
2025-10-01T03:00:00+00:00Z,2025-10-01T03:59:59.999000+00:00Z,0.4361,0.5079,0.4289,0.4882,17477751.2,8283504.35402,49622,8662961.3,4108766.4694
2025-10-01T04:00:00+00:00Z,2025-10-01T04:59:59.999000+00:00Z,0.4877,0.4969,0.4091,0.4151,21131681.8,9276358.17472,60462,10346988.7,4531176.93116
2025-10-01T05:00:00+00:00Z,2025-10-01T05:59:59.999000+00:00Z,0.415,0.4237,0.3932,0.4036,11185695.8,4592628.24868,35513,5950037.5,2447276.8169
2025-10-01T06:00:00+00:00Z,2025-10-01T06:59:59.999000+00:00Z,0.4035,0.4238,0.4009,0.4136,8256026.7,3408003.23822,28158,4041814.1,1670185.61081
2025-10-01T07:00:00+00:00Z,2025-10-01T07:59:59.999000+00:00Z,0.4138,0.4295,0.4026,0.4087,8250634.9,3436429.1309,27189,3635268.4,1516795.63985
2025-10-01T08:00:00+00:00Z,2025-10-01T08:59:59.999000+00:00Z,0.4088,0.4207,0.374,0.4117,13380188.5,5290178.79069,29595,6308201.5,2493296.84762
2025-10-01T09:00:00+00:00Z,2025-10-01T09:59:59.999000+00:00Z,0.4117,0.4326,0.411,0.4263,9718815.7,4117535.62616,23626,4538584.9,1923887.44847
2025-10-01T10:00:00+00:00Z,2025-10-01T10:59:59.999000+00:00Z,0.4264,0.449,0.4027,0.4085,11331227.1,4796998.49391,24922,5406919.4,2293035.49218
2025-10-01T11:00:00+00:00Z,2025-10-01T11:59:59.999000+00:00Z,0.4087,0.4191,0.4067,0.4116,5015918.8,2072359.34924,19195,2470855.8,1021017.58564
2025-10-01T12:00:00+00:00Z,2025-10-01T12:59:59.999000+00:00Z,0.4115,0.416,0.3947,0.4,6136776.9,2499446.39734,19270,2863036.5,1167260.32488
2025-10-01T13:00:00+00:00Z,2025-10-01T13:59:59.999000+00:00Z,0.4003,0.4102,0.386,0.4091,9768375.4,3869662.15043,37165,4834123.0,1917879.29444
2025-10-01T14:00:00+00:00Z,2025-10-01T14:59:59.999000+00:00Z,0.409,0.4117,0.3832,0.3874,12066208.5,4752256.90778,52289,5736543.7,2258672.57033
2025-10-01T15:00:00+00:00Z,2025-10-01T15:59:59.999000+00:00Z,0.3873,0.4064,0.3855,0.402,11528546.6,4574687.97745,47624,5599145.3,2220472.04711
2025-10-01T16:00:00+00:00Z,2025-10-01T16:59:59.999000+00:00Z,0.402,0.4021,0.3626,0.3901,16058016.0,6139927.50909,45508,7347987.5,2813579.15164
2025-10-01T17:00:00+00:00Z,2025-10-01T17:59:59.999000+00:00Z,0.3902,0.395,0.3792,0.386,6540421.4,2533382.62109,29508,3272632.8,1268062.85221
2025-10-01T18:00:00+00:00Z,2025-10-01T18:59:59.999000+00:00Z,0.386,0.3949,0.375,0.3928,6298289.3,2426549.81518,25928,3038120.9,1170732.27112
2025-10-01T19:00:00+00:00Z,2025-10-01T19:59:59.999000+00:00Z,0.3928,0.4083,0.3918,0.3986,5850368.8,2346721.72234,17723,3007217.0,1206568.12532
2025-10-01T20:00:00+00:00Z,2025-10-01T20:59:59.999000+00:00Z,0.3988,0.4018,0.3744,0.3758,4467295.3,1716179.57474,11823,2164966.4,831816.97457
2025-10-01T21:00:00+00:00Z,2025-10-01T21:59:59.999000+00:00Z,0.3759,0.3832,0.36,0.3806,6657311.2,2471602.42809,14558,3044348.4,1132106.04723
2025-10-01T22:00:00+00:00Z,2025-10-01T22:59:59.999000+00:00Z,0.3807,0.381,0.368,0.376,3154522.8,1178813.06899,10279,1573600.3,588603.56172
2025-10-01T23:00:00+00:00Z,2025-10-01T23:59:59.999000+00:00Z,0.376,0.3897,0.3712,0.3865,3382216.4,1286383.85851,12222,1619137.8,615411.80672
2025-10-02T00:00:00+00:00Z,2025-10-02T00:59:59.999000+00:00Z,0.3867,0.404,0.3846,0.3947,4990157.9,1969913.90085,15356,2483439.8,980439.64243
2025-10-02T01:00:00+00:00Z,2025-10-02T01:59:59.999000+00:00Z,0.3947,0.4188,0.388,0.4083,5518125.7,2224020.42909,15688,2734966.3,1103174.84516
2025-10-02T02:00:00+00:00Z,2025-10-02T02:59:59.999000+00:00Z,0.4083,0.4193,0.3954,0.3989,5287711.3,2139668.01264,19086,2380925.3,963914.59773
2025-10-02T03:00:00+00:00Z,2025-10-02T03:59:59.999000+00:00Z,0.3989,0.4031,0.3943,0.3984,3883324.9,1545561.63434,15632,1798897.1,716289.20605
2025-10-02T04:00:00+00:00Z,2025-10-02T04:59:59.999000+00:00Z,0.3983,0.4074,0.3864,0.3892,5816742.5,2309885.15653,19953,2724871.1,1084299.54357
2025-10-02T05:00:00+00:00Z,2025-10-02T05:59:59.999000+00:00Z,0.389,0.3896,0.3787,0.3833,4360488.5,1670009.74842,14823,1912465.4,732626.8796
2025-10-02T06:00:00+00:00Z,2025-10-02T06:59:59.999000+00:00Z,0.3832,0.3888,0.3782,0.3791,3797563.9,1453973.6177,14112,1794199.7,688096.00418
2025-10-02T07:00:00+00:00Z,2025-10-02T07:59:59.999000+00:00Z,0.3792,0.3939,0.376,0.3895,4307349.8,1666305.26358,15213,2054031.5,796238.30562
2025-10-02T08:00:00+00:00Z,2025-10-02T08:59:59.999000+00:00Z,0.3896,0.3932,0.3825,0.3909,4013498.3,1560230.20687,12509,1933884.5,751455.01165
2025-10-02T09:00:00+00:00Z,2025-10-02T09:59:59.999000+00:00Z,0.3907,0.409,0.39,0.3984,7028730.4,2818549.97251,20557,3424583.7,1375193.72413
2025-10-02T10:00:00+00:00Z,2025-10-02T10:59:59.999000+00:00Z,0.3983,0.4092,0.3891,0.4048,5601507.3,2234140.68627,22292,2675432.9,1068075.68403
2025-10-02T11:00:00+00:00Z,2025-10-02T11:59:59.999000+00:00Z,0.4047,0.4343,0.3988,0.417,7987734.5,3331149.702,24629,3996754.0,1668633.19269
2025-10-02T12:00:00+00:00Z,2025-10-02T12:59:59.999000+00:00Z,0.417,0.417,0.3938,0.4017,6253967.6,2520078.98082,19889,3202922.1,1289585.17164
2025-10-02T13:00:00+00:00Z,2025-10-02T13:59:59.999000+00:00Z,0.4017,0.4107,0.3922,0.41,6480493.4,2607130.94424,21494,3222084.3,1298272.85052
2025-10-02T14:00:00+00:00Z,2025-10-02T14:59:59.999000+00:00Z,0.4099,0.4109,0.367,0.3704,8913349.5,3392373.28791,22956,3635595.5,1383132.66927
2025-10-02T15:00:00+00:00Z,2025-10-02T15:59:59.999000+00:00Z,0.3704,0.3737,0.3512,0.3609,8155098.7,2937320.11113,17177,3645093.7,1312682.43774
2025-10-02T16:00:00+00:00Z,2025-10-02T16:59:59.999000+00:00Z,0.3611,0.3674,0.355,0.3578,2988465.0,1078300.48957,8303,1335265.6,482235.29328
2025-10-02T17:00:00+00:00Z,2025-10-02T17:59:59.999000+00:00Z,0.3578,0.3662,0.3513,0.3645,4130960.8,1488136.40525,14130,1981971.1,714633.61589
2025-10-02T18:00:00+00:00Z,2025-10-02T18:59:59.999000+00:00Z,0.3644,0.3673,0.3558,0.3608,2954281.6,1063770.37707,8768,1323122.4,476250.93198
2025-10-02T19:00:00+00:00Z,2025-10-02T19:59:59.999000+00:00Z,0.361,0.3657,0.3525,0.3581,3415416.9,1226880.10078,9490,1661389.7,596844.70488
2025-10-02T20:00:00+00:00Z,2025-10-02T20:59:59.999000+00:00Z,0.3579,0.38,0.3486,0.3767,5799440.3,2133344.75234,13735,2763877.7,1018640.38178
2025-10-02T21:00:00+00:00Z,2025-10-02T21:59:59.999000+00:00Z,0.3767,0.3884,0.3763,0.3844,2969933.9,1138304.65474,9068,1661894.5,637049.05849
2025-10-02T22:00:00+00:00Z,2025-10-02T22:59:59.999000+00:00Z,0.385,0.3882,0.3752,0.3807,2104407.1,804558.07934,7707,868528.0,332395.0623
2025-10-02T23:00:00+00:00Z,2025-10-02T23:59:59.999000+00:00Z,0.3809,0.3826,0.376,0.3794,1101854.7,417689.52799,4583,561037.0,212739.43816
2025-10-03T00:00:00+00:00Z,2025-10-03T00:59:59.999000+00:00Z,0.3796,0.3844,0.3658,0.3758,2124415.9,792568.15814,7385,826210.7,308543.41132
2025-10-03T01:00:00+00:00Z,2025-10-03T01:59:59.999000+00:00Z,0.3756,0.3759,0.3677,0.371,1278222.2,473665.44974,5183,542279.6,201033.4513
2025-10-03T02:00:00+00:00Z,2025-10-03T02:59:59.999000+00:00Z,0.3709,0.3769,0.3611,0.3677,2545037.3,936722.55448,8266,1227517.4,452852.54019
