# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,EGLDUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,92b05134695cf4a8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,7.53,7.598,7.45,7.536,23720.818,178136.792379,989,12334.364,92684.382589
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,7.536,7.631,7.475,7.583,22436.356,169499.01764,980,11297.738,85442.4544
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,7.583,7.617,7.5,7.536,13415.625,101340.107519,715,6994.095,52853.225961
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,7.539,7.559,7.457,7.551,9417.126,70834.771634,442,5193.773,39097.631086
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,7.556,7.579,7.48,7.508,8263.433,62126.388662,436,3385.179,25472.091946
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,7.515,7.561,7.431,7.531,12353.375,92621.486981,680,4780.536,35891.160211
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,7.515,7.581,7.485,7.505,6531.209,49233.817813,430,2415.689,18249.94517
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,7.505,7.574,7.464,7.494,5497.601,41330.974129,379,2349.507,17689.796071
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,7.499,7.524,7.427,7.48,9773.857,73040.9836,486,4036.74,30170.739843
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,7.483,7.498,7.307,7.366,13671.588,100919.307437,694,5350.846,39469.412377
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,7.365,7.478,7.342,7.441,6152.733,45566.282374,403,3858.523,28571.206349
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,7.445,7.487,7.44,7.472,2327.358,17379.992178,156,1578.469,11789.393722
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,7.472,8.1,7.442,7.866,78567.448,622120.023148,5044,51054.53,404547.599777
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,7.866,7.867,7.538,7.69,23808.124,183755.344228,1454,12055.874,93167.131263
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,7.701,7.85,7.664,7.801,16306.454,126907.744251,1041,8150.558,63342.468272
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,7.801,7.851,7.727,7.788,10816.559,84021.144686,478,4203.611,32648.556745
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,7.796,8.0,7.786,7.98,11594.712,91385.301316,674,7940.857,62661.3289
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,7.98,7.985,7.946,7.948,13528.555,107712.097497,350,4339.014,34562.305371
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,7.959,7.96,7.856,7.875,6844.709,54027.397167,387,3152.603,24883.510286
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,7.875,8.065,7.856,8.024,15780.201,125845.175571,1099,9812.997,78257.669847
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,8.024,8.133,8.024,8.057,23895.463,193085.057792,1124,12120.84,97987.141549
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,8.057,8.092,7.98,8.01,15222.883,122201.148197,631,7249.588,58256.746651
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,8.01,8.086,7.905,7.96,15733.489,125468.233987,778,5085.078,40611.412652
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,7.97,8.001,7.928,7.972,7225.119,57522.345056,460,3822.192,30454.518211
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,7.984,8.032,7.95,8.004,10614.067,84883.725706,730,6701.954,53639.110787
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,8.021,8.075,7.869,7.898,12858.609,102245.541045,868,4039.515,32167.874762
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,7.898,7.917,7.843,7.873,12422.92,97883.068646,460,7129.876,56226.265916
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,7.863,7.873,7.795,7.815,8699.799,68100.509341,627,2718.378,21270.223027
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,7.82,7.826,7.771,7.816,9874.943,77002.170276,495,4523.63,35295.702419
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,7.817,7.973,7.816,7.924,9282.9,73161.851684,518,4936.495,38907.955975
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,7.923,7.948,7.78,7.948,7019.895,55410.844829,345,2957.756,23410.404066
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,7.948,7.95,7.907,7.913,2562.034,20306.410624,174,953.622,7562.339356
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,7.935,7.955,7.864,7.907,7609.904,60279.601283,514,3625.957,28751.266948
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,7.909,7.969,7.903,7.923,3994.794,31729.825412,228,2131.313,16942.21289
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,7.929,7.935,7.88,7.913,3365.895,26620.32039,242,1380.191,10925.514989
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,7.913,8.099,7.91,8.027,14603.867,116841.380376,883,8651.781,69220.73269
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,8.029,8.09,7.971,8.052,13894.556,111584.763358,855,6852.12,55091.708311
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,8.064,8.094,7.974,8.015,8791.241,70498.194667,388,3414.461,27400.425831
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,8.015,8.02,7.92,7.94,5437.201,43320.528086,318,2241.121,17862.36101
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,7.95,7.967,7.878,7.901,8285.177,65775.807785,386,2288.987,18191.3585
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,7.902,7.971,7.9,7.953,5326.179,42329.079772,319,2585.199,20541.200806
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,7.965,8.02,7.95,8.015,8714.489,69540.782258,384,6064.616,48377.995181
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,8.019,8.035,7.902,7.979,16465.218,131249.200575,700,6735.874,53740.331339
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,7.965,7.974,7.839,7.906,16454.779,129921.746931,734,9044.909,71428.220205
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,7.901,7.926,7.856,7.864,5883.268,46415.420065,324,2817.397,22270.341337
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,7.858,7.903,7.82,7.903,9380.008,73693.747119,482,3719.769,29249.736575
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,7.904,8.006,7.904,7.95,8869.724,70423.734235,599,6322.367,50209.538596
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,7.95,7.95,7.903,7.923,3918.863,31063.724597,239,1977.42,15679.385047
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,7.924,8.014,7.877,7.919,13157.864,104664.526736,564,6942.262,55320.938742
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,7.934,7.981,7.837,7.861,14721.139,116255.586952,717,6766.641,53426.503605
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,7.85,7.945,7.85,7.891,6382.052,50345.365604,354,3398.494,26831.149397
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,7.88,7.932,7.878,7.909,3235.158,25580.977652,181,1912.891,15126.222061
