# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,EIGENUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-10-01T05:00:00+00:00Z
# t0_final_iso,2024-10-01T05:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,0c11cd3a66b03a93
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-10-01T05:00:00+00:00Z,2024-10-01T05:59:59.999000+00:00Z,0.3,4.94,0.3,3.982,21628559.64,90404861.91655,182105,9890881.09,41419741.95751
2024-10-01T06:00:00+00:00Z,2024-10-01T06:59:59.999000+00:00Z,3.98,4.577,3.924,4.353,10735665.92,45806737.04665,102363,6010122.51,25591728.83117
2024-10-01T07:00:00+00:00Z,2024-10-01T07:59:59.999000+00:00Z,4.353,4.52,4.14,4.149,7619542.85,32994748.26992,79743,3562736.36,15470756.19917
2024-10-01T08:00:00+00:00Z,2024-10-01T08:59:59.999000+00:00Z,4.149,4.34,4.035,4.116,6154280.83,25586430.5888,65658,3019944.57,12567023.46903
2024-10-01T09:00:00+00:00Z,2024-10-01T09:59:59.999000+00:00Z,4.117,4.245,4.05,4.094,5152276.96,21360703.04182,51701,2456734.8,10190122.66063
2024-10-01T10:00:00+00:00Z,2024-10-01T10:59:59.999000+00:00Z,4.09,4.178,4.041,4.107,3650538.37,15005023.42991,40429,1753807.76,7208291.67984
2024-10-01T11:00:00+00:00Z,2024-10-01T11:59:59.999000+00:00Z,4.107,4.123,3.728,3.809,6444987.27,25283233.75479,65084,2771132.58,10854823.94381
2024-10-01T12:00:00+00:00Z,2024-10-01T12:59:59.999000+00:00Z,3.807,3.874,3.702,3.833,3669885.03,13904992.60987,36625,1907138.11,7229162.43395
2024-10-01T13:00:00+00:00Z,2024-10-01T13:59:59.999000+00:00Z,3.834,3.978,3.734,3.933,4535274.01,17482138.70662,38752,2420186.43,9343992.99487
2024-10-01T14:00:00+00:00Z,2024-10-01T14:59:59.999000+00:00Z,3.932,3.988,3.697,3.778,4651661.6,17975187.63248,39380,1974009.99,7630603.0623
2024-10-01T15:00:00+00:00Z,2024-10-01T15:59:59.999000+00:00Z,3.778,3.99,3.679,3.943,4487310.94,17288325.40051,37969,2457809.42,9483771.94543
2024-10-01T16:00:00+00:00Z,2024-10-01T16:59:59.999000+00:00Z,3.942,4.078,3.867,3.97,4075430.87,16202922.20665,37142,2070496.72,8238859.43504
2024-10-01T17:00:00+00:00Z,2024-10-01T17:59:59.999000+00:00Z,3.973,4.444,3.75,4.295,7183756.93,29204204.95135,59118,3562906.55,14536959.74215
2024-10-01T18:00:00+00:00Z,2024-10-01T18:59:59.999000+00:00Z,4.297,4.355,4.049,4.124,4720781.99,19764529.4909,41903,2139515.85,8958961.64713
2024-10-01T19:00:00+00:00Z,2024-10-01T19:59:59.999000+00:00Z,4.125,4.177,3.956,3.977,2602024.24,10629924.00971,26532,1241608.55,5083421.71832
2024-10-01T20:00:00+00:00Z,2024-10-01T20:59:59.999000+00:00Z,3.977,4.042,3.75,3.951,3442589.91,13451945.72322,27754,1629832.37,6374286.9417
2024-10-01T21:00:00+00:00Z,2024-10-01T21:59:59.999000+00:00Z,3.951,4.09,3.897,4.01,1744889.66,6951704.73516,16994,880750.64,3511895.7486
2024-10-01T22:00:00+00:00Z,2024-10-01T22:59:59.999000+00:00Z,4.01,4.036,3.804,3.847,1467831.05,5730649.08038,15539,573154.23,2242593.69897
2024-10-01T23:00:00+00:00Z,2024-10-01T23:59:59.999000+00:00Z,3.847,4.088,3.819,4.013,1479703.12,5855639.71263,14363,816462.15,3232280.06134
2024-10-02T00:00:00+00:00Z,2024-10-02T00:59:59.999000+00:00Z,4.014,4.153,3.93,3.983,1814380.31,7304857.49866,17637,738115.12,2979259.47189
2024-10-02T01:00:00+00:00Z,2024-10-02T01:59:59.999000+00:00Z,3.985,4.1,3.939,4.081,1608772.66,6460763.86119,13852,667500.02,2684612.56687
2024-10-02T02:00:00+00:00Z,2024-10-02T02:59:59.999000+00:00Z,4.079,4.248,4.0,4.123,3566021.42,14670287.55169,31070,1899826.15,7822521.09507
2024-10-02T03:00:00+00:00Z,2024-10-02T03:59:59.999000+00:00Z,4.123,4.132,3.99,4.088,2071867.27,8392168.0696,20825,978898.69,3966516.88697
2024-10-02T04:00:00+00:00Z,2024-10-02T04:59:59.999000+00:00Z,4.088,4.143,4.006,4.009,1344881.99,5477895.07311,14580,697729.05,2845630.02479
2024-10-02T05:00:00+00:00Z,2024-10-02T05:59:59.999000+00:00Z,4.01,4.056,3.953,4.045,1307141.22,5242101.05485,13584,630207.92,2529389.87984
2024-10-02T06:00:00+00:00Z,2024-10-02T06:59:59.999000+00:00Z,4.046,4.08,3.83,3.903,2574262.37,10106736.74824,25082,1198811.93,4706125.96008
2024-10-02T07:00:00+00:00Z,2024-10-02T07:59:59.999000+00:00Z,3.904,3.948,3.84,3.923,1331483.74,5197384.33055,17049,681772.17,2660945.81026
2024-10-02T08:00:00+00:00Z,2024-10-02T08:59:59.999000+00:00Z,3.923,3.956,3.858,3.9,956504.57,3735235.7897,9737,465485.43,1818120.1041
2024-10-02T09:00:00+00:00Z,2024-10-02T09:59:59.999000+00:00Z,3.9,3.936,3.525,3.606,4264056.93,15732236.99285,33247,1842675.62,6803800.38638
2024-10-02T10:00:00+00:00Z,2024-10-02T10:59:59.999000+00:00Z,3.608,3.67,3.493,3.518,3009732.96,10767692.44606,23075,1274425.09,4565132.91559
2024-10-02T11:00:00+00:00Z,2024-10-02T11:59:59.999000+00:00Z,3.52,3.628,3.508,3.557,1154574.9,4111688.24575,11705,591341.48,2106631.21907
2024-10-02T12:00:00+00:00Z,2024-10-02T12:59:59.999000+00:00Z,3.557,3.631,3.462,3.572,1414110.4,4999119.70642,12861,668474.97,2368357.52072
2024-10-02T13:00:00+00:00Z,2024-10-02T13:59:59.999000+00:00Z,3.57,3.668,3.554,3.645,1020017.03,3683066.00629,10598,528531.42,1909970.20406
2024-10-02T14:00:00+00:00Z,2024-10-02T14:59:59.999000+00:00Z,3.647,3.714,3.559,3.644,1132664.05,4108591.89081,10473,550143.53,1996694.38629
2024-10-02T15:00:00+00:00Z,2024-10-02T15:59:59.999000+00:00Z,3.643,3.761,3.607,3.65,1459718.37,5359978.7332,12522,743723.66,2732349.31332
2024-10-02T16:00:00+00:00Z,2024-10-02T16:59:59.999000+00:00Z,3.65,3.718,3.51,3.534,1156888.1,4171608.78133,19098,494244.22,1786194.95843
2024-10-02T17:00:00+00:00Z,2024-10-02T17:59:59.999000+00:00Z,3.534,3.606,3.5,3.513,854057.97,3027528.27554,18163,387512.13,1378088.49512
2024-10-02T18:00:00+00:00Z,2024-10-02T18:59:59.999000+00:00Z,3.513,3.533,3.3,3.302,1981313.41,6724023.01136,37740,831987.23,2822895.04325
2024-10-02T19:00:00+00:00Z,2024-10-02T19:59:59.999000+00:00Z,3.302,3.388,3.148,3.362,3004459.47,9823656.20392,44744,1477587.23,4839668.68077
2024-10-02T20:00:00+00:00Z,2024-10-02T20:59:59.999000+00:00Z,3.361,3.379,3.291,3.335,1169976.17,3902747.57925,22337,584903.55,1951823.73267
2024-10-02T21:00:00+00:00Z,2024-10-02T21:59:59.999000+00:00Z,3.336,3.379,3.26,3.356,770419.68,2550743.51948,12423,393472.04,1304478.23432
2024-10-02T22:00:00+00:00Z,2024-10-02T22:59:59.999000+00:00Z,3.356,3.369,3.22,3.346,733720.84,2428392.69923,14443,330490.99,1095991.28469
2024-10-02T23:00:00+00:00Z,2024-10-02T23:59:59.999000+00:00Z,3.346,3.359,3.244,3.252,678621.04,2229626.44642,9417,301326.29,989415.92489
2024-10-03T00:00:00+00:00Z,2024-10-03T00:59:59.999000+00:00Z,3.253,3.322,3.169,3.253,928603.07,3018761.45518,15160,401937.39,1307110.73322
2024-10-03T01:00:00+00:00Z,2024-10-03T01:59:59.999000+00:00Z,3.254,3.465,3.254,3.376,1065830.65,3585577.48823,22269,591973.58,1990596.7047
2024-10-03T02:00:00+00:00Z,2024-10-03T02:59:59.999000+00:00Z,3.377,3.554,3.351,3.498,1194221.76,4109153.80701,22203,743676.0,2557345.50684
2024-10-03T03:00:00+00:00Z,2024-10-03T03:59:59.999000+00:00Z,3.497,3.542,3.416,3.474,866798.17,3015797.7598,15960,449661.57,1565846.97501
2024-10-03T04:00:00+00:00Z,2024-10-03T04:59:59.999000+00:00Z,3.475,3.501,3.391,3.494,598887.4,2070425.37748,13184,293560.31,1015911.83542
2024-10-03T05:00:00+00:00Z,2024-10-03T05:59:59.999000+00:00Z,3.49,3.51,3.402,3.42,486589.57,1683078.21333,10243,256553.1,889028.40056
2024-10-03T06:00:00+00:00Z,2024-10-03T06:59:59.999000+00:00Z,3.418,3.51,3.41,3.42,715136.13,2474019.74388,11518,362028.13,1254739.96124
2024-10-03T07:00:00+00:00Z,2024-10-03T07:59:59.999000+00:00Z,3.423,3.447,3.343,3.38,674204.42,2294870.69055,14422,313016.71,1065827.06499
2024-10-03T08:00:00+00:00Z,2024-10-03T08:59:59.999000+00:00Z,3.381,3.414,3.259,3.292,1622844.72,5398093.26101,29449,747642.51,2488594.99727
2024-10-03T09:00:00+00:00Z,2024-10-03T09:59:59.999000+00:00Z,3.291,3.464,3.263,3.412,1248383.24,4210217.88238,20532,626525.1,2113851.8891
2024-10-03T10:00:00+00:00Z,2024-10-03T10:59:59.999000+00:00Z,3.411,3.478,3.378,3.454,429754.98,1472913.56073,11819,237749.98,815021.72837
2024-10-03T11:00:00+00:00Z,2024-10-03T11:59:59.999000+00:00Z,3.453,3.459,3.381,3.427,280484.06,957882.69559,7257,128005.09,437276.081
2024-10-03T12:00:00+00:00Z,2024-10-03T12:59:59.999000+00:00Z,3.428,3.515,3.368,3.472,616296.53,2132071.75601,13253,359577.65,1245694.78649
2024-10-03T13:00:00+00:00Z,2024-10-03T13:59:59.999000+00:00Z,3.471,3.53,3.378,3.443,1141785.81,3957120.94432,10184,615075.21,2134875.25528
2024-10-03T14:00:00+00:00Z,2024-10-03T14:59:59.999000+00:00Z,3.446,3.661,3.435,3.557,3051568.09,10875087.63857,23266,1843108.93,6572958.20856
2024-10-03T15:00:00+00:00Z,2024-10-03T15:59:59.999000+00:00Z,3.557,3.69,3.443,3.689,1319843.42,4660362.53428,13138,646797.35,2285366.17497
2024-10-03T16:00:00+00:00Z,2024-10-03T16:59:59.999000+00:00Z,3.689,3.717,3.452,3.488,1492021.61,5362665.81412,16068,753095.84,2710863.88453
2024-10-03T17:00:00+00:00Z,2024-10-03T17:59:59.999000+00:00Z,3.489,3.58,3.411,3.443,1276300.21,4453356.36799,12731,600647.22,2097561.06258
2024-10-03T18:00:00+00:00Z,2024-10-03T18:59:59.999000+00:00Z,3.443,3.524,3.41,3.424,558145.66,1925771.67022,7188,266994.06,921561.49935
2024-10-03T19:00:00+00:00Z,2024-10-03T19:59:59.999000+00:00Z,3.421,3.494,3.364,3.486,562330.02,1923762.45298,7077,258917.52,886522.5932
2024-10-03T20:00:00+00:00Z,2024-10-03T20:59:59.999000+00:00Z,3.488,3.495,3.3,3.332,849914.52,2872607.41455,8871,352627.25,1190049.32015
2024-10-03T21:00:00+00:00Z,2024-10-03T21:59:59.999000+00:00Z,3.331,3.407,3.285,3.398,790463.22,2643267.66386,6674,351694.6,1177186.12894
2024-10-03T22:00:00+00:00Z,2024-10-03T22:59:59.999000+00:00Z,3.397,3.414,3.346,3.353,521496.49,1762715.4038,6551,226240.88,765179.84081
2024-10-03T23:00:00+00:00Z,2024-10-03T23:59:59.999000+00:00Z,3.354,3.393,3.319,3.352,624737.99,2088720.47064,6910,211698.87,708437.16705
2024-10-04T00:00:00+00:00Z,2024-10-04T00:59:59.999000+00:00Z,3.351,3.38,3.281,3.292,710225.78,2363069.91053,11042,266810.66,888464.27978
2024-10-04T01:00:00+00:00Z,2024-10-04T01:59:59.999000+00:00Z,3.291,3.426,3.267,3.406,820156.06,2751874.87376,15662,398607.73,1341829.63301
2024-10-04T02:00:00+00:00Z,2024-10-04T02:59:59.999000+00:00Z,3.407,3.518,3.405,3.503,1056592.05,3661668.09091,15929,676850.91,2346382.30974
2024-10-04T03:00:00+00:00Z,2024-10-04T03:59:59.999000+00:00Z,3.502,3.541,3.46,3.483,827049.88,2890240.50933,13514,410710.89,1435346.86196
2024-10-04T04:00:00+00:00Z,2024-10-04T04:59:59.999000+00:00Z,3.481,3.516,3.404,3.417,688878.11,2382994.5252,11675,300679.12,1041918.20908
2024-10-04T05:00:00+00:00Z,2024-10-04T05:59:59.999000+00:00Z,3.416,3.45,3.39,3.414,444943.34,1516675.43648,8966,239409.17,815822.01172
2024-10-04T06:00:00+00:00Z,2024-10-04T06:59:59.999000+00:00Z,3.413,3.569,3.395,3.518,789767.2,2766868.86854,14065,469571.86,1644905.29152
2024-10-04T07:00:00+00:00Z,2024-10-04T07:59:59.999000+00:00Z,3.518,3.62,3.454,3.564,1144244.39,4044315.62833,16495,616307.13,2184576.95467
2024-10-04T08:00:00+00:00Z,2024-10-04T08:59:59.999000+00:00Z,3.564,3.623,3.533,3.535,626656.22,2250140.97042,12387,320400.06,1152208.27968
2024-10-04T09:00:00+00:00Z,2024-10-04T09:59:59.999000+00:00Z,3.536,3.566,3.371,3.393,1322553.92,4574017.21403,19403,434198.85,1505995.08296
2024-10-04T10:00:00+00:00Z,2024-10-04T10:59:59.999000+00:00Z,3.392,3.466,3.307,3.353,1979671.84,6662004.09456,23421,982702.57,3312816.53745
2024-10-04T11:00:00+00:00Z,2024-10-04T11:59:59.999000+00:00Z,3.353,3.422,3.345,3.392,618357.02,2097408.88288,10994,367057.32,1245119.30586
2024-10-04T12:00:00+00:00Z,2024-10-04T12:59:59.999000+00:00Z,3.391,3.538,3.369,3.529,1315035.81,4511331.21282,23794,750477.53,2573988.11123
2024-10-04T13:00:00+00:00Z,2024-10-04T13:59:59.999000+00:00Z,3.528,3.575,3.483,3.512,1416812.85,5001475.14584,24580,719479.5,2541704.3017
2024-10-04T14:00:00+00:00Z,2024-10-04T14:59:59.999000+00:00Z,3.512,3.536,3.446,3.472,866576.88,3013013.83804,15782,335080.24,1164965.37327
2024-10-04T15:00:00+00:00Z,2024-10-04T15:59:59.999000+00:00Z,3.468,3.613,3.468,3.59,1080144.09,3830846.18396,17541,656995.67,2329676.47479
2024-10-04T16:00:00+00:00Z,2024-10-04T16:59:59.999000+00:00Z,3.591,3.689,3.529,3.623,823934.18,2973696.85684,16884,444899.67,1607056.37923
2024-10-04T17:00:00+00:00Z,2024-10-04T17:59:59.999000+00:00Z,3.62,3.644,3.565,3.606,586655.14,2112407.45579,11241,331733.4,1195361.60536
2024-10-04T18:00:00+00:00Z,2024-10-04T18:59:59.999000+00:00Z,3.605,3.67,3.578,3.622,725967.32,2638792.63068,12520,265759.91,965886.11194
2024-10-04T19:00:00+00:00Z,2024-10-04T19:59:59.999000+00:00Z,3.623,3.632,3.56,3.592,416924.0,1496716.88505,5599,212559.85,763561.33964
2024-10-04T20:00:00+00:00Z,2024-10-04T20:59:59.999000+00:00Z,3.591,3.701,3.577,3.611,919960.25,3349112.75615,7500,524895.87,1911797.2222
2024-10-04T21:00:00+00:00Z,2024-10-04T21:59:59.999000+00:00Z,3.612,3.714,3.562,3.572,748653.36,2711433.9713,6442,357592.21,1297332.70132
2024-10-04T22:00:00+00:00Z,2024-10-04T22:59:59.999000+00:00Z,3.571,3.625,3.566,3.604,269106.94,968488.97598,3405,114874.68,413470.81481
2024-10-04T23:00:00+00:00Z,2024-10-04T23:59:59.999000+00:00Z,3.602,3.619,3.566,3.577,361604.37,1299321.58266,3450,131761.78,473884.22901
2024-10-05T00:00:00+00:00Z,2024-10-05T00:59:59.999000+00:00Z,3.575,3.623,3.537,3.613,755640.94,2705422.33802,7010,454718.67,1627308.40515
2024-10-05T01:00:00+00:00Z,2024-10-05T01:59:59.999000+00:00Z,3.613,3.613,3.509,3.541,526635.26,1872066.7539,7656,196445.83,697558.44125
2024-10-05T02:00:00+00:00Z,2024-10-05T02:59:59.999000+00:00Z,3.542,3.593,3.533,3.578,311733.73,1113401.18308,5397,180337.63,644108.19345
2024-10-05T03:00:00+00:00Z,2024-10-05T03:59:59.999000+00:00Z,3.576,3.576,3.462,3.466,721802.63,2528725.50072,9347,262316.31,917871.00947
2024-10-05T04:00:00+00:00Z,2024-10-05T04:59:59.999000+00:00Z,3.466,3.514,3.448,3.477,280311.85,974738.93913,4726,145805.34,507271.11124
2024-10-05T05:00:00+00:00Z,2024-10-05T05:59:59.999000+00:00Z,3.477,3.514,3.467,3.477,459212.58,1602224.32313,6318,179798.94,627435.23856
2024-10-05T06:00:00+00:00Z,2024-10-05T06:59:59.999000+00:00Z,3.476,3.476,3.412,3.451,992373.51,3412661.2889,11673,556315.19,1914088.15789
