# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ENSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-11-10T07:00:00+00:00Z
# t0_final_iso,2021-11-10T07:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1da5162d69aef184
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-10T07:00:00+00:00Z,2021-11-10T07:59:59.999000+00:00Z,43.66,120.0,43.66,57.66,912540.24,58085577.4925,98714,403698.13,25921475.2511
2021-11-10T08:00:00+00:00Z,2021-11-10T08:59:59.999000+00:00Z,57.69,65.45,54.3,62.75,357641.87,21283489.3815,36355,177170.82,10625582.9826
2021-11-10T09:00:00+00:00Z,2021-11-10T09:59:59.999000+00:00Z,62.74,66.66,60.22,60.33,222900.56,14088885.183,30143,110591.09,7006761.5244
2021-11-10T10:00:00+00:00Z,2021-11-10T10:59:59.999000+00:00Z,60.35,65.0,57.0,58.57,187097.84,11171441.3651,23485,85748.06,5142602.0524
2021-11-10T11:00:00+00:00Z,2021-11-10T11:59:59.999000+00:00Z,58.57,59.5,55.11,57.2,149149.9,8532374.2005,17092,62688.56,3596131.8714
2021-11-10T12:00:00+00:00Z,2021-11-10T12:59:59.999000+00:00Z,57.2,59.5,55.0,57.75,148206.39,8429978.4859,15048,64005.58,3644695.8097
2021-11-10T13:00:00+00:00Z,2021-11-10T13:59:59.999000+00:00Z,57.76,62.29,55.73,56.39,192440.52,11278759.1204,19731,99600.75,5847105.9977
2021-11-10T14:00:00+00:00Z,2021-11-10T14:59:59.999000+00:00Z,56.32,62.42,56.27,62.36,179822.01,10614377.137,17988,88018.59,5200888.9446
2021-11-10T15:00:00+00:00Z,2021-11-10T15:59:59.999000+00:00Z,62.42,82.0,59.21,76.81,1017612.15,73661148.089,111573,506652.48,36943815.2004
2021-11-10T16:00:00+00:00Z,2021-11-10T16:59:59.999000+00:00Z,76.86,81.95,70.0,80.0,728910.81,55541738.6788,92636,348080.04,26658791.3157
2021-11-10T17:00:00+00:00Z,2021-11-10T17:59:59.999000+00:00Z,80.03,85.63,75.51,75.67,607835.92,49507640.2401,83416,295732.23,24161172.4734
2021-11-10T18:00:00+00:00Z,2021-11-10T18:59:59.999000+00:00Z,75.64,80.1,71.02,72.95,281231.95,21398944.0932,45424,130288.35,9932539.4304
2021-11-10T19:00:00+00:00Z,2021-11-10T19:59:59.999000+00:00Z,72.95,75.99,67.83,69.9,223823.5,16163568.2883,35651,101625.53,7346442.7003
2021-11-10T20:00:00+00:00Z,2021-11-10T20:59:59.999000+00:00Z,69.9,72.75,67.54,68.84,192530.81,13370675.8846,32334,95682.47,6652561.8338
2021-11-10T21:00:00+00:00Z,2021-11-10T21:59:59.999000+00:00Z,68.81,72.3,60.0,69.73,323406.21,21207242.5957,36161,129908.42,8548115.3095
2021-11-10T22:00:00+00:00Z,2021-11-10T22:59:59.999000+00:00Z,69.88,71.8,66.26,66.83,159066.83,10996412.983,21942,74548.16,5158047.8044
2021-11-10T23:00:00+00:00Z,2021-11-10T23:59:59.999000+00:00Z,66.82,77.0,66.68,73.82,256340.1,18766653.1984,33367,125650.19,9163015.1944
2021-11-11T00:00:00+00:00Z,2021-11-11T00:59:59.999000+00:00Z,73.87,81.5,71.55,76.96,283524.43,21948396.9938,43144,135157.82,10464455.5955
2021-11-11T01:00:00+00:00Z,2021-11-11T01:59:59.999000+00:00Z,76.99,86.76,76.31,83.04,331654.39,27280526.8113,50393,165096.79,13604436.851
2021-11-11T02:00:00+00:00Z,2021-11-11T02:59:59.999000+00:00Z,83.1,86.11,73.13,73.8,363969.22,28949361.6919,47782,175491.35,13947908.5121
2021-11-11T03:00:00+00:00Z,2021-11-11T03:59:59.999000+00:00Z,73.89,75.54,70.9,72.74,178457.02,13045187.3875,25536,97028.36,7100157.8256
2021-11-11T04:00:00+00:00Z,2021-11-11T04:59:59.999000+00:00Z,72.75,78.69,71.65,75.32,150484.85,11364537.2772,24697,76996.14,5801637.0762
2021-11-11T05:00:00+00:00Z,2021-11-11T05:59:59.999000+00:00Z,75.27,77.2,72.0,74.26,99157.82,7356190.8901,19263,51724.07,3834971.7344
2021-11-11T06:00:00+00:00Z,2021-11-11T06:59:59.999000+00:00Z,74.23,74.25,66.57,67.93,240323.79,16670636.9074,29404,127236.37,8826267.2957
2021-11-11T07:00:00+00:00Z,2021-11-11T07:59:59.999000+00:00Z,67.93,69.87,63.81,69.08,186957.06,12448927.4998,22505,103275.54,6880767.7728
2021-11-11T08:00:00+00:00Z,2021-11-11T08:59:59.999000+00:00Z,69.1,70.2,65.5,70.12,103880.67,7055452.1174,14178,56109.79,3815157.8021
2021-11-11T09:00:00+00:00Z,2021-11-11T09:59:59.999000+00:00Z,70.08,73.3,68.09,70.26,128275.59,9135193.746,22195,65710.52,4685016.059
2021-11-11T10:00:00+00:00Z,2021-11-11T10:59:59.999000+00:00Z,70.27,72.64,67.5,67.55,83304.33,5830079.5005,13097,34954.98,2450999.1209
2021-11-11T11:00:00+00:00Z,2021-11-11T11:59:59.999000+00:00Z,67.58,70.82,67.15,69.15,75551.34,5225143.5747,11961,41167.39,2844841.3869
2021-11-11T12:00:00+00:00Z,2021-11-11T12:59:59.999000+00:00Z,69.15,72.38,68.0,68.27,106172.09,7405701.5859,15407,51095.76,3567917.6212
2021-11-11T13:00:00+00:00Z,2021-11-11T13:59:59.999000+00:00Z,68.3,69.07,65.0,67.05,103201.84,6852127.2901,13140,41065.58,2728658.5228
2021-11-11T14:00:00+00:00Z,2021-11-11T14:59:59.999000+00:00Z,67.02,67.24,62.0,62.89,203120.28,12966053.5414,19996,97463.96,6232319.0251
2021-11-11T15:00:00+00:00Z,2021-11-11T15:59:59.999000+00:00Z,62.89,65.0,60.91,61.6,131518.54,8240039.5594,15852,64549.46,4051680.7866
2021-11-11T16:00:00+00:00Z,2021-11-11T16:59:59.999000+00:00Z,61.6,63.0,57.47,62.05,295604.36,17686716.4614,27956,150659.55,9033413.7038
2021-11-11T17:00:00+00:00Z,2021-11-11T17:59:59.999000+00:00Z,62.05,65.3,60.2,60.3,170425.27,10787371.9564,20864,72781.2,4614843.9203
2021-11-11T18:00:00+00:00Z,2021-11-11T18:59:59.999000+00:00Z,60.31,62.15,57.79,58.5,167466.04,9965003.7956,15675,64522.87,3853886.2722
2021-11-11T19:00:00+00:00Z,2021-11-11T19:59:59.999000+00:00Z,58.46,59.29,56.0,58.05,149771.9,8568695.8136,16941,67794.59,3881872.4853
2021-11-11T20:00:00+00:00Z,2021-11-11T20:59:59.999000+00:00Z,58.05,60.48,56.92,60.32,130050.04,7636544.9893,13513,70444.88,4135042.9107
2021-11-11T21:00:00+00:00Z,2021-11-11T21:59:59.999000+00:00Z,60.32,61.0,57.0,57.44,99269.38,5814897.8224,10723,51326.41,3012191.7448
2021-11-11T22:00:00+00:00Z,2021-11-11T22:59:59.999000+00:00Z,57.45,60.38,57.45,60.05,61244.4,3607924.3785,6594,26132.76,1538652.6098
2021-11-11T23:00:00+00:00Z,2021-11-11T23:59:59.999000+00:00Z,60.07,60.34,55.06,55.31,105434.16,6037676.4872,9754,35356.03,2035960.6337
2021-11-12T00:00:00+00:00Z,2021-11-12T00:59:59.999000+00:00Z,55.38,55.94,50.0,52.99,202409.6,10762330.9656,21516,78561.49,4183597.4369
2021-11-12T01:00:00+00:00Z,2021-11-12T01:59:59.999000+00:00Z,53.06,56.36,51.66,55.47,130035.23,6986454.8825,12091,59264.67,3177885.3759
2021-11-12T02:00:00+00:00Z,2021-11-12T02:59:59.999000+00:00Z,55.47,57.1,54.3,56.94,101929.24,5669474.7416,12281,48644.91,2709273.3178
2021-11-12T03:00:00+00:00Z,2021-11-12T03:59:59.999000+00:00Z,56.97,57.91,54.83,57.6,93838.23,5293555.537,10571,47533.67,2686959.535
