# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,GNOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-08-30T06:00:00+00:00Z
# t0_final_iso,2021-08-30T06:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,791b2615a1041c5d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-08-30T06:00:00+00:00Z,2021-08-30T06:59:59.999000+00:00Z,294.9,418.0,294.9,366.8,59037.126,21136128.045,43028,33655.258,12088845.2106
2021-08-30T07:00:00+00:00Z,2021-08-30T07:59:59.999000+00:00Z,366.3,369.3,341.5,347.8,10407.418,3652528.6122,9774,4224.294,1491219.8532
2021-08-30T08:00:00+00:00Z,2021-08-30T08:59:59.999000+00:00Z,347.3,358.9,340.0,341.1,7862.761,2725660.9883,6273,3282.966,1142185.6588
2021-08-30T09:00:00+00:00Z,2021-08-30T09:59:59.999000+00:00Z,341.1,346.9,324.1,325.7,6911.87,2312211.8552,5560,2884.522,965350.0453
2021-08-30T10:00:00+00:00Z,2021-08-30T10:59:59.999000+00:00Z,326.2,333.5,320.0,326.2,4925.084,1607341.2786,4410,2345.105,768712.1225
2021-08-30T11:00:00+00:00Z,2021-08-30T11:59:59.999000+00:00Z,326.2,335.0,320.2,325.7,3714.243,1212772.609,3168,1883.1,616818.832
2021-08-30T12:00:00+00:00Z,2021-08-30T12:59:59.999000+00:00Z,325.6,331.0,310.1,316.1,4942.623,1576369.7938,4333,2515.68,805587.39
2021-08-30T13:00:00+00:00Z,2021-08-30T13:59:59.999000+00:00Z,316.2,321.2,309.4,311.2,4752.351,1493809.041,4331,2163.281,683092.3362
2021-08-30T14:00:00+00:00Z,2021-08-30T14:59:59.999000+00:00Z,311.2,320.8,310.1,317.5,3317.159,1048797.1801,2871,1882.677,596251.1633
2021-08-30T15:00:00+00:00Z,2021-08-30T15:59:59.999000+00:00Z,317.3,319.0,305.0,311.2,5420.329,1681427.3621,3336,3626.529,1126221.7393
2021-08-30T16:00:00+00:00Z,2021-08-30T16:59:59.999000+00:00Z,312.0,316.0,303.4,309.6,2128.404,660096.6633,2523,959.984,298819.3059
2021-08-30T17:00:00+00:00Z,2021-08-30T17:59:59.999000+00:00Z,309.6,329.5,308.5,326.5,3094.743,985751.792,3211,1643.355,523735.6558
2021-08-30T18:00:00+00:00Z,2021-08-30T18:59:59.999000+00:00Z,326.5,331.0,305.0,315.2,2879.796,914672.5485,3305,1336.667,428663.9358
2021-08-30T19:00:00+00:00Z,2021-08-30T19:59:59.999000+00:00Z,315.2,316.1,308.9,311.5,1139.884,355409.1087,1351,592.145,184584.3066
2021-08-30T20:00:00+00:00Z,2021-08-30T20:59:59.999000+00:00Z,310.6,320.0,308.0,315.2,1238.564,389211.1825,1890,704.478,221984.8115
2021-08-30T21:00:00+00:00Z,2021-08-30T21:59:59.999000+00:00Z,315.6,319.8,310.2,311.6,907.852,285873.022,1182,427.066,134629.3189
2021-08-30T22:00:00+00:00Z,2021-08-30T22:59:59.999000+00:00Z,311.1,317.2,310.1,310.9,604.245,189672.8949,1057,342.045,107559.1964
