# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,GNSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-02-17T11:00:00+00:00Z
# t0_final_iso,2023-02-17T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,801f093d85fa0138
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-02-17T11:00:00+00:00Z,2023-02-17T11:59:59.999000+00:00Z,6.032,13.88,6.032,10.501,2831161.15,31833824.55436,91442,1445928.54,16345969.58521
2023-02-17T12:00:00+00:00Z,2023-02-17T12:59:59.999000+00:00Z,10.5,11.45,10.402,10.897,1441023.22,15867959.13776,51167,771326.53,8501104.99342
2023-02-17T13:00:00+00:00Z,2023-02-17T13:59:59.999000+00:00Z,10.897,11.079,9.579,10.236,852288.81,8799015.98333,28509,415493.83,4284968.94402
2023-02-17T14:00:00+00:00Z,2023-02-17T14:59:59.999000+00:00Z,10.216,10.5,9.78,10.087,593038.47,6052569.29461,21188,283864.16,2899952.43484
2023-02-17T15:00:00+00:00Z,2023-02-17T15:59:59.999000+00:00Z,10.087,10.35,9.78,10.08,408400.26,4135706.84392,14886,207682.99,2108146.12366
2023-02-17T16:00:00+00:00Z,2023-02-17T16:59:59.999000+00:00Z,10.095,11.33,9.91,10.721,1235318.38,13347220.2547,40279,689229.72,7466410.0458
2023-02-17T17:00:00+00:00Z,2023-02-17T17:59:59.999000+00:00Z,10.737,11.56,10.5,11.372,821473.64,9076435.29586,29400,465115.59,5158964.49467
2023-02-17T18:00:00+00:00Z,2023-02-17T18:59:59.999000+00:00Z,11.373,11.57,10.023,10.231,648477.14,7026450.8809,24870,275062.91,2994254.44613
2023-02-17T19:00:00+00:00Z,2023-02-17T19:59:59.999000+00:00Z,10.24,10.55,10.022,10.34,281085.14,2899179.99673,11553,129679.29,1340309.26402
2023-02-17T20:00:00+00:00Z,2023-02-17T20:59:59.999000+00:00Z,10.339,10.55,10.2,10.52,206606.53,2143310.89955,8572,100624.97,1045541.21629
