# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,GPSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-03-04T13:00:00+00:00Z
# t0_final_iso,2025-03-04T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,48150d53aa31000d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-04T13:00:00+00:00Z,2025-03-04T13:59:59.999000+00:00Z,0.1048,0.151,0.0846,0.087,443800262.1,49950847.06703,155461,230760456.0,25830718.72215
2025-03-04T14:00:00+00:00Z,2025-03-04T14:59:59.999000+00:00Z,0.0869,0.0908,0.0751,0.0769,172367257.1,14308750.23703,56184,94784361.1,7882108.83581
2025-03-04T15:00:00+00:00Z,2025-03-04T15:59:59.999000+00:00Z,0.0769,0.0797,0.0732,0.0775,97091999.0,7446213.96203,40188,50359363.9,3864906.95483
2025-03-04T16:00:00+00:00Z,2025-03-04T16:59:59.999000+00:00Z,0.0779,0.0779,0.0642,0.0695,117633431.7,8219535.44337,40703,51725798.5,3611718.44427
2025-03-04T17:00:00+00:00Z,2025-03-04T17:59:59.999000+00:00Z,0.0695,0.0735,0.0682,0.0712,67706120.9,4816347.20005,27435,32998075.0,2351043.78068
2025-03-04T18:00:00+00:00Z,2025-03-04T18:59:59.999000+00:00Z,0.0712,0.0715,0.069,0.0706,30543424.0,2142645.47617,17479,14632816.3,1026984.00058
2025-03-04T19:00:00+00:00Z,2025-03-04T19:59:59.999000+00:00Z,0.0707,0.0766,0.0699,0.0722,53735155.0,3930756.60186,22398,25773795.8,1892577.90388
2025-03-04T20:00:00+00:00Z,2025-03-04T20:59:59.999000+00:00Z,0.0722,0.0733,0.0683,0.0698,27900376.2,1985166.80495,15698,12678234.8,903296.90752
2025-03-04T21:00:00+00:00Z,2025-03-04T21:59:59.999000+00:00Z,0.0698,0.0717,0.061,0.0661,39989943.3,2719012.22337,17849,17961048.4,1223973.72793
2025-03-04T22:00:00+00:00Z,2025-03-04T22:59:59.999000+00:00Z,0.0661,0.0673,0.062,0.065,37309453.4,2417737.99446,13152,16847108.0,1090534.68674
2025-03-04T23:00:00+00:00Z,2025-03-04T23:59:59.999000+00:00Z,0.065,0.0699,0.0645,0.068,33018983.1,2223103.42852,10017,18258748.7,1231675.75145
2025-03-05T00:00:00+00:00Z,2025-03-05T00:59:59.999000+00:00Z,0.068,0.0694,0.0655,0.0661,24936135.9,1678388.06133,8714,12791306.3,861489.1959
2025-03-05T01:00:00+00:00Z,2025-03-05T01:59:59.999000+00:00Z,0.066,0.0682,0.0656,0.067,20094624.6,1336819.12563,6591,10688237.9,711692.46177
2025-03-05T02:00:00+00:00Z,2025-03-05T02:59:59.999000+00:00Z,0.067,0.0673,0.0625,0.066,31088254.3,2029489.63884,9335,14443507.0,944088.31476
2025-03-05T03:00:00+00:00Z,2025-03-05T03:59:59.999000+00:00Z,0.066,0.0665,0.0627,0.0645,24417733.5,1579883.31168,8273,11899862.2,770180.10623
2025-03-05T04:00:00+00:00Z,2025-03-05T04:59:59.999000+00:00Z,0.0646,0.0665,0.0635,0.0658,21291267.7,1381744.03432,7015,11294997.5,734404.61502
2025-03-05T05:00:00+00:00Z,2025-03-05T05:59:59.999000+00:00Z,0.0658,0.067,0.0628,0.0646,23399349.3,1514851.21234,7676,11988635.3,777094.19779
2025-03-05T06:00:00+00:00Z,2025-03-05T06:59:59.999000+00:00Z,0.0645,0.0666,0.0638,0.0661,21204756.7,1382270.79091,7055,10862517.2,708183.44135
2025-03-05T07:00:00+00:00Z,2025-03-05T07:59:59.999000+00:00Z,0.0661,0.0715,0.0653,0.0694,57289902.1,3964598.80151,16047,26915126.3,1869048.85533
2025-03-05T08:00:00+00:00Z,2025-03-05T08:59:59.999000+00:00Z,0.0693,0.0717,0.0655,0.0671,40196170.9,2778332.80516,10553,18630476.8,1290954.56949
2025-03-05T09:00:00+00:00Z,2025-03-05T09:59:59.999000+00:00Z,0.0671,0.0692,0.0666,0.0683,22625543.5,1536228.38547,7655,10785708.3,732547.84885
2025-03-05T10:00:00+00:00Z,2025-03-05T10:59:59.999000+00:00Z,0.0683,0.0706,0.0679,0.0682,22793071.3,1572733.54843,9650,11432512.1,789409.9601
2025-03-05T11:00:00+00:00Z,2025-03-05T11:59:59.999000+00:00Z,0.0683,0.0689,0.0636,0.0661,37393944.8,2486015.08568,15107,16923637.4,1125916.69884
2025-03-05T12:00:00+00:00Z,2025-03-05T12:59:59.999000+00:00Z,0.0662,0.0679,0.0645,0.0657,29044417.0,1928251.11266,10272,13488604.8,896674.11965
2025-03-05T13:00:00+00:00Z,2025-03-05T13:59:59.999000+00:00Z,0.0657,0.067,0.0623,0.0644,36431048.2,2373351.51733,12948,17124570.1,1118896.93143
2025-03-05T14:00:00+00:00Z,2025-03-05T14:59:59.999000+00:00Z,0.0644,0.0649,0.0612,0.0637,47992262.8,3056518.31772,15138,22920119.9,1462051.54824
2025-03-05T15:00:00+00:00Z,2025-03-05T15:59:59.999000+00:00Z,0.0637,0.0666,0.0615,0.0624,47768507.1,3034877.14307,13819,22251928.1,1416229.66754
2025-03-05T16:00:00+00:00Z,2025-03-05T16:59:59.999000+00:00Z,0.0624,0.0643,0.061,0.0634,46954288.6,2937276.74881,16848,22427628.3,1403813.98763
2025-03-05T17:00:00+00:00Z,2025-03-05T17:59:59.999000+00:00Z,0.0635,0.0646,0.0624,0.0628,18315073.6,1162973.94229,8442,7856030.4,499546.2076
2025-03-05T18:00:00+00:00Z,2025-03-05T18:59:59.999000+00:00Z,0.0629,0.0629,0.0605,0.0607,34843882.6,2141195.57151,12586,15588338.2,958422.34233
2025-03-05T19:00:00+00:00Z,2025-03-05T19:59:59.999000+00:00Z,0.0607,0.0622,0.0593,0.062,30870254.5,1890229.35327,9427,14260781.9,875223.81389
2025-03-05T20:00:00+00:00Z,2025-03-05T20:59:59.999000+00:00Z,0.0619,0.0629,0.0613,0.0625,15639128.2,975478.00699,6172,7943710.8,496400.87908
2025-03-05T21:00:00+00:00Z,2025-03-05T21:59:59.999000+00:00Z,0.0626,0.0628,0.0613,0.0615,12976021.3,803851.49068,4300,6066242.2,375989.84164
2025-03-05T22:00:00+00:00Z,2025-03-05T22:59:59.999000+00:00Z,0.0615,0.0626,0.0607,0.0623,8341774.0,513118.93897,3681,3993307.3,245830.47874
2025-03-05T23:00:00+00:00Z,2025-03-05T23:59:59.999000+00:00Z,0.0624,0.0633,0.0611,0.0616,11903276.0,739204.95452,4733,5350990.5,332977.22647
2025-03-06T00:00:00+00:00Z,2025-03-06T00:59:59.999000+00:00Z,0.0616,0.0625,0.0583,0.0587,34655689.4,2073227.26778,8797,10946087.3,654633.39778
2025-03-06T01:00:00+00:00Z,2025-03-06T01:59:59.999000+00:00Z,0.0587,0.0588,0.0566,0.0579,32384474.4,1861580.51012,8280,13737314.3,790133.37024
2025-03-06T02:00:00+00:00Z,2025-03-06T02:59:59.999000+00:00Z,0.0579,0.059,0.0575,0.058,19780630.3,1152314.29073,6561,9506760.5,554225.74088
2025-03-06T03:00:00+00:00Z,2025-03-06T03:59:59.999000+00:00Z,0.0579,0.0581,0.0569,0.0573,17242033.3,991939.40988,6133,7686162.8,442622.1724
2025-03-06T04:00:00+00:00Z,2025-03-06T04:59:59.999000+00:00Z,0.0574,0.058,0.0562,0.0578,20223254.5,1158948.36958,6108,8872453.4,509390.39963
2025-03-06T05:00:00+00:00Z,2025-03-06T05:59:59.999000+00:00Z,0.0578,0.0603,0.057,0.0599,25141750.1,1477516.48621,7263,14476942.9,852693.21499
2025-03-06T06:00:00+00:00Z,2025-03-06T06:59:59.999000+00:00Z,0.06,0.0603,0.058,0.0581,16767857.2,986339.60864,4973,7270874.7,428420.11005
2025-03-06T07:00:00+00:00Z,2025-03-06T07:59:59.999000+00:00Z,0.0582,0.0586,0.0572,0.0574,12746747.7,735935.03917,4451,4916019.7,284113.77738
2025-03-06T08:00:00+00:00Z,2025-03-06T08:59:59.999000+00:00Z,0.0574,0.0585,0.0566,0.0579,20115486.4,1159277.80762,5758,10051027.7,579512.49405
2025-03-06T09:00:00+00:00Z,2025-03-06T09:59:59.999000+00:00Z,0.0579,0.0582,0.0568,0.0581,15215154.3,875672.78431,4366,7731345.1,444976.17623
2025-03-06T10:00:00+00:00Z,2025-03-06T10:59:59.999000+00:00Z,0.058,0.0583,0.0572,0.0574,10301461.0,594319.12768,3458,4158766.0,239928.60853
2025-03-06T11:00:00+00:00Z,2025-03-06T11:59:59.999000+00:00Z,0.0575,0.0585,0.057,0.0579,15370334.8,887185.90137,3707,7697255.0,444690.66316
2025-03-06T12:00:00+00:00Z,2025-03-06T12:59:59.999000+00:00Z,0.0578,0.0579,0.0543,0.0546,50642711.9,2823196.08425,11072,20834983.3,1162948.28963
2025-03-06T13:00:00+00:00Z,2025-03-06T13:59:59.999000+00:00Z,0.0546,0.0559,0.0545,0.0557,24073865.5,1329447.35478,6174,13729170.1,758530.73244
2025-03-06T14:00:00+00:00Z,2025-03-06T14:59:59.999000+00:00Z,0.0556,0.056,0.0537,0.0546,30580104.1,1669364.1466,7399,14478617.2,790697.42108
