# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,GRTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-12-17T20:00:00+00:00Z
# t0_final_iso,2020-12-17T20:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f5ea86e3f16ce21c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-12-17T20:00:00+00:00Z,2020-12-17T20:59:59.999000+00:00Z,0.03,0.147,0.03,0.1062,94371186.7,11294115.908422,23833,52101762.6,6297280.434248
2020-12-17T21:00:00+00:00Z,2020-12-17T21:59:59.999000+00:00Z,0.10631,0.11868,0.097,0.11787,68984792.2,7448092.661244,20161,34813720.7,3786478.366277
2020-12-17T22:00:00+00:00Z,2020-12-17T22:59:59.999000+00:00Z,0.11786,0.13891,0.11577,0.12846,78922534.6,10119446.006636,21687,44764243.1,5737354.578976
2020-12-17T23:00:00+00:00Z,2020-12-17T23:59:59.999000+00:00Z,0.12892,0.13371,0.11711,0.12275,39111203.9,4884187.62977,11104,20097276.7,2510215.881679
2020-12-18T00:00:00+00:00Z,2020-12-18T00:59:59.999000+00:00Z,0.12253,0.14622,0.12253,0.14035,83746362.8,11617655.357496,20713,51636613.3,7170177.936783
2020-12-18T01:00:00+00:00Z,2020-12-18T01:59:59.999000+00:00Z,0.14033,0.14033,0.1283,0.13591,40661008.2,5448687.466583,11173,24354199.2,3267455.364091
2020-12-18T02:00:00+00:00Z,2020-12-18T02:59:59.999000+00:00Z,0.13593,0.136,0.12362,0.12674,29018674.4,3734842.677991,7053,15295724.7,1967663.117066
2020-12-18T03:00:00+00:00Z,2020-12-18T03:59:59.999000+00:00Z,0.12674,0.14619,0.12671,0.14169,59864008.6,8348173.229451,14489,33494362.3,4701825.04088
2020-12-18T04:00:00+00:00Z,2020-12-18T04:59:59.999000+00:00Z,0.1416,0.173,0.14122,0.16899,93999814.6,15050809.304433,22055,58810945.0,9391908.316427
2020-12-18T05:00:00+00:00Z,2020-12-18T05:59:59.999000+00:00Z,0.1682,0.194,0.1632,0.17216,110832143.5,19810633.945249,30733,64050196.3,11488659.940607
2020-12-18T06:00:00+00:00Z,2020-12-18T06:59:59.999000+00:00Z,0.17201,0.19748,0.17,0.19608,69147471.1,12674149.347689,21480,42349724.8,7780953.729977
2020-12-18T07:00:00+00:00Z,2020-12-18T07:59:59.999000+00:00Z,0.19606,0.19635,0.173,0.17713,51658510.0,9677310.92915,17150,24568029.6,4612450.442047
2020-12-18T08:00:00+00:00Z,2020-12-18T08:59:59.999000+00:00Z,0.17701,0.1892,0.1684,0.17327,52457461.3,9346469.579825,16578,26344143.8,4698686.122188
2020-12-18T09:00:00+00:00Z,2020-12-18T09:59:59.999000+00:00Z,0.17327,0.18694,0.1725,0.18551,32268993.7,5820475.148236,12936,17845454.3,3221875.949425
2020-12-18T10:00:00+00:00Z,2020-12-18T10:59:59.999000+00:00Z,0.18571,0.19,0.17559,0.18042,33242979.2,6017804.341436,12789,16423161.3,2978591.223322
2020-12-18T11:00:00+00:00Z,2020-12-18T11:59:59.999000+00:00Z,0.18049,0.1928,0.17531,0.19093,36265715.3,6701524.608038,12813,21968391.8,4069415.111169
2020-12-18T12:00:00+00:00Z,2020-12-18T12:59:59.999000+00:00Z,0.19115,0.24364,0.18823,0.24309,163181967.3,35384671.858184,51772,92406831.2,20013782.921895
2020-12-18T13:00:00+00:00Z,2020-12-18T13:59:59.999000+00:00Z,0.24309,0.28665,0.22111,0.25858,204748395.2,51337966.351547,72806,106289355.0,26693536.128923
2020-12-18T14:00:00+00:00Z,2020-12-18T14:59:59.999000+00:00Z,0.25858,0.27161,0.23216,0.25907,192321137.3,48082688.682215,70370,93850409.7,23489693.165125
2020-12-18T15:00:00+00:00Z,2020-12-18T15:59:59.999000+00:00Z,0.25899,0.28,0.24214,0.25573,105825745.9,27599433.103409,42053,55214172.6,14470218.707691
2020-12-18T16:00:00+00:00Z,2020-12-18T16:59:59.999000+00:00Z,0.25569,0.25569,0.208,0.23799,157068499.8,35961707.009248,51416,73495541.4,16874979.704202
2020-12-18T17:00:00+00:00Z,2020-12-18T17:59:59.999000+00:00Z,0.23702,0.26325,0.22268,0.25,97767023.1,23859313.458276,38177,51011930.2,12473978.421833
2020-12-18T18:00:00+00:00Z,2020-12-18T18:59:59.999000+00:00Z,0.25,0.25451,0.23632,0.25064,54912154.9,13491095.82978,22434,28787117.3,7079819.080501
2020-12-18T19:00:00+00:00Z,2020-12-18T19:59:59.999000+00:00Z,0.25128,0.26841,0.24511,0.25,71123969.0,18398206.718617,26289,39415482.3,10208875.016156
2020-12-18T20:00:00+00:00Z,2020-12-18T20:59:59.999000+00:00Z,0.24967,0.253,0.23197,0.23902,48186389.7,11684577.331847,20858,23778682.4,5769564.629882
2020-12-18T21:00:00+00:00Z,2020-12-18T21:59:59.999000+00:00Z,0.23984,0.258,0.23952,0.25157,36925119.4,9233796.932158,15130,19095513.6,4777756.740117
2020-12-18T22:00:00+00:00Z,2020-12-18T22:59:59.999000+00:00Z,0.25162,0.265,0.25162,0.25758,36301967.3,9387921.304078,15273,20010307.3,5177280.318059
2020-12-18T23:00:00+00:00Z,2020-12-18T23:59:59.999000+00:00Z,0.25756,0.26371,0.245,0.26122,36489321.7,9310052.947859,14398,17814754.9,4559909.864864
2020-12-19T00:00:00+00:00Z,2020-12-19T00:59:59.999000+00:00Z,0.26097,0.276,0.25522,0.2672,54351306.8,14439837.76665,20772,27663976.1,7356568.400516
2020-12-19T01:00:00+00:00Z,2020-12-19T01:59:59.999000+00:00Z,0.26752,0.3208,0.26301,0.31972,93968964.5,27371061.92174,31459,53931428.1,15718083.121136
2020-12-19T02:00:00+00:00Z,2020-12-19T02:59:59.999000+00:00Z,0.31973,0.356,0.30014,0.32714,150362755.7,49560805.079021,52380,75705358.3,25053612.881088
2020-12-19T03:00:00+00:00Z,2020-12-19T03:59:59.999000+00:00Z,0.32775,0.33758,0.305,0.32357,68238283.5,21782697.232332,27860,33395751.5,10676263.490894
2020-12-19T04:00:00+00:00Z,2020-12-19T04:59:59.999000+00:00Z,0.32388,0.3239,0.28777,0.30531,64773581.1,19590010.512016,23435,30414451.6,9202028.315747
2020-12-19T05:00:00+00:00Z,2020-12-19T05:59:59.999000+00:00Z,0.30531,0.32555,0.29873,0.32287,58388328.4,18250809.404288,21506,32885184.9,10291532.986683
2020-12-19T06:00:00+00:00Z,2020-12-19T06:59:59.999000+00:00Z,0.32287,0.325,0.3116,0.31816,33019609.0,10518556.854965,12922,17920466.6,5713237.159753
2020-12-19T07:00:00+00:00Z,2020-12-19T07:59:59.999000+00:00Z,0.31795,0.33524,0.307,0.33294,43381371.0,13927417.162173,19808,24315275.7,7814943.447169
2020-12-19T08:00:00+00:00Z,2020-12-19T08:59:59.999000+00:00Z,0.33315,0.38888,0.32366,0.38376,124974889.8,45008302.370629,48747,69749674.9,25141914.3118
2020-12-19T09:00:00+00:00Z,2020-12-19T09:59:59.999000+00:00Z,0.38345,0.40899,0.35374,0.36949,156908536.4,59623237.679695,61465,77662833.4,29501185.995603
2020-12-19T10:00:00+00:00Z,2020-12-19T10:59:59.999000+00:00Z,0.36923,0.418,0.363,0.4118,79237548.8,30969318.356752,37072,44677228.9,17463893.080049
2020-12-19T11:00:00+00:00Z,2020-12-19T11:59:59.999000+00:00Z,0.41172,0.459,0.402,0.44108,141927712.6,62111841.10783,67413,70639706.0,30936272.343205
2020-12-19T12:00:00+00:00Z,2020-12-19T12:59:59.999000+00:00Z,0.44108,0.5899,0.426,0.54618,239824235.1,123798987.444991,109468,123697395.4,63866595.506251
2020-12-19T13:00:00+00:00Z,2020-12-19T13:59:59.999000+00:00Z,0.54658,0.56324,0.42555,0.4519,246112468.9,119087032.780873,121893,112118798.1,54431300.18569
