# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,HEIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-02-13T08:00:00+00:00Z
# t0_final_iso,2025-02-13T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5e52fb2f909b19b2
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-02-13T08:00:00+00:00Z,2025-02-13T08:59:59.999000+00:00Z,0.743,1.49,0.743,1.0376,36870226.3,43773594.96549,209561,18312316.5,21844603.63345
2025-02-13T09:00:00+00:00Z,2025-02-13T09:59:59.999000+00:00Z,1.0375,1.198,0.9792,1.0864,16140158.9,17506801.76502,112265,8675108.1,9408426.9782
2025-02-13T10:00:00+00:00Z,2025-02-13T10:59:59.999000+00:00Z,1.0872,1.1536,1.0512,1.1289,6061918.4,6679370.92721,59559,2997703.9,3313379.91564
2025-02-13T11:00:00+00:00Z,2025-02-13T11:59:59.999000+00:00Z,1.129,1.1418,1.0695,1.1098,4574134.0,5092289.68456,37179,2081439.6,2318303.72623
2025-02-13T12:00:00+00:00Z,2025-02-13T12:59:59.999000+00:00Z,1.1091,1.1886,1.0814,1.1764,5870320.3,6678240.95982,44262,3336954.5,3800397.83005
2025-02-13T13:00:00+00:00Z,2025-02-13T13:59:59.999000+00:00Z,1.1769,1.2777,1.0805,1.1286,13521679.7,15995806.9706,104753,6605724.9,7853767.92883
2025-02-13T14:00:00+00:00Z,2025-02-13T14:59:59.999000+00:00Z,1.1282,1.1465,1.0634,1.102,5005320.9,5537827.51368,47653,2474835.1,2744221.85883
2025-02-13T15:00:00+00:00Z,2025-02-13T15:59:59.999000+00:00Z,1.102,1.12,1.0631,1.08,3139230.2,3427028.14087,38019,1460378.5,1597311.54468
2025-02-13T16:00:00+00:00Z,2025-02-13T16:59:59.999000+00:00Z,1.08,1.0804,0.8546,0.9034,10149411.4,9571975.95439,88233,4239621.8,3993069.26395
2025-02-13T17:00:00+00:00Z,2025-02-13T17:59:59.999000+00:00Z,0.9034,0.9827,0.9014,0.932,5192542.0,4850113.6752,35798,2660259.7,2485531.6991
