# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,HFTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-11-07T13:00:00+00:00Z
# t0_final_iso,2022-11-07T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8f08dcb338543363
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-11-07T13:00:00+00:00Z,2022-11-07T13:59:59.999000+00:00Z,0.15,35.0,0.15,1.3284,62441079.6,122458817.37467,276012,27275561.2,54435338.64781
2022-11-07T14:00:00+00:00Z,2022-11-07T14:59:59.999000+00:00Z,1.3284,1.4126,1.0548,1.176,46125446.3,54412265.07445,136034,20843556.8,24598151.41027
2022-11-07T15:00:00+00:00Z,2022-11-07T15:59:59.999000+00:00Z,1.1758,1.2675,1.09,1.1882,20194324.6,24040786.21183,56230,9887928.0,11808389.2062
2022-11-07T16:00:00+00:00Z,2022-11-07T16:59:59.999000+00:00Z,1.1878,1.2056,1.1,1.1277,13565935.4,15686442.10221,31966,6275756.1,7273777.73671
2022-11-07T17:00:00+00:00Z,2022-11-07T17:59:59.999000+00:00Z,1.1275,1.134,1.0139,1.0299,14505841.7,15384224.55614,32457,6702674.5,7100463.06838
2022-11-07T18:00:00+00:00Z,2022-11-07T18:59:59.999000+00:00Z,1.0295,1.04,0.9482,1.0141,15933646.2,15892624.97442,31915,6806162.8,6796522.74565
2022-11-07T19:00:00+00:00Z,2022-11-07T19:59:59.999000+00:00Z,1.0141,1.056,0.9958,1.0298,8163443.5,8417004.86313,20350,4014915.4,4139947.27367
2022-11-07T20:00:00+00:00Z,2022-11-07T20:59:59.999000+00:00Z,1.031,1.0893,1.025,1.0401,7264782.0,7696778.61497,18480,3317835.1,3518487.11798
2022-11-07T21:00:00+00:00Z,2022-11-07T21:59:59.999000+00:00Z,1.0401,1.07,0.9814,1.0193,4385409.2,4506809.73133,11849,2171073.7,2233168.68923
2022-11-07T22:00:00+00:00Z,2022-11-07T22:59:59.999000+00:00Z,1.0191,1.07,0.9969,1.0675,5320175.4,5469844.31539,11756,2827444.7,2910109.98246
