# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,HUMAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-05-26T13:00:00+00:00Z
# t0_final_iso,2025-05-26T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b2dc55a514403687
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-05-26T13:00:00+00:00Z,2025-05-26T13:59:59.999000+00:00Z,0.01,0.106,0.01,0.07355,650168504.0,51666564.23182,244557,306140146.0,24403967.00828
2025-05-26T14:00:00+00:00Z,2025-05-26T14:59:59.999000+00:00Z,0.07355,0.07519,0.06703,0.0685,186997481.0,13270631.83746,73151,90081288.0,6404363.35669
2025-05-26T15:00:00+00:00Z,2025-05-26T15:59:59.999000+00:00Z,0.0685,0.072,0.06401,0.07175,180838965.0,12334765.03916,59944,90659440.0,6195669.53784
2025-05-26T16:00:00+00:00Z,2025-05-26T16:59:59.999000+00:00Z,0.07175,0.0735,0.06751,0.07167,127219944.0,8987076.45682,48853,64989163.0,4596690.72974
2025-05-26T17:00:00+00:00Z,2025-05-26T17:59:59.999000+00:00Z,0.07169,0.07409,0.0676,0.06812,129038440.0,9186212.5078,66641,61416580.0,4382457.90723
2025-05-26T18:00:00+00:00Z,2025-05-26T18:59:59.999000+00:00Z,0.06814,0.06929,0.06659,0.06692,71987542.0,4886416.38713,42641,37328990.0,2534549.81383
2025-05-26T19:00:00+00:00Z,2025-05-26T19:59:59.999000+00:00Z,0.06692,0.06837,0.06524,0.06732,49474476.0,3313942.18983,23468,25379373.0,1701537.23683
2025-05-26T20:00:00+00:00Z,2025-05-26T20:59:59.999000+00:00Z,0.06732,0.06789,0.06441,0.06584,54167719.0,3587513.54036,24449,23927460.0,1586545.22575
2025-05-26T21:00:00+00:00Z,2025-05-26T21:59:59.999000+00:00Z,0.06586,0.0668,0.0655,0.06597,20409237.0,1347639.34423,11743,9712344.0,641655.58889
2025-05-26T22:00:00+00:00Z,2025-05-26T22:59:59.999000+00:00Z,0.06596,0.06799,0.06566,0.06617,40332733.0,2689001.4212,20499,20076734.0,1338211.4671
2025-05-26T23:00:00+00:00Z,2025-05-26T23:59:59.999000+00:00Z,0.06615,0.0674,0.06562,0.06693,28259085.0,1880102.93284,17311,13421078.0,893220.0151
2025-05-27T00:00:00+00:00Z,2025-05-27T00:59:59.999000+00:00Z,0.06692,0.06969,0.06658,0.06814,56479106.0,3859096.13814,23479,28381473.0,1940253.83358
2025-05-27T01:00:00+00:00Z,2025-05-27T01:59:59.999000+00:00Z,0.06814,0.06842,0.06027,0.06241,117416007.0,7369428.52925,43335,52681948.0,3302094.54
2025-05-27T02:00:00+00:00Z,2025-05-27T02:59:59.999000+00:00Z,0.06243,0.06474,0.06193,0.06315,36147229.0,2285789.73122,19588,18302244.0,1157724.98828
2025-05-27T03:00:00+00:00Z,2025-05-27T03:59:59.999000+00:00Z,0.06313,0.06349,0.06212,0.06258,33552170.0,2104539.63565,16334,15690083.0,984448.21625
