# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,KAITOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-02-20T13:00:00+00:00Z
# t0_final_iso,2025-02-20T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8dde19a8a7c8c669
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-02-20T13:00:00+00:00Z,2025-02-20T13:59:59.999000+00:00Z,0.1,1.733,0.1,1.1261,79173676.1,99763381.68999,391184,40809003.5,51520596.26791
2025-02-20T14:00:00+00:00Z,2025-02-20T14:59:59.999000+00:00Z,1.1263,1.1361,0.8889,0.9244,31365825.4,31018353.67192,151106,14440931.0,14293968.5862
2025-02-20T15:00:00+00:00Z,2025-02-20T15:59:59.999000+00:00Z,0.9236,0.9613,0.89,0.9241,21633134.0,19973269.56466,116827,11061631.3,10225654.45053
2025-02-20T16:00:00+00:00Z,2025-02-20T16:59:59.999000+00:00Z,0.9237,1.012,0.8922,0.9779,24451294.6,23500289.88439,120056,12676641.1,12203923.22444
2025-02-20T17:00:00+00:00Z,2025-02-20T17:59:59.999000+00:00Z,0.9779,1.28,0.951,1.2316,31589472.3,34452972.84699,162328,17377484.9,19031036.10001
2025-02-20T18:00:00+00:00Z,2025-02-20T18:59:59.999000+00:00Z,1.2319,1.3155,1.1675,1.243,39993564.3,50089301.87278,201387,20735280.1,26014500.92621
2025-02-20T19:00:00+00:00Z,2025-02-20T19:59:59.999000+00:00Z,1.2426,1.328,1.1967,1.2323,20796748.9,26276345.7695,118166,10853091.3,13732952.65797
2025-02-20T20:00:00+00:00Z,2025-02-20T20:59:59.999000+00:00Z,1.2326,1.27,1.2,1.2503,10098411.7,12484206.92893,66057,5026969.5,6223161.87177
2025-02-20T21:00:00+00:00Z,2025-02-20T21:59:59.999000+00:00Z,1.2515,2.1,1.24,1.6857,59939092.8,101844207.64468,419674,31618541.9,53503028.81656
2025-02-20T22:00:00+00:00Z,2025-02-20T22:59:59.999000+00:00Z,1.685,1.91,1.6753,1.7376,25032008.9,45246870.26907,184903,12612055.3,22795763.95101
2025-02-20T23:00:00+00:00Z,2025-02-20T23:59:59.999000+00:00Z,1.7378,1.8342,1.5842,1.6446,18825904.7,32857094.21222,165730,9156111.9,16006977.0658
2025-02-21T00:00:00+00:00Z,2025-02-21T00:59:59.999000+00:00Z,1.6434,1.6465,1.33,1.3523,24245318.3,35552929.18051,163389,11346272.8,16674173.93412
2025-02-21T01:00:00+00:00Z,2025-02-21T01:59:59.999000+00:00Z,1.3527,1.52,1.3165,1.4306,15603573.5,22218883.99436,130471,8907835.5,12681701.38887
2025-02-21T02:00:00+00:00Z,2025-02-21T02:59:59.999000+00:00Z,1.4309,1.4733,1.2628,1.3182,11225050.1,15416177.85075,95893,5477689.3,7511043.63453
2025-02-21T03:00:00+00:00Z,2025-02-21T03:59:59.999000+00:00Z,1.3187,1.385,1.2757,1.3517,7703205.4,10394233.94273,72014,4109757.4,5549523.92181
2025-02-21T04:00:00+00:00Z,2025-02-21T04:59:59.999000+00:00Z,1.3516,1.444,1.34,1.4081,7086440.2,9875882.46657,76280,3787665.5,5285234.03225
2025-02-21T05:00:00+00:00Z,2025-02-21T05:59:59.999000+00:00Z,1.4077,1.604,1.3758,1.5954,11500052.8,16947865.82331,99246,6410330.4,9437463.98959
2025-02-21T06:00:00+00:00Z,2025-02-21T06:59:59.999000+00:00Z,1.595,1.7219,1.5273,1.6022,20308424.6,32888875.26133,164770,10650422.1,17267369.60793
2025-02-21T07:00:00+00:00Z,2025-02-21T07:59:59.999000+00:00Z,1.6032,1.6599,1.518,1.58,11467904.0,18264779.73156,81980,5802860.2,9253254.18328
2025-02-21T08:00:00+00:00Z,2025-02-21T08:59:59.999000+00:00Z,1.5782,1.6392,1.5279,1.6315,9470990.3,15025677.03075,72296,4916728.8,7808558.05111
2025-02-21T09:00:00+00:00Z,2025-02-21T09:59:59.999000+00:00Z,1.6311,1.799,1.602,1.7453,21782998.3,37211323.256,134619,11348924.5,19359105.7276
2025-02-21T10:00:00+00:00Z,2025-02-21T10:59:59.999000+00:00Z,1.7446,1.973,1.7211,1.8992,19362257.0,35596008.43596,111333,10184311.2,18725317.18095
2025-02-21T11:00:00+00:00Z,2025-02-21T11:59:59.999000+00:00Z,1.898,1.9884,1.7521,1.8269,20800542.7,38801129.90246,114020,10727067.4,20012398.11545
2025-02-21T12:00:00+00:00Z,2025-02-21T12:59:59.999000+00:00Z,1.8254,1.863,1.6893,1.7708,14437662.5,25478107.77964,76110,7683312.1,13568860.00288
2025-02-21T13:00:00+00:00Z,2025-02-21T13:59:59.999000+00:00Z,1.7725,1.8417,1.7152,1.8174,9913473.5,17656620.60096,63988,5128728.2,9141140.12924
2025-02-21T14:00:00+00:00Z,2025-02-21T14:59:59.999000+00:00Z,1.8184,1.932,1.7813,1.8566,16115568.1,30069955.69283,116669,8367266.7,15613345.99487
2025-02-21T15:00:00+00:00Z,2025-02-21T15:59:59.999000+00:00Z,1.8565,2.12,1.6551,1.8118,37894703.5,70939247.04266,218673,19075520.5,35901852.36006
2025-02-21T16:00:00+00:00Z,2025-02-21T16:59:59.999000+00:00Z,1.8107,1.98,1.7926,1.887,20542447.8,39118083.49123,118682,10876254.2,20719541.01724
