# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,KAVAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,97ec2b2c85a27516
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,1.9727,1.99,1.935,1.9509,145618.98,285557.691457,1176,75002.37,147256.02776
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,1.9565,1.977,1.9394,1.9589,103298.42,202080.050128,821,48235.79,94393.978145
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,1.9581,1.9794,1.9466,1.9612,64555.29,126749.006534,580,36398.85,71539.099152
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,1.9646,1.995,1.961,1.99,39822.52,78903.955203,423,20433.84,40487.754453
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,1.9903,2.01,1.9866,1.995,37682.17,75172.361291,391,15870.39,31677.922962
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,1.9916,2.05,1.9866,2.0304,86755.67,175316.464518,852,62510.34,126427.962469
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,2.03,2.0498,2.0251,2.0305,18552.55,37778.221918,298,9310.3,18974.24251
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,2.0342,2.057,2.0076,2.0119,147453.48,299471.476986,944,70426.04,143019.750801
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,2.0125,2.0138,1.9689,1.9972,55771.95,110919.325293,591,25811.82,51380.901491
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,1.9991,2.0023,1.9453,1.9645,85239.61,167532.286808,717,28531.61,56202.418297
