# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,LAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-07-09T16:00:00+00:00Z
# t0_final_iso,2025-07-09T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bfbd640b8276a77e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-09T16:00:00+00:00Z,2025-07-09T16:59:59.999000+00:00Z,0.4,0.706,0.4,0.5604,37891778.8,23570835.19051,106064,18915140.9,11776831.87462
2025-07-09T17:00:00+00:00Z,2025-07-09T17:59:59.999000+00:00Z,0.5602,0.5618,0.5136,0.5315,10982439.2,5825218.21457,30842,6281212.0,3326316.93378
2025-07-09T18:00:00+00:00Z,2025-07-09T18:59:59.999000+00:00Z,0.5316,0.5327,0.508,0.513,6610286.1,3414362.65965,23375,2937988.8,1518089.05762
2025-07-09T19:00:00+00:00Z,2025-07-09T19:59:59.999000+00:00Z,0.5129,0.5204,0.5012,0.5121,4508370.1,2299008.32575,16230,2305406.3,1177152.43979
2025-07-09T20:00:00+00:00Z,2025-07-09T20:59:59.999000+00:00Z,0.5121,0.524,0.5044,0.5217,3842014.9,1982993.87381,15792,1909821.5,986066.29324
2025-07-09T21:00:00+00:00Z,2025-07-09T21:59:59.999000+00:00Z,0.5218,0.5277,0.5069,0.5138,3115136.2,1607738.94146,10196,1262117.1,651319.8544
2025-07-09T22:00:00+00:00Z,2025-07-09T22:59:59.999000+00:00Z,0.5137,0.5182,0.509,0.5173,1865754.6,956518.28994,6421,1125131.7,577109.30958
2025-07-09T23:00:00+00:00Z,2025-07-09T23:59:59.999000+00:00Z,0.5173,0.526,0.5124,0.5149,2451293.6,1271822.62591,8644,1196814.2,621626.1765
2025-07-10T00:00:00+00:00Z,2025-07-10T00:59:59.999000+00:00Z,0.515,0.5165,0.4725,0.4834,7065798.8,3452671.22728,23678,3553693.5,1733874.78861
2025-07-10T01:00:00+00:00Z,2025-07-10T01:59:59.999000+00:00Z,0.4833,0.4902,0.476,0.4776,2231923.1,1080797.44943,9011,1162831.4,563642.71695
2025-07-10T02:00:00+00:00Z,2025-07-10T02:59:59.999000+00:00Z,0.4774,0.4811,0.4573,0.4638,3270722.7,1541327.41405,11226,1643953.6,775262.4389
2025-07-10T03:00:00+00:00Z,2025-07-10T03:59:59.999000+00:00Z,0.4639,0.465,0.4517,0.4577,2284824.3,1048619.84819,9072,1250552.6,574125.21862
2025-07-10T04:00:00+00:00Z,2025-07-10T04:59:59.999000+00:00Z,0.4579,0.4653,0.4552,0.4643,1930005.5,886566.97314,7143,1101218.3,506156.32769
