# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,LSKUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,35d4b28451fc3716
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,1.1027,1.1094,1.0996,1.1088,7104.88,7844.826624,63,6207.66,6855.382447
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,1.107,1.1077,1.0988,1.0988,2327.06,2572.095307,11,2052.09,2268.837855
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,1.1042,1.1042,1.0917,1.0917,3637.29,3988.465488,29,1146.9,1259.966988
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,1.0936,1.0949,1.0901,1.0937,878.88,959.578881,19,267.81,292.836911
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,1.0937,1.0938,1.089,1.0897,3983.53,4351.025394,30,2564.04,2802.82719
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,1.0897,1.0969,1.0897,1.0969,4792.22,5238.096413,14,4681.06,5116.952309
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,1.0963,1.0969,1.0955,1.0969,1158.19,1270.301292,11,1158.19,1270.301292
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,1.0967,1.0969,1.0894,1.0958,4479.05,4911.564894,25,4380.93,4804.575538
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,1.0968,1.0988,1.0873,1.0984,16062.03,17592.329981,52,8402.54,9188.143421
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,1.09,1.092,1.0841,1.088,3713.39,4036.065162,28,572.39,622.404264
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,1.088,1.0896,1.087,1.0894,877.69,954.342725,8,208.3,226.697736
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,1.0866,1.0866,1.0745,1.082,5017.55,5418.377147,66,1275.93,1378.578015
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,1.0867,1.0892,1.0783,1.0892,3276.42,3554.936647,43,2801.6,3041.341882
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,1.0845,1.0845,1.0746,1.0802,4965.45,5347.785157,29,1188.57,1279.061815
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,1.0746,1.0788,1.0726,1.0772,1496.35,1608.042584,33,158.4,170.347616
