# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,MAVUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-06-28T08:00:00+00:00Z
# t0_final_iso,2023-06-28T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5cdbb8aa7d093da1
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-06-28T08:00:00+00:00Z,2023-06-28T08:59:59.999000+00:00Z,0.05,1.98,0.05,0.572,67847968.0,43438558.7856,121874,36121412.0,22942115.456
2023-06-28T09:00:00+00:00Z,2023-06-28T09:59:59.999000+00:00Z,0.5722,0.5745,0.5,0.5429,27927007.0,14880564.9411,45858,13972710.0,7450404.8941
2023-06-28T10:00:00+00:00Z,2023-06-28T10:59:59.999000+00:00Z,0.542,0.5861,0.538,0.568,13481501.0,7669186.396,30198,7029954.0,4001323.7576
2023-06-28T11:00:00+00:00Z,2023-06-28T11:59:59.999000+00:00Z,0.5681,0.574,0.525,0.5348,10934009.0,5964144.1477,22008,4799612.0,2618941.8067
2023-06-28T12:00:00+00:00Z,2023-06-28T12:59:59.999000+00:00Z,0.5348,0.5447,0.515,0.53,8421280.0,4459775.4732,16667,4423144.0,2344565.6759
2023-06-28T13:00:00+00:00Z,2023-06-28T13:59:59.999000+00:00Z,0.5298,0.5649,0.5166,0.5585,8552993.0,4617239.6707,16869,4825238.0,2608005.1108
2023-06-28T14:00:00+00:00Z,2023-06-28T14:59:59.999000+00:00Z,0.5592,0.5977,0.556,0.558,15945457.0,9167152.4231,30821,8970423.0,5164674.9833
2023-06-28T15:00:00+00:00Z,2023-06-28T15:59:59.999000+00:00Z,0.558,0.565,0.538,0.5485,7082604.0,3901067.437,13993,3544080.0,1954736.0291
2023-06-28T16:00:00+00:00Z,2023-06-28T16:59:59.999000+00:00Z,0.5482,0.561,0.5444,0.554,4466332.0,2473640.3582,9452,2410365.0,1335562.3591
2023-06-28T17:00:00+00:00Z,2023-06-28T17:59:59.999000+00:00Z,0.5543,0.5569,0.53,0.5369,4293243.0,2321206.7838,9221,1904200.0,1030284.8507
2023-06-28T18:00:00+00:00Z,2023-06-28T18:59:59.999000+00:00Z,0.5369,0.5436,0.5279,0.5312,2928859.0,1565495.072,6496,1322764.0,707618.0662
2023-06-28T19:00:00+00:00Z,2023-06-28T19:59:59.999000+00:00Z,0.5312,0.5349,0.5015,0.5211,6219389.0,3215446.2063,10872,2432583.0,1259422.7611
2023-06-28T20:00:00+00:00Z,2023-06-28T20:59:59.999000+00:00Z,0.5211,0.5282,0.5053,0.5168,3521931.0,1826878.7276,6914,1709223.0,887791.2436
2023-06-28T21:00:00+00:00Z,2023-06-28T21:59:59.999000+00:00Z,0.5164,0.5424,0.5162,0.5278,3847846.0,2045938.2098,8605,2253242.0,1197271.3571
2023-06-28T22:00:00+00:00Z,2023-06-28T22:59:59.999000+00:00Z,0.5277,0.532,0.511,0.53,3380058.0,1764859.1696,6444,1663518.0,869832.0732
2023-06-28T23:00:00+00:00Z,2023-06-28T23:59:59.999000+00:00Z,0.53,0.5306,0.5133,0.5228,1562823.0,817167.7929,3482,699849.0,366325.16
2023-06-29T00:00:00+00:00Z,2023-06-29T00:59:59.999000+00:00Z,0.5234,0.575,0.515,0.5743,5466963.0,2979256.4741,8764,3472325.0,1902860.585
2023-06-29T01:00:00+00:00Z,2023-06-29T01:59:59.999000+00:00Z,0.5743,0.585,0.5415,0.5568,8465642.0,4789736.1446,16893,4283208.0,2428090.8807
2023-06-29T02:00:00+00:00Z,2023-06-29T02:59:59.999000+00:00Z,0.5564,0.561,0.54,0.5409,2599612.0,1433646.9001,5635,1196558.0,661543.0138
2023-06-29T03:00:00+00:00Z,2023-06-29T03:59:59.999000+00:00Z,0.5409,0.553,0.535,0.5447,1976248.0,1069051.3883,4600,929460.0,503428.6833
2023-06-29T04:00:00+00:00Z,2023-06-29T04:59:59.999000+00:00Z,0.5454,0.555,0.54,0.5457,1654988.0,903397.6158,4215,757540.0,413736.4851
2023-06-29T05:00:00+00:00Z,2023-06-29T05:59:59.999000+00:00Z,0.5456,0.5724,0.5435,0.5529,4192836.0,2349604.1571,9248,2282136.0,1279542.2186
2023-06-29T06:00:00+00:00Z,2023-06-29T06:59:59.999000+00:00Z,0.5535,0.5624,0.5506,0.5597,2247815.0,1250134.9107,4397,1097796.0,610739.0167
2023-06-29T07:00:00+00:00Z,2023-06-29T07:59:59.999000+00:00Z,0.5597,0.5747,0.5366,0.5401,5870300.0,3270318.2727,9980,2819623.0,1574200.0805
2023-06-29T08:00:00+00:00Z,2023-06-29T08:59:59.999000+00:00Z,0.5407,0.5434,0.472,0.4948,16694285.0,8336083.9696,22058,6511386.0,3232750.1342
2023-06-29T09:00:00+00:00Z,2023-06-29T09:59:59.999000+00:00Z,0.4944,0.495,0.4753,0.4877,6102065.0,2967149.0513,8600,2444211.0,1186643.2665
2023-06-29T10:00:00+00:00Z,2023-06-29T10:59:59.999000+00:00Z,0.4877,0.4971,0.4802,0.4907,3289230.0,1604903.4151,5283,1678286.0,819965.5733
2023-06-29T11:00:00+00:00Z,2023-06-29T11:59:59.999000+00:00Z,0.4907,0.4981,0.4762,0.4919,3768052.0,1838303.3924,5327,1473464.0,719375.3772
2023-06-29T12:00:00+00:00Z,2023-06-29T12:59:59.999000+00:00Z,0.4915,0.5059,0.464,0.4738,13679751.0,6584115.053,24821,6236727.0,3004184.4606
2023-06-29T13:00:00+00:00Z,2023-06-29T13:59:59.999000+00:00Z,0.4737,0.4747,0.435,0.4429,12368829.0,5548790.3876,19206,5149978.0,2304299.1362
2023-06-29T14:00:00+00:00Z,2023-06-29T14:59:59.999000+00:00Z,0.4423,0.46,0.442,0.449,5107439.0,2312782.7017,8989,2588710.0,1172160.9909
2023-06-29T15:00:00+00:00Z,2023-06-29T15:59:59.999000+00:00Z,0.4487,0.47,0.4471,0.4607,4723974.0,2173393.9912,7244,2808641.0,1293018.7172
2023-06-29T16:00:00+00:00Z,2023-06-29T16:59:59.999000+00:00Z,0.4607,0.4656,0.4405,0.4532,4073963.0,1834974.9339,6979,1807107.0,814162.3907
2023-06-29T17:00:00+00:00Z,2023-06-29T17:59:59.999000+00:00Z,0.4537,0.4545,0.438,0.4476,3375899.0,1507982.4554,6027,1576784.0,705825.064
2023-06-29T18:00:00+00:00Z,2023-06-29T18:59:59.999000+00:00Z,0.4477,0.4534,0.4188,0.4221,5808530.0,2492198.9538,9094,2247437.0,963069.1821
2023-06-29T19:00:00+00:00Z,2023-06-29T19:59:59.999000+00:00Z,0.4222,0.4324,0.4202,0.4304,3032043.0,1291856.9816,4999,1639699.0,698456.7641
2023-06-29T20:00:00+00:00Z,2023-06-29T20:59:59.999000+00:00Z,0.4302,0.433,0.4181,0.4246,2939654.0,1245969.888,5404,1376402.0,583778.6729
2023-06-29T21:00:00+00:00Z,2023-06-29T21:59:59.999000+00:00Z,0.4249,0.4334,0.4231,0.4299,1987096.0,851633.4047,3325,944969.0,405424.7058
2023-06-29T22:00:00+00:00Z,2023-06-29T22:59:59.999000+00:00Z,0.4299,0.435,0.4248,0.4254,2169141.0,932228.5023,3788,1090209.0,468958.2761
2023-06-29T23:00:00+00:00Z,2023-06-29T23:59:59.999000+00:00Z,0.4255,0.4266,0.4115,0.4188,2919830.0,1227635.211,4681,1355775.0,569870.9898
2023-06-30T00:00:00+00:00Z,2023-06-30T00:59:59.999000+00:00Z,0.4193,0.4275,0.413,0.4169,3232560.0,1360224.4541,6462,1456436.0,614006.6068
2023-06-30T01:00:00+00:00Z,2023-06-30T01:59:59.999000+00:00Z,0.4163,0.4201,0.4022,0.4157,6213188.0,2547919.9228,7641,3017439.0,1239024.2691
2023-06-30T02:00:00+00:00Z,2023-06-30T02:59:59.999000+00:00Z,0.4157,0.45,0.4127,0.4296,9511536.0,4130113.1077,18539,5041938.0,2189108.2386
2023-06-30T03:00:00+00:00Z,2023-06-30T03:59:59.999000+00:00Z,0.4298,0.4413,0.4234,0.4341,4673280.0,2026551.4351,5809,2171734.0,943042.97
2023-06-30T04:00:00+00:00Z,2023-06-30T04:59:59.999000+00:00Z,0.4336,0.4458,0.4283,0.4324,3723473.0,1625706.0197,5484,1783062.0,779211.4012
