# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,MBLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,386678572ade8323
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.001544,0.001555,0.001543,0.001552,5329223.0,8256.554909,273,2762338.0,4281.517752
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.001551,0.001577,0.001549,0.001573,11441330.0,17923.104345,375,5265449.0,8254.643369
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.001574,0.001578,0.001569,0.001572,5832812.0,9167.875668,410,1947246.0,3062.904248
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.00157,0.001571,0.001556,0.001563,8902593.0,13918.521732,304,3100264.0,4858.230369
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.001568,0.001574,0.001564,0.001567,2730863.0,4280.928035,164,1277483.0,2003.589735
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.001568,0.001575,0.001564,0.001569,4253660.0,6673.144718,248,2558311.0,4014.646769
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.001569,0.001583,0.001559,0.001577,6165297.0,9683.793294,246,3653907.0,5739.480367
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.001576,0.001576,0.001535,0.001547,14000694.0,21704.299583,339,6119448.0,9494.121127
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.001549,0.001554,0.001535,0.00154,6419353.0,9913.450467,265,3958153.0,6114.926829
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.001542,0.001573,0.001541,0.001572,4891060.0,7604.678857,214,2868664.0,4462.821467
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.00157,0.001582,0.001559,0.001576,6619062.0,10384.423857,370,2149838.0,3373.686669
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.001576,0.001578,0.001558,0.00157,7303727.0,11450.192472,268,2222068.0,3490.146131
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.00157,0.001576,0.001566,0.001568,4922977.0,7737.024317,261,3240553.0,5094.522959
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.001567,0.001578,0.001548,0.001558,9771423.0,15224.007003,335,4925814.0,7683.936338
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.001557,0.001565,0.001542,0.001543,7259391.0,11294.440553,286,4721175.0,7354.948482
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.001543,0.001566,0.001543,0.001562,5726767.0,8897.286653,256,2161697.0,3357.913734
