# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,MOVEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-12-09T12:00:00+00:00Z
# t0_final_iso,2024-12-09T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,430ad850d388881f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-09T12:00:00+00:00Z,2024-12-09T12:59:59.999000+00:00Z,0.02,0.8776,0.02,0.6806,219621126.3,156817362.79469,353599,110529873.0,79285863.5436
2024-12-09T13:00:00+00:00Z,2024-12-09T13:59:59.999000+00:00Z,0.6803,0.6809,0.592,0.6238,76303568.1,47848927.82934,166776,36670832.0,23040164.32795
2024-12-09T14:00:00+00:00Z,2024-12-09T14:59:59.999000+00:00Z,0.6238,0.72,0.611,0.6627,81632467.9,54693820.33689,187708,42519233.3,28519678.76709
2024-12-09T15:00:00+00:00Z,2024-12-09T15:59:59.999000+00:00Z,0.6628,0.7287,0.657,0.7145,54835581.5,37844204.70881,127741,29495480.6,20355328.38715
2024-12-09T16:00:00+00:00Z,2024-12-09T16:59:59.999000+00:00Z,0.7145,0.866,0.7002,0.7934,137641489.5,107550710.11798,289885,74301341.4,58165787.85475
2024-12-09T17:00:00+00:00Z,2024-12-09T17:59:59.999000+00:00Z,0.7934,0.808,0.7205,0.7556,46192204.5,35215102.80157,111871,22026320.4,16806564.35549
2024-12-09T18:00:00+00:00Z,2024-12-09T18:59:59.999000+00:00Z,0.7552,0.8037,0.7395,0.7888,41535743.0,32439280.5839,100484,20835581.2,16289808.38129
2024-12-09T19:00:00+00:00Z,2024-12-09T19:59:59.999000+00:00Z,0.7889,0.8468,0.7624,0.8327,48990818.3,39990503.61296,129947,25739669.3,21024226.96403
2024-12-09T20:00:00+00:00Z,2024-12-09T20:59:59.999000+00:00Z,0.8327,0.8411,0.7161,0.7581,59700132.1,46420566.2656,132116,27562151.6,21374278.12369
2024-12-09T21:00:00+00:00Z,2024-12-09T21:59:59.999000+00:00Z,0.7582,0.7697,0.666,0.7399,41669605.0,30286997.26899,98341,19688044.7,14374239.58663
