# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,MTLUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f5f60d1bb15d5cae
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,0.3014,0.31,0.3014,0.308,31573.58,9632.502721,84,13590.42,4144.589462
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.3097,0.3103,0.3068,0.3095,5459.09,1683.850194,39,1875.73,580.666237
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.3095,0.3114,0.3084,0.3114,14939.06,4621.509348,80,7825.79,2416.621143
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.3107,0.3111,0.309,0.3094,8237.71,2554.469091,20,3592.4,1116.302524
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.3104,0.3108,0.3083,0.31,229.07,70.903286,7,75.74,23.497386
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.31,0.312,0.3093,0.3114,49097.82,15274.641091,23,16854.52,5243.763487
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.3123,0.3128,0.3113,0.3128,396.34,123.585339,6,197.16,61.580605
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.312,0.3175,0.312,0.3174,39517.09,12475.367962,64,27132.16,8586.968119
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.3159,0.3171,0.3148,0.3151,11184.38,3529.561567,18,5305.91,1674.89001
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.3171,0.3177,0.3164,0.3166,21037.79,6677.816903,33,15899.25,5047.74393
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.3165,0.3185,0.3159,0.3165,4682.18,1485.216029,16,909.43,289.635295
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.3168,0.3181,0.3168,0.318,64.99,20.635359,6,64.99,20.635359
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.3167,0.3184,0.3166,0.3184,600.85,190.570258,9,379.67,120.538419
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.3179,0.3185,0.3166,0.3185,1267.09,402.880245,15,1106.68,352.084545
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.3185,0.319,0.3163,0.3186,3130.92,995.723004,22,1781.24,567.634148
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.3186,0.3188,0.3182,0.3183,445.31,141.778373,6,282.64,90.004248
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.3173,0.32,0.3168,0.32,10738.25,3424.310452,58,10068.69,3211.279268
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.32,0.3226,0.3194,0.3225,29661.04,9545.512095,47,18968.97,6110.880945
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.3227,0.3241,0.3216,0.3237,5438.84,1756.866143,27,4638.47,1499.009191
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.3227,0.3247,0.3207,0.3222,22744.54,7322.410178,49,7981.7,2583.885208
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.3218,0.326,0.321,0.3239,4614.18,1492.355008,24,2582.54,836.961956
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.3238,0.328,0.3238,0.3273,16114.41,5256.21897,44,9687.92,3163.55644
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.328,0.33,0.3261,0.3273,34630.46,11353.864882,104,25629.17,8397.004254
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.3273,0.3367,0.3273,0.3353,22643.12,7506.36643,135,15661.25,5192.162073
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.3367,0.3462,0.3335,0.339,99320.9,33941.200895,294,55440.04,18944.630564
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.3396,0.3396,0.3357,0.3374,16362.63,5518.63562,40,1076.49,363.577595
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.3412,0.3441,0.3385,0.3415,164518.97,55801.718771,215,31823.35,10813.337453
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.3431,0.3438,0.3416,0.3416,6426.75,2203.367463,27,2109.3,724.089653
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.3433,0.3433,0.3406,0.3422,941.86,321.06107,11,435.33,148.444046
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.3402,0.3415,0.3387,0.3392,16750.21,5683.516185,40,5859.2,1993.403741
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.3399,0.3407,0.3393,0.3393,6460.62,2197.23463,15,458.79,156.018977
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.3391,0.3392,0.3372,0.3383,6746.86,2277.20894,20,691.74,234.401485
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.3384,0.3395,0.3382,0.3394,606.85,205.380604,7,70.83,24.007343
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.3401,0.3406,0.3392,0.3404,14975.02,5080.493806,11,106.96,36.392406
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.3408,0.3453,0.3399,0.3425,47321.81,16184.732032,108,32890.18,11265.425865
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.3416,0.3445,0.3405,0.3407,53947.81,18387.340724,43,6701.16,2288.356294
