# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,MUBARAKUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-03-27T21:00:00+00:00Z
# t0_final_iso,2025-03-27T21:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1acc5dbfea5a485a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-27T21:00:00+00:00Z,2025-03-27T21:59:59.999000+00:00Z,0.107,0.2,0.107,0.1297,41883167.8,5500972.35964,19518,20659249.8,2753273.17612
2025-03-27T22:00:00+00:00Z,2025-03-27T22:59:59.999000+00:00Z,0.1298,0.13,0.0968,0.1077,48550866.6,5547236.49283,17261,23232945.7,2643380.27028
2025-03-27T23:00:00+00:00Z,2025-03-27T23:59:59.999000+00:00Z,0.1074,0.1096,0.0998,0.1062,45114626.5,4748544.29401,13855,21569737.0,2273329.39655
2025-03-28T00:00:00+00:00Z,2025-03-28T00:59:59.999000+00:00Z,0.1065,0.1065,0.0902,0.0944,63364651.8,6186106.33318,15857,27870322.9,2709626.50483
2025-03-28T01:00:00+00:00Z,2025-03-28T01:59:59.999000+00:00Z,0.0944,0.1008,0.0943,0.1001,37682166.2,3687401.28499,10768,21034606.0,2057475.12819
2025-03-28T02:00:00+00:00Z,2025-03-28T02:59:59.999000+00:00Z,0.1,0.1032,0.0972,0.0981,21011236.3,2116658.14785,5764,10633690.0,1073796.08253
2025-03-28T03:00:00+00:00Z,2025-03-28T03:59:59.999000+00:00Z,0.0981,0.0991,0.0934,0.098,19420636.6,1881154.13557,4864,10417340.3,1011046.87767
2025-03-28T04:00:00+00:00Z,2025-03-28T04:59:59.999000+00:00Z,0.098,0.099,0.095,0.0972,15586296.1,1514221.6849,4606,7744135.8,754148.87407
2025-03-28T05:00:00+00:00Z,2025-03-28T05:59:59.999000+00:00Z,0.0972,0.0991,0.0914,0.0929,21601556.5,2069911.62632,7071,10357886.2,993191.36243
2025-03-28T06:00:00+00:00Z,2025-03-28T06:59:59.999000+00:00Z,0.0929,0.0955,0.0907,0.0944,24555226.1,2277215.26465,8864,12405245.8,1152905.56396
2025-03-28T07:00:00+00:00Z,2025-03-28T07:59:59.999000+00:00Z,0.0945,0.0962,0.0938,0.0954,11061678.8,1049762.48468,5399,4965777.4,471669.77396
2025-03-28T08:00:00+00:00Z,2025-03-28T08:59:59.999000+00:00Z,0.0953,0.0973,0.0918,0.0924,16748802.4,1578925.53533,6398,7424217.4,699997.33976
2025-03-28T09:00:00+00:00Z,2025-03-28T09:59:59.999000+00:00Z,0.0924,0.0925,0.0818,0.0844,57541264.6,4937017.94415,16213,21402610.2,1839936.64449
2025-03-28T10:00:00+00:00Z,2025-03-28T10:59:59.999000+00:00Z,0.0846,0.0864,0.0832,0.0859,24106793.5,2053659.23151,8055,10186153.4,867714.30106
