# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,NKNUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,36948ff1fa18ac02
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,0.01865,0.01907,0.01855,0.01907,60532.1,1139.043878,30,35187.6,665.194212
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.01911,0.01911,0.0188,0.01888,74975.6,1422.371248,30,20437.0,389.6721
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.01888,0.01905,0.01888,0.01905,97687.8,1847.470566,16,26330.6,500.24663
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.01898,0.01913,0.01883,0.01897,344255.7,6546.103052,49,137721.2,2626.190976
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.01886,0.01893,0.0188,0.0188,63241.2,1190.422329,41,16657.7,313.974395
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.01888,0.01888,0.0187,0.01873,96196.8,1808.437061,30,39991.5,753.28663
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.01869,0.01883,0.01865,0.01881,224553.5,4208.871993,31,3752.6,70.639278
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.01882,0.01934,0.01827,0.01881,6381743.9,120155.408929,906,3690943.0,69748.378847
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.01873,0.01873,0.01826,0.01848,1355906.9,25037.345275,202,419417.0,7754.511293
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.01842,0.01852,0.01836,0.01844,212811.0,3926.377006,53,172026.9,3176.127201
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.01834,0.01834,0.01818,0.01826,77977.8,1423.496489,23,11226.0,205.285796
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.01826,0.01831,0.01821,0.01822,98767.1,1805.964488,25,96907.6,1772.053093
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.0183,0.01847,0.01829,0.01847,77795.3,1427.539352,19,74498.0,1367.175551
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.01846,0.01846,0.01829,0.01833,136428.2,2509.021341,28,86461.2,1588.236924
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.01832,0.01853,0.01832,0.01841,297444.3,5491.480083,32,215662.7,3986.778498
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.01846,0.01855,0.01841,0.01841,33453.9,618.429601,11,22046.0,408.357539
