# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,NOMUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-10-01T08:00:00+00:00Z
# t0_final_iso,2025-10-01T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5ffa2f98c55f0612
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-10-01T08:00:00+00:00Z,2025-10-01T08:59:59.999000+00:00Z,0.05174,0.05174,0.03786,0.04328,228215536.0,9475851.05682,64724,109616011.0,4575291.77304
2025-10-01T09:00:00+00:00Z,2025-10-01T09:59:59.999000+00:00Z,0.04333,0.04853,0.03958,0.04037,175593762.0,7562590.62238,57315,89310636.0,3875511.93636
2025-10-01T10:00:00+00:00Z,2025-10-01T10:59:59.999000+00:00Z,0.04038,0.04363,0.03994,0.04103,71268837.0,2983490.68636,25155,39947926.0,1673003.57163
2025-10-01T11:00:00+00:00Z,2025-10-01T11:59:59.999000+00:00Z,0.04103,0.04521,0.04092,0.04208,60080879.0,2567579.78893,24818,34314973.0,1470156.11056
2025-10-01T12:00:00+00:00Z,2025-10-01T12:59:59.999000+00:00Z,0.04205,0.04232,0.0396,0.04086,44475398.0,1822499.22045,16731,19202556.0,789368.74866
2025-10-01T13:00:00+00:00Z,2025-10-01T13:59:59.999000+00:00Z,0.04087,0.04263,0.03767,0.04164,89034379.0,3589478.38253,30974,44901954.0,1821558.53265
2025-10-01T14:00:00+00:00Z,2025-10-01T14:59:59.999000+00:00Z,0.04171,0.0445,0.04129,0.04388,47610565.0,2046959.13042,20652,28487177.0,1224662.75335
2025-10-01T15:00:00+00:00Z,2025-10-01T15:59:59.999000+00:00Z,0.04384,0.04583,0.04286,0.044,57449682.0,2544117.36434,22620,31621399.0,1402556.83545
2025-10-01T16:00:00+00:00Z,2025-10-01T16:59:59.999000+00:00Z,0.04405,0.04485,0.04169,0.04207,26224594.0,1131155.77759,13558,13141373.0,566276.23429
2025-10-01T17:00:00+00:00Z,2025-10-01T17:59:59.999000+00:00Z,0.04206,0.04219,0.0405,0.04114,35104698.0,1447915.48644,21005,16147788.0,666504.85651
2025-10-01T18:00:00+00:00Z,2025-10-01T18:59:59.999000+00:00Z,0.04111,0.04249,0.04071,0.04118,17275576.0,714984.29821,7161,8359602.0,345840.53098
2025-10-01T19:00:00+00:00Z,2025-10-01T19:59:59.999000+00:00Z,0.04115,0.0421,0.04111,0.04129,18362278.0,760063.4035,6642,8867261.0,367184.93402
2025-10-01T20:00:00+00:00Z,2025-10-01T20:59:59.999000+00:00Z,0.04127,0.04248,0.04111,0.04149,13449174.0,559650.77459,5005,6680918.0,278258.02314
2025-10-01T21:00:00+00:00Z,2025-10-01T21:59:59.999000+00:00Z,0.04144,0.04245,0.04111,0.04138,13648200.0,568975.10821,5611,7005926.0,292149.08642
2025-10-01T22:00:00+00:00Z,2025-10-01T22:59:59.999000+00:00Z,0.0414,0.04206,0.03986,0.04014,12417775.0,511036.49993,7019,4887299.0,201679.17318
2025-10-01T23:00:00+00:00Z,2025-10-01T23:59:59.999000+00:00Z,0.04012,0.04083,0.03939,0.03999,11051226.0,443120.25772,7580,5116857.0,205275.89641
2025-10-02T00:00:00+00:00Z,2025-10-02T00:59:59.999000+00:00Z,0.04,0.04042,0.039,0.0391,13561447.0,534171.00109,5404,6438663.0,254216.3902
2025-10-02T01:00:00+00:00Z,2025-10-02T01:59:59.999000+00:00Z,0.03909,0.04047,0.0386,0.04003,13265664.0,525658.71701,6126,7087178.0,281205.72514
2025-10-02T02:00:00+00:00Z,2025-10-02T02:59:59.999000+00:00Z,0.04003,0.04171,0.03958,0.04043,10517175.0,427706.14019,5738,5751101.0,233832.81054
2025-10-02T03:00:00+00:00Z,2025-10-02T03:59:59.999000+00:00Z,0.04044,0.04129,0.03982,0.04071,9628350.0,389340.24388,5334,4735489.0,191631.56793
