# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,NXPCUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-05-15T07:00:00+00:00Z
# t0_final_iso,2025-05-15T07:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7262d41f7084ba52
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-05-15T07:00:00+00:00Z,2025-05-15T07:59:59.999000+00:00Z,0.1,3.39,0.1,2.9878,32513806.1,100428318.18908,203587,16496778.0,51203407.56814
2025-05-15T08:00:00+00:00Z,2025-05-15T08:59:59.999000+00:00Z,2.9853,3.7134,2.9,3.6959,19683776.9,63985936.22138,171695,10056142.8,32913882.42089
2025-05-15T09:00:00+00:00Z,2025-05-15T09:59:59.999000+00:00Z,3.6963,3.8674,3.1408,3.1955,21619184.3,74883279.54767,194204,10235093.9,35412158.27222
2025-05-15T10:00:00+00:00Z,2025-05-15T10:59:59.999000+00:00Z,3.1967,3.3188,3.04,3.125,9732801.9,30801362.95597,103838,5038919.9,15943655.80104
2025-05-15T11:00:00+00:00Z,2025-05-15T11:59:59.999000+00:00Z,3.125,3.2071,3.0552,3.0795,6629268.3,20670483.45433,80168,3670014.8,11447149.44603
2025-05-15T12:00:00+00:00Z,2025-05-15T12:59:59.999000+00:00Z,3.0784,3.08,2.5918,2.6016,14525897.1,40368006.99901,115085,7104282.5,19694180.65932
2025-05-15T13:00:00+00:00Z,2025-05-15T13:59:59.999000+00:00Z,2.6016,2.6977,2.505,2.5764,8575770.5,22292484.04733,69820,4516319.0,11732186.39222
2025-05-15T14:00:00+00:00Z,2025-05-15T14:59:59.999000+00:00Z,2.5771,2.7777,2.5698,2.6159,7856186.7,21037338.30793,68938,3941378.4,10553820.73055
2025-05-15T15:00:00+00:00Z,2025-05-15T15:59:59.999000+00:00Z,2.6169,2.7332,2.4432,2.4625,6294563.8,16358346.13384,55983,3227521.0,8397128.71472
2025-05-15T16:00:00+00:00Z,2025-05-15T16:59:59.999000+00:00Z,2.4632,2.6702,2.4626,2.5865,4961232.7,12708878.61106,48025,2769841.0,7090606.89656
2025-05-15T17:00:00+00:00Z,2025-05-15T17:59:59.999000+00:00Z,2.5854,2.8135,2.5773,2.6981,8247764.6,22526142.8801,166628,4234354.9,11547779.43568
2025-05-15T18:00:00+00:00Z,2025-05-15T18:59:59.999000+00:00Z,2.6983,2.7684,2.6148,2.6302,3188415.9,8524619.15852,40190,1513746.0,4049476.7435
2025-05-15T19:00:00+00:00Z,2025-05-15T19:59:59.999000+00:00Z,2.6308,2.6822,2.5423,2.6206,3623855.3,9483910.70648,36675,1802960.0,4720501.65528
2025-05-15T20:00:00+00:00Z,2025-05-15T20:59:59.999000+00:00Z,2.6202,2.6681,2.5431,2.6346,2597794.2,6810992.71711,33693,1286269.3,3372608.70917
2025-05-15T21:00:00+00:00Z,2025-05-15T21:59:59.999000+00:00Z,2.6342,2.6574,2.5521,2.6433,1587770.2,4148571.84268,23954,756805.5,1978561.93056
2025-05-15T22:00:00+00:00Z,2025-05-15T22:59:59.999000+00:00Z,2.6444,2.76,2.5945,2.6319,2311271.0,6165281.65531,35313,1153446.4,3078448.25454
2025-05-15T23:00:00+00:00Z,2025-05-15T23:59:59.999000+00:00Z,2.6309,2.66,2.5314,2.625,1914777.0,4993510.89003,32952,923377.6,2410430.04534
2025-05-16T00:00:00+00:00Z,2025-05-16T00:59:59.999000+00:00Z,2.625,2.7032,2.55,2.6807,2985645.5,7810106.56983,37269,1472615.1,3855584.24265
2025-05-16T01:00:00+00:00Z,2025-05-16T01:59:59.999000+00:00Z,2.6807,2.7967,2.6181,2.671,3319178.4,8970700.05778,40254,1743799.2,4715669.63097
2025-05-16T02:00:00+00:00Z,2025-05-16T02:59:59.999000+00:00Z,2.67,2.9691,2.6582,2.9293,7061746.7,20129780.24748,69371,3368551.4,9601318.1357
2025-05-16T03:00:00+00:00Z,2025-05-16T03:59:59.999000+00:00Z,2.9289,2.9301,2.8102,2.8413,3110543.6,8902877.57581,30895,1482068.3,4243618.66381
2025-05-16T04:00:00+00:00Z,2025-05-16T04:59:59.999000+00:00Z,2.8416,2.8899,2.6284,2.6936,5067584.3,13913499.53504,43457,2472121.7,6788938.67593
2025-05-16T05:00:00+00:00Z,2025-05-16T05:59:59.999000+00:00Z,2.6947,2.7415,2.6226,2.6678,3233744.5,8622001.19876,34724,1680161.2,4479907.69533
2025-05-16T06:00:00+00:00Z,2025-05-16T06:59:59.999000+00:00Z,2.6684,2.7216,2.6466,2.6555,2039173.3,5452787.52219,25647,1079597.7,2888182.79405
2025-05-16T07:00:00+00:00Z,2025-05-16T07:59:59.999000+00:00Z,2.6538,2.6795,2.5605,2.6322,3635850.6,9505971.20085,41099,1996505.9,5219014.33848
2025-05-16T08:00:00+00:00Z,2025-05-16T08:59:59.999000+00:00Z,2.6322,2.6483,2.537,2.602,2638742.4,6848379.45833,24768,1495254.8,3881098.16347
2025-05-16T09:00:00+00:00Z,2025-05-16T09:59:59.999000+00:00Z,2.602,2.6746,2.5992,2.6374,1972855.9,5210817.53712,22692,1052888.6,2780348.25557
2025-05-16T10:00:00+00:00Z,2025-05-16T10:59:59.999000+00:00Z,2.638,2.6688,2.6079,2.6296,1568405.6,4135503.26872,19018,805753.5,2124853.40122
2025-05-16T11:00:00+00:00Z,2025-05-16T11:59:59.999000+00:00Z,2.6308,2.6936,2.6181,2.6326,1637225.9,4345649.48704,22290,759076.3,2015265.05607
2025-05-16T12:00:00+00:00Z,2025-05-16T12:59:59.999000+00:00Z,2.6331,2.6677,2.6109,2.6311,1364138.1,3601572.57897,17900,672512.8,1775695.15402
2025-05-16T13:00:00+00:00Z,2025-05-16T13:59:59.999000+00:00Z,2.6317,2.73,2.5982,2.6828,2720766.1,7299397.25467,40979,1368308.0,3670427.37595
2025-05-16T14:00:00+00:00Z,2025-05-16T14:59:59.999000+00:00Z,2.6824,2.71,2.641,2.6874,1530719.1,4093538.53458,31025,786771.9,2104728.31347
2025-05-16T15:00:00+00:00Z,2025-05-16T15:59:59.999000+00:00Z,2.6873,2.757,2.6778,2.7224,2474232.8,6713476.02632,30375,1332283.8,3614990.36219
2025-05-16T16:00:00+00:00Z,2025-05-16T16:59:59.999000+00:00Z,2.7226,2.7324,2.645,2.6733,1543765.9,4144929.49261,25965,759851.9,2041379.31251
2025-05-16T17:00:00+00:00Z,2025-05-16T17:59:59.999000+00:00Z,2.6728,2.6777,2.605,2.6314,1262261.6,3329126.65076,15147,719680.9,1898184.98592
2025-05-16T18:00:00+00:00Z,2025-05-16T18:59:59.999000+00:00Z,2.6317,2.6522,2.5462,2.5786,1888230.3,4902955.66849,17129,1020713.4,2650613.2279
2025-05-16T19:00:00+00:00Z,2025-05-16T19:59:59.999000+00:00Z,2.5785,2.6178,2.5201,2.604,1269896.8,3266747.73573,13974,663959.5,1709587.49424
2025-05-16T20:00:00+00:00Z,2025-05-16T20:59:59.999000+00:00Z,2.6026,2.6026,2.4755,2.5057,2194196.6,5508652.30243,19309,1115511.8,2800111.57861
2025-05-16T21:00:00+00:00Z,2025-05-16T21:59:59.999000+00:00Z,2.505,2.5725,2.4995,2.5491,881535.6,2234084.42467,9909,549917.1,1393018.63725
2025-05-16T22:00:00+00:00Z,2025-05-16T22:59:59.999000+00:00Z,2.549,2.561,2.5166,2.5444,1384486.1,3503566.53714,15009,762364.0,1929186.1235
2025-05-16T23:00:00+00:00Z,2025-05-16T23:59:59.999000+00:00Z,2.544,2.594,2.5403,2.5579,878255.0,2251705.74291,14513,492753.1,1263767.79476
2025-05-17T00:00:00+00:00Z,2025-05-17T00:59:59.999000+00:00Z,2.5579,2.6252,2.4557,2.4821,2009696.5,5064379.27737,38531,1041021.4,2623954.06561
2025-05-17T01:00:00+00:00Z,2025-05-17T01:59:59.999000+00:00Z,2.4821,2.4929,2.3178,2.3357,3777802.3,9003350.93609,40629,2046125.7,4877738.74356
2025-05-17T02:00:00+00:00Z,2025-05-17T02:59:59.999000+00:00Z,2.3361,2.3735,2.2976,2.3571,1870294.1,4366557.03536,20378,1074713.7,2508625.87116
2025-05-17T03:00:00+00:00Z,2025-05-17T03:59:59.999000+00:00Z,2.3566,2.3782,2.3437,2.3716,872946.9,2061309.73556,13078,449641.3,1061731.61305
2025-05-17T04:00:00+00:00Z,2025-05-17T04:59:59.999000+00:00Z,2.3714,2.3984,2.3456,2.3596,1089212.7,2574189.65254,14058,670872.0,1585540.90125
2025-05-17T05:00:00+00:00Z,2025-05-17T05:59:59.999000+00:00Z,2.3597,2.3674,2.3057,2.3206,1260522.5,2942034.88019,14406,710192.7,1657902.50563
2025-05-17T06:00:00+00:00Z,2025-05-17T06:59:59.999000+00:00Z,2.3208,2.3398,2.2941,2.3135,1063817.5,2463691.41473,15571,553803.7,1282767.86704
2025-05-17T07:00:00+00:00Z,2025-05-17T07:59:59.999000+00:00Z,2.313,2.3161,2.1833,2.2277,3037211.3,6806768.78285,26483,1666202.2,3732512.48696
2025-05-17T08:00:00+00:00Z,2025-05-17T08:59:59.999000+00:00Z,2.228,2.2348,2.1629,2.178,2294925.0,5025690.05819,22154,1166259.8,2554835.68794
2025-05-17T09:00:00+00:00Z,2025-05-17T09:59:59.999000+00:00Z,2.1782,2.2285,2.144,2.2019,2278564.1,4993886.41163,20409,1150652.0,2523865.98153
2025-05-17T10:00:00+00:00Z,2025-05-17T10:59:59.999000+00:00Z,2.2015,2.2528,2.193,2.2402,1164802.7,2591193.4175,13577,606953.7,1350284.16428
2025-05-17T11:00:00+00:00Z,2025-05-17T11:59:59.999000+00:00Z,2.2404,2.2626,2.1986,2.2208,1422377.3,3166528.23934,14037,678714.3,1511285.46115
2025-05-17T12:00:00+00:00Z,2025-05-17T12:59:59.999000+00:00Z,2.2208,2.2358,2.203,2.2108,1085525.6,2407144.93612,13718,577354.7,1280330.18255
2025-05-17T13:00:00+00:00Z,2025-05-17T13:59:59.999000+00:00Z,2.2121,2.2468,2.2008,2.2158,1103945.6,2454098.2763,12972,578055.3,1284666.7983
2025-05-17T14:00:00+00:00Z,2025-05-17T14:59:59.999000+00:00Z,2.2155,2.3716,2.2075,2.3064,2173729.5,4975163.57288,24310,1164339.4,2663515.97708
2025-05-17T15:00:00+00:00Z,2025-05-17T15:59:59.999000+00:00Z,2.3064,2.3164,2.218,2.2268,1215511.4,2739469.71435,13515,601194.6,1355540.16514
2025-05-17T16:00:00+00:00Z,2025-05-17T16:59:59.999000+00:00Z,2.2267,2.2316,2.1291,2.1878,2073410.0,4509009.79182,21660,1080711.2,2350763.0301
2025-05-17T17:00:00+00:00Z,2025-05-17T17:59:59.999000+00:00Z,2.1881,2.22,2.1785,2.2064,1022480.1,2253945.15341,12907,545663.5,1202980.65689
2025-05-17T18:00:00+00:00Z,2025-05-17T18:59:59.999000+00:00Z,2.2061,2.2193,2.1861,2.1956,637811.0,1405486.88646,9326,268900.6,592449.24434
2025-05-17T19:00:00+00:00Z,2025-05-17T19:59:59.999000+00:00Z,2.1954,2.2111,2.1595,2.1728,928538.6,2027967.30818,9439,472089.8,1031183.39876
2025-05-17T20:00:00+00:00Z,2025-05-17T20:59:59.999000+00:00Z,2.1731,2.206,2.1544,2.1939,1190937.7,2591470.06348,10264,725250.7,1577842.6907
2025-05-17T21:00:00+00:00Z,2025-05-17T21:59:59.999000+00:00Z,2.1939,2.2534,2.19,2.2331,656978.4,1460138.47952,10343,386521.2,859252.13241
2025-05-17T22:00:00+00:00Z,2025-05-17T22:59:59.999000+00:00Z,2.2336,2.243,2.2066,2.2155,707200.7,1572050.59275,8076,322326.2,716590.29108
2025-05-17T23:00:00+00:00Z,2025-05-17T23:59:59.999000+00:00Z,2.2155,2.288,2.211,2.2749,857777.8,1928836.57054,11314,489416.3,1100842.24916
2025-05-18T00:00:00+00:00Z,2025-05-18T00:59:59.999000+00:00Z,2.2743,2.2743,2.18,2.2229,847036.3,1875907.13668,13386,416623.7,922629.57063
2025-05-18T01:00:00+00:00Z,2025-05-18T01:59:59.999000+00:00Z,2.2224,2.2835,2.2151,2.2617,1090590.9,2465233.67554,16355,616647.4,1393914.21541
2025-05-18T02:00:00+00:00Z,2025-05-18T02:59:59.999000+00:00Z,2.2618,2.3375,2.2437,2.2492,1105281.0,2519494.86451,16139,607923.1,1387840.00212
2025-05-18T03:00:00+00:00Z,2025-05-18T03:59:59.999000+00:00Z,2.2491,2.2623,2.216,2.2228,665346.5,1488177.95483,12012,326681.5,730697.59471
2025-05-18T04:00:00+00:00Z,2025-05-18T04:59:59.999000+00:00Z,2.2228,2.322,2.2183,2.3147,956630.9,2176597.07312,14149,544800.7,1240972.56508
2025-05-18T05:00:00+00:00Z,2025-05-18T05:59:59.999000+00:00Z,2.3144,2.3833,2.284,2.339,1579832.2,3676149.24809,24833,855351.8,1991543.57859
2025-05-18T06:00:00+00:00Z,2025-05-18T06:59:59.999000+00:00Z,2.3387,2.354,2.2601,2.2735,1249512.4,2873498.95967,17375,612216.1,1407363.18865
