# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ONDOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-04-11T14:00:00+00:00Z
# t0_final_iso,2025-04-11T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,082a392a67d8cbe9
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-04-11T14:00:00+00:00Z,2025-04-11T14:59:59.999000+00:00Z,0.7056,0.925,0.7056,0.8798,6126981.2,5455791.13953,21574,3113909.9,2776730.54401
2025-04-11T15:00:00+00:00Z,2025-04-11T15:59:59.999000+00:00Z,0.8799,0.8996,0.8799,0.8938,2866622.9,2550308.64059,13025,1590643.4,1414893.00126
2025-04-11T16:00:00+00:00Z,2025-04-11T16:59:59.999000+00:00Z,0.894,0.9112,0.8774,0.9082,2355345.0,2111644.99183,11845,1183975.0,1062930.4228
2025-04-11T17:00:00+00:00Z,2025-04-11T17:59:59.999000+00:00Z,0.9082,0.921,0.9025,0.9077,2677622.2,2439609.12708,12058,1423256.1,1296745.37702
2025-04-11T18:00:00+00:00Z,2025-04-11T18:59:59.999000+00:00Z,0.9079,0.9173,0.9032,0.9082,1675801.1,1526021.75673,7973,834082.1,759831.212
2025-04-11T19:00:00+00:00Z,2025-04-11T19:59:59.999000+00:00Z,0.9083,0.9102,0.9021,0.9033,704091.7,638551.96794,5943,265465.1,240798.01264
2025-04-11T20:00:00+00:00Z,2025-04-11T20:59:59.999000+00:00Z,0.9037,0.9146,0.8949,0.913,942673.9,853490.24488,4907,532837.3,482938.69404
2025-04-11T21:00:00+00:00Z,2025-04-11T21:59:59.999000+00:00Z,0.9127,0.9287,0.9058,0.9094,1498693.5,1373648.53498,5043,879462.9,806937.69618
2025-04-11T22:00:00+00:00Z,2025-04-11T22:59:59.999000+00:00Z,0.9092,0.9112,0.8936,0.8957,545914.7,492841.8049,2909,242839.0,219404.93039
2025-04-11T23:00:00+00:00Z,2025-04-11T23:59:59.999000+00:00Z,0.8957,0.898,0.8862,0.8938,586806.9,523136.27655,2528,363248.3,323955.70583
2025-04-12T00:00:00+00:00Z,2025-04-12T00:59:59.999000+00:00Z,0.8939,0.9018,0.8836,0.8934,826673.6,737632.85676,3116,409077.6,365155.91358
2025-04-12T01:00:00+00:00Z,2025-04-12T01:59:59.999000+00:00Z,0.8934,0.897,0.888,0.8923,418776.8,373308.51819,1709,200177.6,178534.79918
2025-04-12T02:00:00+00:00Z,2025-04-12T02:59:59.999000+00:00Z,0.8923,0.8962,0.8832,0.8835,727750.5,647125.27098,2165,237377.2,211223.60714
2025-04-12T03:00:00+00:00Z,2025-04-12T03:59:59.999000+00:00Z,0.8838,0.8864,0.8756,0.8759,549903.5,484088.64148,2625,260810.0,229670.56987
2025-04-12T04:00:00+00:00Z,2025-04-12T04:59:59.999000+00:00Z,0.8758,0.8781,0.8644,0.8755,621905.6,542620.75128,2276,225796.1,197127.12863
2025-04-12T05:00:00+00:00Z,2025-04-12T05:59:59.999000+00:00Z,0.8757,0.8797,0.8704,0.8742,614655.2,538026.55821,1887,297837.0,260655.14561
2025-04-12T06:00:00+00:00Z,2025-04-12T06:59:59.999000+00:00Z,0.8742,0.8857,0.8742,0.8783,947262.1,833564.33158,3825,544893.9,479582.71299
2025-04-12T07:00:00+00:00Z,2025-04-12T07:59:59.999000+00:00Z,0.8783,0.8878,0.8764,0.8846,907752.2,800554.82588,3293,473735.9,417689.32326
2025-04-12T08:00:00+00:00Z,2025-04-12T08:59:59.999000+00:00Z,0.8845,0.8945,0.8766,0.882,1261567.2,1117630.72389,4464,568097.7,503722.646
2025-04-12T09:00:00+00:00Z,2025-04-12T09:59:59.999000+00:00Z,0.8821,0.8848,0.8762,0.8778,502323.8,441829.4278,2360,158105.9,139066.03441
2025-04-12T10:00:00+00:00Z,2025-04-12T10:59:59.999000+00:00Z,0.8777,0.8796,0.8718,0.8765,426131.5,373141.65162,1646,194270.5,170140.94848
2025-04-12T11:00:00+00:00Z,2025-04-12T11:59:59.999000+00:00Z,0.877,0.8825,0.8738,0.8758,376232.0,330314.2159,2050,156557.2,137469.12245
2025-04-12T12:00:00+00:00Z,2025-04-12T12:59:59.999000+00:00Z,0.8759,0.8851,0.8736,0.8814,479447.6,422255.19562,2472,335560.5,295586.71707
2025-04-12T13:00:00+00:00Z,2025-04-12T13:59:59.999000+00:00Z,0.8814,0.9079,0.88,0.9002,1557817.8,1392042.07338,7820,839610.6,750908.65883
2025-04-12T14:00:00+00:00Z,2025-04-12T14:59:59.999000+00:00Z,0.8997,0.925,0.8952,0.9188,2469593.5,2256294.69669,12467,947788.1,864848.15607
2025-04-12T15:00:00+00:00Z,2025-04-12T15:59:59.999000+00:00Z,0.9188,0.9221,0.9098,0.913,1275552.7,1168054.81586,7193,489915.1,448388.84125
2025-04-12T16:00:00+00:00Z,2025-04-12T16:59:59.999000+00:00Z,0.913,0.9155,0.9001,0.9013,641344.7,582925.89234,4109,280949.0,255360.2249
2025-04-12T17:00:00+00:00Z,2025-04-12T17:59:59.999000+00:00Z,0.9015,0.9055,0.893,0.9046,459011.5,413091.48507,3108,280402.7,252480.67291
