# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ONEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,19ffe315909a1ee0
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,0.00503,0.00509,0.00497,0.00508,9596645.4,48317.179293,419,2674279.3,13528.757758
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.00507,0.00508,0.00501,0.00506,7831316.8,39467.513111,344,1921629.7,9706.647906
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.00508,0.00513,0.00505,0.0051,10120079.0,51558.831461,329,4874797.1,24850.7649
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.00511,0.00514,0.00506,0.00511,4851198.2,24787.636431,256,1365252.6,6983.436414
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.0051,0.00513,0.00504,0.00511,4361756.0,22171.460296,192,798819.6,4064.484491
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.0051,0.00513,0.00509,0.0051,4002234.9,20425.297716,88,540314.0,2762.990266
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.0051,0.00514,0.00504,0.00513,4075849.9,20754.733979,159,2000600.7,10216.185624
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.00512,0.00513,0.0051,0.00511,3995815.5,20450.796883,184,758789.0,3885.420131
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.00511,0.00526,0.00511,0.00524,15650570.1,81271.336944,539,7638583.8,39582.22328
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.00523,0.00523,0.00517,0.00521,3332004.8,17349.454358,112,1313616.4,6831.651394
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.00521,0.00529,0.00512,0.00518,8329194.2,43437.184637,361,3125330.1,16292.335516
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.00517,0.0052,0.00514,0.00518,2948503.6,15272.815731,114,1548694.7,8036.461619
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.00518,0.0052,0.00514,0.00518,3761771.7,19441.412497,197,1239059.6,6418.761954
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.00519,0.0052,0.00515,0.00519,1470177.5,7616.479301,110,565774.8,2934.500555
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.00519,0.00521,0.00513,0.0052,3006422.6,15551.797457,162,1615749.5,8348.255182
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.0052,0.00521,0.00518,0.0052,812598.0,4219.52501,45,119236.1,619.90233
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.00519,0.00528,0.00515,0.00526,5211151.4,27189.683284,271,2673569.2,13955.375217
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.00526,0.00535,0.00523,0.00534,8243928.6,43826.816958,336,2806805.3,14938.677454
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.00533,0.00536,0.0053,0.00536,6659777.7,35520.449738,180,1817859.0,9695.182363
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.00536,0.00538,0.00532,0.00536,6502019.3,34831.173295,205,2544913.7,13655.990314
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.00537,0.00555,0.00536,0.00552,18074797.6,98806.513854,610,11531644.0,62957.321641
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.00554,0.0056,0.00543,0.00543,17506301.8,96807.939559,698,5924281.6,32872.263223
