# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ONGUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,0ac7bc6c1ff2610b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.1207,0.122,0.1204,0.1212,78877.53,9547.498185,69,54745.04,6621.389598
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.1208,0.1212,0.12,0.1202,17473.46,2108.827796,45,11835.06,1429.294672
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.1202,0.121,0.1199,0.121,23651.41,2847.134699,38,5717.04,688.831302
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.1202,0.1207,0.1195,0.1201,124113.57,14860.399597,86,23338.04,2798.829867
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.1193,0.1204,0.1191,0.1202,51014.4,6115.039763,65,36196.74,4348.171473
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.1205,0.1215,0.1203,0.121,31703.11,3832.6221,27,28630.7,3460.897452
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.121,0.1218,0.1206,0.1206,82213.73,9932.167755,55,48426.85,5851.359594
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.1209,0.1218,0.1201,0.1215,94197.38,11409.672647,55,55383.83,6704.254682
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.1218,0.1228,0.1197,0.1208,160143.68,19341.60422,112,54669.58,6604.952892
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.1205,0.1213,0.1198,0.1206,55198.87,6654.146989,76,52680.37,6352.040228
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.1206,0.1243,0.1201,0.1243,228569.13,27660.640337,191,133645.39,16161.547908
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.1238,0.1245,0.1226,0.1233,50216.33,6206.910598,89,18162.11,2249.636461
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.1231,0.1232,0.1224,0.1224,10883.59,1337.128553,33,2667.54,328.352436
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.1224,0.1246,0.1222,0.1234,63692.77,7851.625468,77,45572.54,5625.025428
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.1234,0.1273,0.123,0.1244,47691.71,5899.650627,63,37858.14,4686.86972
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.1249,0.1269,0.1244,0.1265,116215.27,14620.038651,135,34125.46,4291.426177
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.1265,0.1265,0.1239,0.1241,42454.99,5292.818814,85,14701.9,1836.274928
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.1241,0.1247,0.1235,0.1237,29686.58,3681.255441,59,4737.34,588.61886
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.1245,0.127,0.1237,0.1265,46274.09,5837.503703,77,36084.82,4557.368193
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.1264,0.1278,0.1249,0.1262,100490.53,12751.362164,107,20654.14,2618.226654
