# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PAXGUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,85b9afeb58a6fe83
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,1894.14,1905.16,1893.44,1900.13,3.838584,7305.87666652,58,1.416432,2696.07695166
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,1894.83,1900.19,1884.31,1897.06,7.664245,14494.88643515,88,0.47329,896.90020327
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,1898.3,1899.94,1898.0,1899.2,2.315539,4395.42578516,34,0.401992,763.51357916
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,1899.19,1908.0,1891.47,1900.31,6.561032,12461.2933051,83,1.675844,3190.18922523
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,1907.89,1907.9,1899.99,1904.0,2.503906,4762.87214103,15,2.381871,4531.0022249
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,1900.54,1900.54,1900.54,1900.54,0.429203,815.71746962,18,0.420348,798.88818792
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,1900.54,1906.0,1899.99,1906.0,2.073984,3946.36907263,30,1.754302,3337.33887754
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,1901.19,1905.93,1899.97,1905.42,0.813522,1546.79223754,24,0.46594,886.25202673
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,1905.41,1905.42,1905.41,1905.42,0.01982,37.7653523,2,0.01982,37.7653523
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,1905.42,1913.33,1904.49,1908.68,2.550964,4865.62691391,57,1.400239,2673.02729661
