# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PENDLEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-07-03T10:00:00+00:00Z
# t0_final_iso,2023-07-03T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8f3b95bc6e97cdb4
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-07-03T10:00:00+00:00Z,2023-07-03T10:59:59.999000+00:00Z,0.7796,1.29,0.7796,0.9982,12157396.2,13322954.70667,54541,6548563.8,7209861.1336
2023-07-03T11:00:00+00:00Z,2023-07-03T11:59:59.999000+00:00Z,0.9992,1.0532,0.982,1.0013,2707801.7,2750412.44623,13479,1454115.6,1477019.90791
2023-07-03T12:00:00+00:00Z,2023-07-03T12:59:59.999000+00:00Z,1.0007,1.0248,0.9296,0.9527,2438453.7,2386729.13779,11914,1133647.0,1108805.81376
2023-07-03T13:00:00+00:00Z,2023-07-03T13:59:59.999000+00:00Z,0.9527,0.99,0.9128,0.9585,3712791.1,3518756.61738,16082,1992787.8,1894609.0542
2023-07-03T14:00:00+00:00Z,2023-07-03T14:59:59.999000+00:00Z,0.9585,0.9747,0.9246,0.9291,1149435.2,1091069.9469,5916,624411.5,593936.41464
2023-07-03T15:00:00+00:00Z,2023-07-03T15:59:59.999000+00:00Z,0.9295,0.9357,0.8795,0.8936,1992461.2,1798846.8852,7265,760699.5,686841.42875
2023-07-03T16:00:00+00:00Z,2023-07-03T16:59:59.999000+00:00Z,0.8936,0.8944,0.8378,0.8451,1521265.8,1308085.49101,5975,511929.2,439783.54032
2023-07-03T17:00:00+00:00Z,2023-07-03T17:59:59.999000+00:00Z,0.845,0.8579,0.818,0.8545,1502541.4,1260462.35628,5613,777038.1,652112.12218
2023-07-03T18:00:00+00:00Z,2023-07-03T18:59:59.999000+00:00Z,0.8547,0.8913,0.8402,0.8499,1215916.3,1048660.53382,5473,623806.5,538237.56066
2023-07-03T19:00:00+00:00Z,2023-07-03T19:59:59.999000+00:00Z,0.8487,0.8669,0.833,0.8594,681883.5,577438.39213,3304,342172.1,289884.63583
2023-07-03T20:00:00+00:00Z,2023-07-03T20:59:59.999000+00:00Z,0.8594,0.8668,0.842,0.8549,424080.0,361546.8618,2121,234159.3,199681.95259
2023-07-03T21:00:00+00:00Z,2023-07-03T21:59:59.999000+00:00Z,0.8546,0.8739,0.84,0.8528,553256.8,473397.14899,2421,294492.9,252246.96153
2023-07-03T22:00:00+00:00Z,2023-07-03T22:59:59.999000+00:00Z,0.8528,0.8588,0.8419,0.8545,341043.9,289304.74127,1416,167869.5,142489.4331
2023-07-03T23:00:00+00:00Z,2023-07-03T23:59:59.999000+00:00Z,0.8552,0.8655,0.8409,0.854,292002.6,249074.90154,1568,140613.0,119950.10741
2023-07-04T00:00:00+00:00Z,2023-07-04T00:59:59.999000+00:00Z,0.8531,0.8615,0.8409,0.8613,241559.3,205450.12562,1214,126985.4,108096.01221
2023-07-04T01:00:00+00:00Z,2023-07-04T01:59:59.999000+00:00Z,0.8613,0.8942,0.851,0.8907,669477.8,585366.34154,2391,420244.7,368179.29617
2023-07-04T02:00:00+00:00Z,2023-07-04T02:59:59.999000+00:00Z,0.8924,0.92,0.8567,0.8917,989236.4,878988.12476,3990,527588.9,469617.05106
2023-07-04T03:00:00+00:00Z,2023-07-04T03:59:59.999000+00:00Z,0.8929,0.9005,0.8702,0.876,786063.7,694938.9103,2934,256233.6,226997.85853
2023-07-04T04:00:00+00:00Z,2023-07-04T04:59:59.999000+00:00Z,0.8751,0.879,0.85,0.852,918677.4,790111.38615,2490,355891.0,306775.92507
2023-07-04T05:00:00+00:00Z,2023-07-04T05:59:59.999000+00:00Z,0.851,0.8667,0.85,0.8557,326950.2,280000.94717,1597,172766.8,148014.15644
