# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PENGUUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-12-17T14:00:00+00:00Z
# t0_final_iso,2024-12-17T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,46cdfb21c369e777
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-17T14:00:00+00:00Z,2024-12-17T14:59:59.999000+00:00Z,0.003375,0.07,0.003375,0.043151,4639254526.0,235629970.790426,571565,2029299306.0,103831080.960445
2024-12-17T15:00:00+00:00Z,2024-12-17T15:59:59.999000+00:00Z,0.043151,0.043376,0.035332,0.036703,1698306296.0,65938356.073038,219812,802028641.0,31044906.031167
2024-12-17T16:00:00+00:00Z,2024-12-17T16:59:59.999000+00:00Z,0.036731,0.03965,0.03138,0.032593,1481298437.0,53087845.646769,158467,610654660.0,21949500.742506
2024-12-17T17:00:00+00:00Z,2024-12-17T17:59:59.999000+00:00Z,0.032594,0.033084,0.028648,0.031083,1442473696.0,44152757.927322,137736,677498551.0,20709050.70997
2024-12-17T18:00:00+00:00Z,2024-12-17T18:59:59.999000+00:00Z,0.03108,0.035338,0.029851,0.034446,1019570693.0,33396993.177849,150433,542276697.0,17771291.387458
2024-12-17T19:00:00+00:00Z,2024-12-17T19:59:59.999000+00:00Z,0.034412,0.035432,0.031345,0.03181,609532594.0,20152531.367439,114094,305889210.0,10119692.288267
2024-12-17T20:00:00+00:00Z,2024-12-17T20:59:59.999000+00:00Z,0.031806,0.031948,0.030412,0.031,447957798.0,13978453.816466,91762,220251262.0,6873268.193389
2024-12-17T21:00:00+00:00Z,2024-12-17T21:59:59.999000+00:00Z,0.031,0.03125,0.028364,0.029731,507639416.0,14967566.496743,104465,247638991.0,7302953.341027
2024-12-17T22:00:00+00:00Z,2024-12-17T22:59:59.999000+00:00Z,0.029731,0.030988,0.026656,0.027683,681318687.0,19501994.049594,115027,319657165.0,9164773.343906
2024-12-17T23:00:00+00:00Z,2024-12-17T23:59:59.999000+00:00Z,0.027679,0.028999,0.026953,0.02865,350385072.0,9752935.059943,67315,170977044.0,4762690.649776
2024-12-18T00:00:00+00:00Z,2024-12-18T00:59:59.999000+00:00Z,0.02865,0.0306,0.02689,0.027137,429906130.0,12336724.175453,69418,199384413.0,5727399.027513
2024-12-18T01:00:00+00:00Z,2024-12-18T01:59:59.999000+00:00Z,0.027133,0.027804,0.0262,0.02705,372494311.0,10147236.653036,54205,177127170.0,4826970.422803
2024-12-18T02:00:00+00:00Z,2024-12-18T02:59:59.999000+00:00Z,0.02705,0.0324,0.026625,0.031059,1164619581.0,35075340.1646,132328,605389103.0,18229581.213964
2024-12-18T03:00:00+00:00Z,2024-12-18T03:59:59.999000+00:00Z,0.031051,0.032589,0.030277,0.031025,634674587.0,19867719.731609,85366,300110860.0,9406744.932985
2024-12-18T04:00:00+00:00Z,2024-12-18T04:59:59.999000+00:00Z,0.031027,0.031938,0.029307,0.030471,492418185.0,15054294.614331,74642,226737121.0,6943654.630858
2024-12-18T05:00:00+00:00Z,2024-12-18T05:59:59.999000+00:00Z,0.030472,0.031294,0.029715,0.030156,362087383.0,11034212.299604,63161,177034486.0,5400775.17712
2024-12-18T06:00:00+00:00Z,2024-12-18T06:59:59.999000+00:00Z,0.030154,0.030349,0.028155,0.029047,382054346.0,11149829.283627,59709,175361524.0,5115103.789382
2024-12-18T07:00:00+00:00Z,2024-12-18T07:59:59.999000+00:00Z,0.029036,0.030888,0.028844,0.030495,429307541.0,12881518.106357,51301,225428105.0,6769123.408045
2024-12-18T08:00:00+00:00Z,2024-12-18T08:59:59.999000+00:00Z,0.0305,0.03389,0.03011,0.033025,882577516.0,28474647.402447,100426,453533859.0,14627318.785251
2024-12-18T09:00:00+00:00Z,2024-12-18T09:59:59.999000+00:00Z,0.033013,0.0344,0.032482,0.033309,558401141.0,18666017.462571,70614,289447423.0,9676911.976441
2024-12-18T10:00:00+00:00Z,2024-12-18T10:59:59.999000+00:00Z,0.033293,0.035,0.0326,0.033903,678416955.0,23104607.818093,89013,379981219.0,12951394.798119
2024-12-18T11:00:00+00:00Z,2024-12-18T11:59:59.999000+00:00Z,0.033911,0.038455,0.033606,0.033838,1120105809.0,40295808.950455,143360,531957884.0,19136274.780905
2024-12-18T12:00:00+00:00Z,2024-12-18T12:59:59.999000+00:00Z,0.033837,0.034841,0.033219,0.033532,454379178.0,15466245.973253,85140,215465009.0,7336831.418688
2024-12-18T13:00:00+00:00Z,2024-12-18T13:59:59.999000+00:00Z,0.033532,0.033659,0.031117,0.032441,602231838.0,19515448.104197,83000,285315081.0,9252181.460607
2024-12-18T14:00:00+00:00Z,2024-12-18T14:59:59.999000+00:00Z,0.032441,0.032988,0.031025,0.031982,395002324.0,12596645.222877,75950,201496556.0,6427997.048348
2024-12-18T15:00:00+00:00Z,2024-12-18T15:59:59.999000+00:00Z,0.031981,0.03485,0.031757,0.034559,499140873.0,16609784.500807,86030,269728690.0,8987026.146461
2024-12-18T16:00:00+00:00Z,2024-12-18T16:59:59.999000+00:00Z,0.034558,0.03564,0.033028,0.034532,515157985.0,17802582.545482,99201,263228458.0,9106831.393794
