# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PHAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-06-25T10:00:00+00:00Z
# t0_final_iso,2021-06-25T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d903b60863ec21be
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-06-25T10:00:00+00:00Z,2021-06-25T10:59:59.999000+00:00Z,0.6199,0.74,0.6199,0.7008,1784028.0,1241116.4984,5355,1099458.0,767188.1844
2021-06-25T11:00:00+00:00Z,2021-06-25T11:59:59.999000+00:00Z,0.6947,0.7007,0.6588,0.6648,279789.0,188605.9676,1045,131811.0,88962.3099
2021-06-25T12:00:00+00:00Z,2021-06-25T12:59:59.999000+00:00Z,0.6615,0.6648,0.641,0.6533,345557.0,225775.6637,960,168590.0,110278.3613
2021-06-25T13:00:00+00:00Z,2021-06-25T13:59:59.999000+00:00Z,0.6515,0.6553,0.6241,0.6275,254908.0,162175.3579,674,117405.0,74989.5028
2021-06-25T14:00:00+00:00Z,2021-06-25T14:59:59.999000+00:00Z,0.631,0.6671,0.6274,0.6425,281482.0,184314.4952,556,157463.0,103086.4772
2021-06-25T15:00:00+00:00Z,2021-06-25T15:59:59.999000+00:00Z,0.6458,0.662,0.6241,0.6605,124352.0,80062.157,463,64802.0,41824.4881
2021-06-25T16:00:00+00:00Z,2021-06-25T16:59:59.999000+00:00Z,0.6585,0.6627,0.6304,0.642,146466.0,95167.532,529,70613.0,45679.4626
2021-06-25T17:00:00+00:00Z,2021-06-25T17:59:59.999000+00:00Z,0.642,0.6778,0.642,0.6595,171731.0,114158.9415,689,75686.0,50364.7259
2021-06-25T18:00:00+00:00Z,2021-06-25T18:59:59.999000+00:00Z,0.6575,0.6682,0.6428,0.6517,94998.0,62013.8817,428,53921.0,35076.141
2021-06-25T19:00:00+00:00Z,2021-06-25T19:59:59.999000+00:00Z,0.6534,0.6537,0.639,0.6462,43837.0,28349.4418,201,19686.0,12724.3574
2021-06-25T20:00:00+00:00Z,2021-06-25T20:59:59.999000+00:00Z,0.6462,0.6622,0.6398,0.6435,40561.0,26269.165,295,18685.0,12144.0834
2021-06-25T21:00:00+00:00Z,2021-06-25T21:59:59.999000+00:00Z,0.6454,0.6454,0.63,0.6367,69271.0,44164.5824,197,21603.0,13739.4606
2021-06-25T22:00:00+00:00Z,2021-06-25T22:59:59.999000+00:00Z,0.6366,0.6439,0.6324,0.6355,61848.0,39384.4738,124,54497.0,34698.1846
2021-06-25T23:00:00+00:00Z,2021-06-25T23:59:59.999000+00:00Z,0.6336,0.653,0.6336,0.646,21541.0,13878.6603,118,15924.0,10257.8456
2021-06-26T00:00:00+00:00Z,2021-06-26T00:59:59.999000+00:00Z,0.6441,0.6661,0.6353,0.6646,50348.0,32844.9062,255,33787.0,22059.8571
2021-06-26T01:00:00+00:00Z,2021-06-26T01:59:59.999000+00:00Z,0.6626,0.6657,0.6405,0.652,37604.0,24553.0254,224,17315.0,11325.2337
