# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PIXELUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-02-19T10:00:00+00:00Z
# t0_final_iso,2024-02-19T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e38d9f91489dd1de
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-02-19T10:00:00+00:00Z,2024-02-19T10:59:59.999000+00:00Z,0.04,0.598,0.04,0.5098,391776738.4,199914072.36928,495911,202271953.6,103531199.51321
2024-02-19T11:00:00+00:00Z,2024-02-19T11:59:59.999000+00:00Z,0.5099,0.5297,0.4901,0.4901,76879740.5,39162993.17922,126413,34361593.9,17556846.86739
2024-02-19T12:00:00+00:00Z,2024-02-19T12:59:59.999000+00:00Z,0.4903,0.4984,0.465,0.4849,76764595.6,36933974.11568,113187,36067017.6,17372913.26234
2024-02-19T13:00:00+00:00Z,2024-02-19T13:59:59.999000+00:00Z,0.485,0.5297,0.4711,0.5263,80493457.0,40634050.80436,115425,46227398.0,23390657.82703
2024-02-19T14:00:00+00:00Z,2024-02-19T14:59:59.999000+00:00Z,0.5262,0.5266,0.493,0.516,48479916.3,24890287.5414,79638,24884841.1,12779559.87048
2024-02-19T15:00:00+00:00Z,2024-02-19T15:59:59.999000+00:00Z,0.5159,0.5755,0.5156,0.5721,129712011.7,71438345.7599,199957,79765117.1,43880795.13252
2024-02-19T16:00:00+00:00Z,2024-02-19T16:59:59.999000+00:00Z,0.5721,0.6947,0.5671,0.6122,284683676.2,178921913.68397,445635,153583191.9,96469783.09413
2024-02-19T17:00:00+00:00Z,2024-02-19T17:59:59.999000+00:00Z,0.6122,0.6339,0.5698,0.6306,119649777.5,72831388.63727,247994,59660976.1,36437688.1858
2024-02-19T18:00:00+00:00Z,2024-02-19T18:59:59.999000+00:00Z,0.6307,0.6594,0.611,0.6162,60092780.5,38217777.38429,128882,31266590.5,19921332.15639
2024-02-19T19:00:00+00:00Z,2024-02-19T19:59:59.999000+00:00Z,0.6163,0.6286,0.5811,0.5966,37499459.0,22769636.37828,71447,17477237.2,10627211.55411
2024-02-19T20:00:00+00:00Z,2024-02-19T20:59:59.999000+00:00Z,0.5966,0.62,0.589,0.6122,28205418.8,17057702.52784,49547,14932270.3,9033707.55553
2024-02-19T21:00:00+00:00Z,2024-02-19T21:59:59.999000+00:00Z,0.6122,0.6262,0.6002,0.616,20572277.0,12656064.40853,37431,11124917.4,6849157.81593
2024-02-19T22:00:00+00:00Z,2024-02-19T22:59:59.999000+00:00Z,0.616,0.6266,0.5555,0.5753,31661561.0,19007687.63672,51220,12780234.3,7718752.97095
2024-02-19T23:00:00+00:00Z,2024-02-19T23:59:59.999000+00:00Z,0.5751,0.5942,0.545,0.5475,40970362.0,23470857.13289,65829,18646721.1,10715092.60643
2024-02-20T00:00:00+00:00Z,2024-02-20T00:59:59.999000+00:00Z,0.5475,0.576,0.5322,0.55,40476997.3,22434575.27551,62946,20023696.5,11115317.36052
2024-02-20T01:00:00+00:00Z,2024-02-20T01:59:59.999000+00:00Z,0.55,0.595,0.55,0.5922,42099603.7,24187348.69392,72205,24016937.9,13815243.33693
2024-02-20T02:00:00+00:00Z,2024-02-20T02:59:59.999000+00:00Z,0.5922,0.6145,0.57,0.5922,39077479.6,23219393.78308,69670,20247005.5,12035903.40533
2024-02-20T03:00:00+00:00Z,2024-02-20T03:59:59.999000+00:00Z,0.5921,0.5998,0.5615,0.5782,23107773.0,13440079.30252,48892,11434153.8,6654078.62806
2024-02-20T04:00:00+00:00Z,2024-02-20T04:59:59.999000+00:00Z,0.5782,0.596,0.5636,0.595,21994314.8,12698689.30914,43762,12554031.6,7262340.24035
2024-02-20T05:00:00+00:00Z,2024-02-20T05:59:59.999000+00:00Z,0.595,0.6108,0.5859,0.6056,28580801.7,17112241.34927,54354,15366029.8,9208288.7181
2024-02-20T06:00:00+00:00Z,2024-02-20T06:59:59.999000+00:00Z,0.6055,0.614,0.5925,0.6111,21069570.2,12702876.3087,38303,11128198.9,6713948.30026
2024-02-20T07:00:00+00:00Z,2024-02-20T07:59:59.999000+00:00Z,0.6108,0.6178,0.5853,0.5929,26505238.6,15910060.0148,47361,12805666.2,7689086.35865
2024-02-20T08:00:00+00:00Z,2024-02-20T08:59:59.999000+00:00Z,0.593,0.5966,0.575,0.5885,19573435.6,11455482.51219,43222,8994733.4,5268606.22787
2024-02-20T09:00:00+00:00Z,2024-02-20T09:59:59.999000+00:00Z,0.5884,0.5925,0.5579,0.571,25906318.4,14853203.52364,51278,11110238.0,6382251.67897
2024-02-20T10:00:00+00:00Z,2024-02-20T10:59:59.999000+00:00Z,0.571,0.5819,0.5614,0.5808,19672274.6,11257244.61258,38656,10449273.8,5981326.97388
2024-02-20T11:00:00+00:00Z,2024-02-20T11:59:59.999000+00:00Z,0.5809,0.5844,0.5682,0.5737,19350148.0,11132978.04833,36044,8975170.2,5164533.10838
2024-02-20T12:00:00+00:00Z,2024-02-20T12:59:59.999000+00:00Z,0.5736,0.594,0.5567,0.5581,36609550.0,21106876.94501,76466,18052354.3,10437227.83534
2024-02-20T13:00:00+00:00Z,2024-02-20T13:59:59.999000+00:00Z,0.5581,0.565,0.5382,0.5499,48925003.6,27053623.94716,86207,23645216.2,13084013.5394
2024-02-20T14:00:00+00:00Z,2024-02-20T14:59:59.999000+00:00Z,0.55,0.5555,0.5022,0.519,48061856.2,25311009.37431,87700,21638894.2,11414574.19509
2024-02-20T15:00:00+00:00Z,2024-02-20T15:59:59.999000+00:00Z,0.519,0.5241,0.4816,0.5085,48894465.8,24684716.77577,79243,22051182.2,11158293.56835
2024-02-20T16:00:00+00:00Z,2024-02-20T16:59:59.999000+00:00Z,0.5085,0.524,0.492,0.4965,28914717.5,14763529.67476,61458,13181120.3,6743307.18404
2024-02-20T17:00:00+00:00Z,2024-02-20T17:59:59.999000+00:00Z,0.4964,0.5244,0.496,0.5226,20866479.0,10683418.08934,42223,11157154.6,5716986.22626
2024-02-20T18:00:00+00:00Z,2024-02-20T18:59:59.999000+00:00Z,0.5225,0.539,0.5158,0.5331,16310192.3,8599050.22887,30281,8565032.7,4520071.76874
2024-02-20T19:00:00+00:00Z,2024-02-20T19:59:59.999000+00:00Z,0.5331,0.5488,0.5229,0.5338,16210702.1,8739532.35298,32385,8965730.7,4838900.99968
2024-02-20T20:00:00+00:00Z,2024-02-20T20:59:59.999000+00:00Z,0.5337,0.5374,0.5168,0.5256,9775038.1,5131326.17575,21880,5205612.7,2733205.82295
2024-02-20T21:00:00+00:00Z,2024-02-20T21:59:59.999000+00:00Z,0.5255,0.5352,0.5211,0.5225,7252546.5,3827264.13768,17158,3556281.8,1877604.86986
2024-02-20T22:00:00+00:00Z,2024-02-20T22:59:59.999000+00:00Z,0.5227,0.5334,0.504,0.5207,12202233.7,6281228.2613,25373,6330831.8,3261246.7779
2024-02-20T23:00:00+00:00Z,2024-02-20T23:59:59.999000+00:00Z,0.5206,0.5266,0.51,0.516,8675939.8,4499506.10416,16679,3917637.5,2032882.63657
2024-02-21T00:00:00+00:00Z,2024-02-21T00:59:59.999000+00:00Z,0.516,0.5465,0.5146,0.5372,14739282.3,7881329.2237,28934,7609027.9,4068556.54544
2024-02-21T01:00:00+00:00Z,2024-02-21T01:59:59.999000+00:00Z,0.5373,0.5479,0.5198,0.5223,13311473.1,7131222.20488,23970,6435940.5,3454979.39399
2024-02-21T02:00:00+00:00Z,2024-02-21T02:59:59.999000+00:00Z,0.523,0.5258,0.5066,0.5163,13450252.6,6912165.65248,22268,5706604.8,2933756.62042
2024-02-21T03:00:00+00:00Z,2024-02-21T03:59:59.999000+00:00Z,0.5164,0.5207,0.5077,0.5206,6340700.8,3264769.59304,12206,3430280.9,1767326.9843
2024-02-21T04:00:00+00:00Z,2024-02-21T04:59:59.999000+00:00Z,0.5205,0.5231,0.5021,0.5124,9578924.0,4903935.67085,17759,3960010.2,2028090.01732
2024-02-21T05:00:00+00:00Z,2024-02-21T05:59:59.999000+00:00Z,0.5125,0.516,0.5073,0.5105,7030358.6,3597094.6479,14282,3422441.8,1751782.20837
2024-02-21T06:00:00+00:00Z,2024-02-21T06:59:59.999000+00:00Z,0.5104,0.5146,0.504,0.5094,7542349.9,3839097.68281,14652,3644228.3,1855884.23671
2024-02-21T07:00:00+00:00Z,2024-02-21T07:59:59.999000+00:00Z,0.5095,0.5305,0.503,0.5213,14786126.4,7682787.16128,23889,8539973.1,4438838.11983
2024-02-21T08:00:00+00:00Z,2024-02-21T08:59:59.999000+00:00Z,0.5212,0.5229,0.5076,0.516,11282244.9,5813128.35581,21226,5199295.5,2680058.26825
2024-02-21T09:00:00+00:00Z,2024-02-21T09:59:59.999000+00:00Z,0.516,0.5179,0.4925,0.4956,14725688.3,7440932.48792,29874,5704963.7,2886091.86203
2024-02-21T10:00:00+00:00Z,2024-02-21T10:59:59.999000+00:00Z,0.4956,0.5048,0.49,0.5019,12743928.1,6350052.44911,25244,6089370.0,3035093.92172
2024-02-21T11:00:00+00:00Z,2024-02-21T11:59:59.999000+00:00Z,0.5019,0.5049,0.4837,0.4903,13714675.4,6770740.42424,24628,5967567.8,2950888.52477
2024-02-21T12:00:00+00:00Z,2024-02-21T12:59:59.999000+00:00Z,0.4902,0.509,0.4812,0.5011,16592678.8,8239728.81389,30775,8630297.5,4289872.19876
