# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PONDUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-03-09T08:00:00+00:00Z
# t0_final_iso,2021-03-09T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,394f334d83b60c2a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-03-09T08:00:00+00:00Z,2021-03-09T08:59:59.999000+00:00Z,0.1598,0.2,0.1556,0.162,88744630.57,15333045.057061,40563,45828270.56,8009940.883111
2021-03-09T09:00:00+00:00Z,2021-03-09T09:59:59.999000+00:00Z,0.162,0.1665,0.1575,0.1606,15930817.36,2577688.569236,10045,7754517.51,1259543.326547
2021-03-09T10:00:00+00:00Z,2021-03-09T10:59:59.999000+00:00Z,0.1608,0.161,0.1555,0.1582,9434046.69,1492000.031852,5832,4039909.52,640202.907015
2021-03-09T11:00:00+00:00Z,2021-03-09T11:59:59.999000+00:00Z,0.1582,0.1636,0.1575,0.1602,8950702.67,1441118.027114,5649,4439270.97,715472.278646
2021-03-09T12:00:00+00:00Z,2021-03-09T12:59:59.999000+00:00Z,0.1607,0.161,0.1475,0.1492,13859472.0,2141506.8688,8050,5204841.62,803920.256114
2021-03-09T13:00:00+00:00Z,2021-03-09T13:59:59.999000+00:00Z,0.1493,0.1569,0.1492,0.1543,6630374.18,1013726.96526,3610,3330764.85,508889.397321
2021-03-09T14:00:00+00:00Z,2021-03-09T14:59:59.999000+00:00Z,0.154,0.1604,0.1498,0.1591,8710167.53,1358383.634095,4693,4752956.56,742233.340952
2021-03-09T15:00:00+00:00Z,2021-03-09T15:59:59.999000+00:00Z,0.159,0.1635,0.156,0.1584,4536339.33,723306.194392,3246,2268006.66,362555.388011
2021-03-09T16:00:00+00:00Z,2021-03-09T16:59:59.999000+00:00Z,0.1586,0.1615,0.1528,0.1608,5844357.54,922015.005321,3208,2418190.28,382200.975147
2021-03-09T17:00:00+00:00Z,2021-03-09T17:59:59.999000+00:00Z,0.1608,0.1689,0.16,0.1683,9651094.78,1593134.190181,5094,5207117.22,860433.149261
2021-03-09T18:00:00+00:00Z,2021-03-09T18:59:59.999000+00:00Z,0.1678,0.17,0.1587,0.1622,10576895.73,1744655.247289,8158,5175151.32,857235.098083
2021-03-09T19:00:00+00:00Z,2021-03-09T19:59:59.999000+00:00Z,0.1621,0.169,0.1601,0.1679,4921322.92,811308.016819,4132,3004667.18,496603.51738
2021-03-09T20:00:00+00:00Z,2021-03-09T20:59:59.999000+00:00Z,0.1679,0.1744,0.1624,0.164,10489219.17,1758019.411837,6140,5399072.22,909470.206566
2021-03-09T21:00:00+00:00Z,2021-03-09T21:59:59.999000+00:00Z,0.164,0.1699,0.164,0.1672,3088184.41,517004.017051,2605,2040699.27,341914.104528
2021-03-09T22:00:00+00:00Z,2021-03-09T22:59:59.999000+00:00Z,0.1672,0.1672,0.1631,0.1652,4208000.93,694482.457977,2951,2427742.33,400737.646941
2021-03-09T23:00:00+00:00Z,2021-03-09T23:59:59.999000+00:00Z,0.1655,0.1662,0.1632,0.1652,1496215.02,246538.017881,1249,684842.32,112990.504898
2021-03-10T00:00:00+00:00Z,2021-03-10T00:59:59.999000+00:00Z,0.1654,0.1654,0.1601,0.1636,2710430.91,440373.864869,2306,1081378.92,176064.345196
2021-03-10T01:00:00+00:00Z,2021-03-10T01:59:59.999000+00:00Z,0.1636,0.1657,0.1531,0.1559,2690093.29,427784.590486,2212,730413.73,116580.035216
2021-03-10T02:00:00+00:00Z,2021-03-10T02:59:59.999000+00:00Z,0.1559,0.1587,0.15,0.1529,3569451.16,543807.189089,2472,1092447.32,166980.648611
2021-03-10T03:00:00+00:00Z,2021-03-10T03:59:59.999000+00:00Z,0.1529,0.1529,0.15,0.1503,2730604.29,412402.518269,1367,723394.2,109827.892941
2021-03-10T04:00:00+00:00Z,2021-03-10T04:59:59.999000+00:00Z,0.1504,0.1559,0.1503,0.1527,2053742.53,314183.847312,1664,1076285.46,164815.244876
2021-03-10T05:00:00+00:00Z,2021-03-10T05:59:59.999000+00:00Z,0.1525,0.1549,0.1502,0.1537,2061063.4,314099.974338,1326,734461.15,112252.331012
2021-03-10T06:00:00+00:00Z,2021-03-10T06:59:59.999000+00:00Z,0.1537,0.1579,0.1532,0.1565,2361153.28,367617.52023,1804,904348.62,140705.126476
2021-03-10T07:00:00+00:00Z,2021-03-10T07:59:59.999000+00:00Z,0.1565,0.1569,0.153,0.1536,2525087.2,390795.348752,1968,881274.13,136708.29109
2021-03-10T08:00:00+00:00Z,2021-03-10T08:59:59.999000+00:00Z,0.1539,0.1565,0.1485,0.1511,5656561.12,860484.333204,3758,2007204.86,307332.873662
2021-03-10T09:00:00+00:00Z,2021-03-10T09:59:59.999000+00:00Z,0.1516,0.1554,0.1505,0.155,2188032.18,334289.798807,1850,1019721.92,156057.4659
2021-03-10T10:00:00+00:00Z,2021-03-10T10:59:59.999000+00:00Z,0.1553,0.1553,0.1516,0.1517,2190317.57,334738.788512,1610,945498.54,144740.716783
2021-03-10T11:00:00+00:00Z,2021-03-10T11:59:59.999000+00:00Z,0.1517,0.1539,0.1505,0.1524,2487278.55,376246.531763,1749,1180711.58,178957.324481
2021-03-10T12:00:00+00:00Z,2021-03-10T12:59:59.999000+00:00Z,0.1524,0.1544,0.152,0.152,1502602.19,230192.70027,1206,758937.75,116436.341872
2021-03-10T13:00:00+00:00Z,2021-03-10T13:59:59.999000+00:00Z,0.152,0.1535,0.1519,0.1524,1192460.16,182004.384189,804,383904.95,58686.414693
2021-03-10T14:00:00+00:00Z,2021-03-10T14:59:59.999000+00:00Z,0.1524,0.1531,0.1505,0.151,2413392.53,366461.744104,1467,746982.09,113595.058265
2021-03-10T15:00:00+00:00Z,2021-03-10T15:59:59.999000+00:00Z,0.1511,0.1526,0.1504,0.1504,1993814.43,301126.965332,1532,862547.63,130519.927909
2021-03-10T16:00:00+00:00Z,2021-03-10T16:59:59.999000+00:00Z,0.1505,0.1509,0.1482,0.1493,2918275.38,436497.103681,1761,1123031.23,168107.432844
2021-03-10T17:00:00+00:00Z,2021-03-10T17:59:59.999000+00:00Z,0.1493,0.151,0.143,0.1472,6019143.18,886469.704366,3377,3282010.37,483729.476656
2021-03-10T18:00:00+00:00Z,2021-03-10T18:59:59.999000+00:00Z,0.1473,0.1509,0.1468,0.1491,2022180.86,300105.236208,1692,868777.4,129278.288219
2021-03-10T19:00:00+00:00Z,2021-03-10T19:59:59.999000+00:00Z,0.149,0.1494,0.1469,0.1476,1577307.32,233974.206159,1307,569552.17,84658.027613
2021-03-10T20:00:00+00:00Z,2021-03-10T20:59:59.999000+00:00Z,0.1476,0.1487,0.1427,0.1434,2365935.15,343361.312483,1623,988306.99,143547.966113
2021-03-10T21:00:00+00:00Z,2021-03-10T21:59:59.999000+00:00Z,0.1434,0.152,0.1407,0.1447,2710332.44,391534.122983,1646,1431063.02,207548.042871
2021-03-10T22:00:00+00:00Z,2021-03-10T22:59:59.999000+00:00Z,0.1447,0.148,0.1423,0.1449,1289879.02,187857.222961,1009,564259.66,82128.079145
2021-03-10T23:00:00+00:00Z,2021-03-10T23:59:59.999000+00:00Z,0.1447,0.146,0.1421,0.1426,1387052.08,199368.42304,947,559465.6,80700.859026
2021-03-11T00:00:00+00:00Z,2021-03-11T00:59:59.999000+00:00Z,0.1429,0.1436,0.1402,0.1406,1398356.01,197796.324374,787,517271.33,73213.31541
2021-03-11T01:00:00+00:00Z,2021-03-11T01:59:59.999000+00:00Z,0.1407,0.1408,0.1301,0.1364,4433992.87,601951.709436,2702,1868109.42,253659.639549
2021-03-11T02:00:00+00:00Z,2021-03-11T02:59:59.999000+00:00Z,0.1366,0.1414,0.1346,0.1395,1853601.75,255476.069147,1247,1160946.09,159957.195326
2021-03-11T03:00:00+00:00Z,2021-03-11T03:59:59.999000+00:00Z,0.1394,0.1429,0.1381,0.1393,831907.73,116980.017678,764,396608.88,55691.817204
2021-03-11T04:00:00+00:00Z,2021-03-11T04:59:59.999000+00:00Z,0.1395,0.143,0.1393,0.1396,809593.78,114258.383076,724,348832.35,49319.156101
2021-03-11T05:00:00+00:00Z,2021-03-11T05:59:59.999000+00:00Z,0.1396,0.1433,0.1376,0.1394,1257719.47,177183.079102,1179,581623.0,81957.066942
2021-03-11T06:00:00+00:00Z,2021-03-11T06:59:59.999000+00:00Z,0.1397,0.1403,0.137,0.1394,1289990.79,179067.914101,1106,717528.42,99815.348194
2021-03-11T07:00:00+00:00Z,2021-03-11T07:59:59.999000+00:00Z,0.1393,0.14,0.136,0.1369,1912464.82,265373.324927,997,952625.64,132715.124987
2021-03-11T08:00:00+00:00Z,2021-03-11T08:59:59.999000+00:00Z,0.1365,0.1379,0.1301,0.1353,4457781.8,595734.531115,1947,1863639.41,249353.527269
2021-03-11T09:00:00+00:00Z,2021-03-11T09:59:59.999000+00:00Z,0.1358,0.1376,0.1311,0.1314,1330257.03,177560.042329,982,512398.31,68575.461984
2021-03-11T10:00:00+00:00Z,2021-03-11T10:59:59.999000+00:00Z,0.1314,0.1372,0.1309,0.1372,1292446.61,172840.747792,1095,589087.89,78744.005035
2021-03-11T11:00:00+00:00Z,2021-03-11T11:59:59.999000+00:00Z,0.1364,0.1404,0.1354,0.1404,1992966.44,274826.445598,1104,1047777.27,145072.343364
2021-03-11T12:00:00+00:00Z,2021-03-11T12:59:59.999000+00:00Z,0.1405,0.1413,0.138,0.1394,1551299.89,216895.098299,1090,732201.73,102480.876979
2021-03-11T13:00:00+00:00Z,2021-03-11T13:59:59.999000+00:00Z,0.1395,0.1402,0.136,0.1382,2203327.9,304399.548172,1299,1019745.48,141175.076583
2021-03-11T14:00:00+00:00Z,2021-03-11T14:59:59.999000+00:00Z,0.1382,0.141,0.1353,0.1356,2693248.81,371463.910602,1571,1207258.1,167134.902936
2021-03-11T15:00:00+00:00Z,2021-03-11T15:59:59.999000+00:00Z,0.1357,0.1376,0.1302,0.1361,4124400.89,551003.433453,2112,2070280.88,276199.204125
2021-03-11T16:00:00+00:00Z,2021-03-11T16:59:59.999000+00:00Z,0.1363,0.1373,0.1348,0.1365,1388190.48,188698.777023,1105,584305.88,79594.160086
2021-03-11T17:00:00+00:00Z,2021-03-11T17:59:59.999000+00:00Z,0.1362,0.1369,0.1343,0.1349,1041182.96,141243.268688,930,399475.62,54284.529375
2021-03-11T18:00:00+00:00Z,2021-03-11T18:59:59.999000+00:00Z,0.1354,0.1358,0.1335,0.1358,1044352.09,140713.594897,919,541740.5,73000.702741
2021-03-11T19:00:00+00:00Z,2021-03-11T19:59:59.999000+00:00Z,0.1358,0.1475,0.1351,0.142,4303469.28,606474.233694,2221,2987885.2,421168.630176
2021-03-11T20:00:00+00:00Z,2021-03-11T20:59:59.999000+00:00Z,0.1418,0.1449,0.136,0.1425,2041882.63,287650.8646,2079,905155.79,127755.33774
2021-03-11T21:00:00+00:00Z,2021-03-11T21:59:59.999000+00:00Z,0.1425,0.1434,0.139,0.1404,972316.97,136835.221326,781,310282.2,43723.734471
2021-03-11T22:00:00+00:00Z,2021-03-11T22:59:59.999000+00:00Z,0.1405,0.1452,0.1402,0.1452,1227988.46,175625.599712,831,742172.04,106446.423175
2021-03-11T23:00:00+00:00Z,2021-03-11T23:59:59.999000+00:00Z,0.1451,0.1545,0.145,0.1477,3790196.71,566827.068947,2157,2274831.51,340539.199792
2021-03-12T00:00:00+00:00Z,2021-03-12T00:59:59.999000+00:00Z,0.1476,0.15,0.1408,0.1415,3134840.17,454490.478737,1645,1395292.08,202816.266698
2021-03-12T01:00:00+00:00Z,2021-03-12T01:59:59.999000+00:00Z,0.1416,0.1442,0.1396,0.141,1337643.32,189154.015385,889,518212.93,73594.311189
2021-03-12T02:00:00+00:00Z,2021-03-12T02:59:59.999000+00:00Z,0.1409,0.1461,0.1397,0.143,1746218.42,251448.665312,834,701926.21,101365.143834
2021-03-12T03:00:00+00:00Z,2021-03-12T03:59:59.999000+00:00Z,0.1435,0.1529,0.1425,0.145,2794401.56,411841.650448,2297,1241435.21,183639.429203
2021-03-12T04:00:00+00:00Z,2021-03-12T04:59:59.999000+00:00Z,0.1446,0.147,0.1421,0.1442,1037874.65,149757.593495,965,466851.21,67430.888639
2021-03-12T05:00:00+00:00Z,2021-03-12T05:59:59.999000+00:00Z,0.1441,0.1483,0.1422,0.1478,1605900.98,232877.947672,933,923399.79,134041.324179
2021-03-12T06:00:00+00:00Z,2021-03-12T06:59:59.999000+00:00Z,0.1478,0.1519,0.1453,0.1488,2243604.92,332988.206786,1533,1035966.72,154247.342879
2021-03-12T07:00:00+00:00Z,2021-03-12T07:59:59.999000+00:00Z,0.1493,0.151,0.1446,0.1456,1620349.29,240355.614285,1239,706467.46,105079.707165
