# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,QTUMUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a7a2d2f3c699f7c2
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,2.23,2.275,2.222,2.26,240301.183,541660.245263,1977,124825.798,281471.882055
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,2.263,2.268,2.232,2.26,207904.714,467848.826232,1393,101486.32,228425.842916
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,2.262,2.279,2.241,2.251,120780.609,272418.207862,1077,56477.581,127456.285913
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,2.25,2.266,2.239,2.248,114827.261,258443.423352,925,57804.684,130084.237307
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,2.249,2.264,2.237,2.262,46517.887,104791.092639,358,21126.175,47599.580235
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,2.261,2.282,2.258,2.269,54860.226,124437.642727,500,31371.687,71149.727617
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,2.269,2.281,2.255,2.264,68345.802,154790.635854,560,33966.081,76927.835984
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,2.264,2.27,2.245,2.25,32606.82,73657.860596,268,10698.764,24161.013251
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,2.25,2.265,2.248,2.255,63627.236,143468.978033,573,27249.836,61439.203165
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,2.255,2.257,2.237,2.251,73454.016,164956.865433,655,42669.279,95831.6286
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,2.251,2.256,2.216,2.228,129064.487,288438.742606,981,62400.661,139365.681833
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,2.228,2.251,2.225,2.251,50078.924,111918.505571,420,27120.102,60638.425391
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,2.25,2.252,2.238,2.243,45946.608,103113.992566,412,21830.302,48999.162515
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,2.245,2.25,2.232,2.232,42362.767,95005.258287,375,19227.756,43141.68007
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,2.231,2.238,2.228,2.23,45275.914,101100.594882,368,18701.705,41767.389271
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,2.229,2.237,2.217,2.22,47304.754,105390.68561,383,22924.176,51088.641498
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,2.219,2.228,2.205,2.22,149047.597,330226.971302,1070,71909.537,159333.211927
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,2.221,2.236,2.221,2.233,105510.184,235328.857501,766,52361.016,116801.867476
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,2.232,2.247,2.229,2.243,79959.292,179039.254096,661,32772.676,73349.622753
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,2.243,2.245,2.227,2.232,72395.073,161653.668175,541,32888.604,73445.153386
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,2.231,2.299,2.224,2.273,236612.063,537197.096885,1991,113700.034,257908.218529
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,2.274,2.299,2.274,2.28,191544.982,438374.108147,1431,90780.101,207742.220191
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,2.28,2.292,2.269,2.277,128794.759,293901.91024,889,63766.125,145524.103025
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,2.277,2.339,2.268,2.321,292826.622,675571.018216,2000,162054.941,373546.586599
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,2.321,2.335,2.308,2.313,147576.463,342658.850384,1101,69764.867,161994.541426
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,2.313,2.347,2.302,2.339,184359.904,428652.092415,1410,94337.923,219465.862094
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,2.339,2.345,2.319,2.327,159751.555,372065.291889,1124,76042.322,177130.027288
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,2.329,2.344,2.326,2.342,102320.819,238923.233637,806,50740.31,118480.49355
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,2.343,2.343,2.312,2.325,125126.689,290654.361943,943,56240.808,130661.723863
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,2.326,2.333,2.308,2.322,85437.756,198413.446482,665,40054.537,93020.232714
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,2.324,2.331,2.317,2.319,83845.397,194902.559888,696,39829.939,92578.405541
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,2.319,2.345,2.315,2.344,46057.017,107282.161267,405,23654.619,55086.735617
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,2.346,2.346,2.333,2.341,45648.142,106846.624429,363,21244.055,49719.885326
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,2.339,2.348,2.329,2.33,80053.474,187237.351073,655,38130.489,89194.275824
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,2.33,2.354,2.326,2.338,188849.586,441200.312796,1246,96614.354,225754.452603
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,2.338,2.339,2.324,2.334,125653.006,293055.565588,948,66649.366,155407.311791
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,2.334,2.374,2.332,2.372,318848.916,752178.951521,2373,155124.859,366114.930969
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,2.373,2.381,2.363,2.369,197201.695,467826.875431,1481,99686.431,236541.037065
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,2.371,2.377,2.349,2.355,104958.206,247970.303488,766,41686.493,98512.166972
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,2.355,2.356,2.329,2.333,104263.928,243975.204588,743,47470.229,111027.17626
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,2.333,2.349,2.33,2.334,112545.243,263102.063426,714,61619.236,144029.610633
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,2.334,2.353,2.331,2.35,81403.088,190810.494794,561,41003.765,96110.143021
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,2.349,2.392,2.343,2.38,156926.104,372899.42668,1196,87825.823,208549.786659
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,2.381,2.393,2.351,2.358,183137.188,433888.791553,1301,80830.16,191450.645656
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,2.358,2.358,2.326,2.339,216718.509,507229.377496,1383,105163.381,246068.210791
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,2.337,2.345,2.327,2.34,93924.557,219431.239445,754,46653.75,108987.372952
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,2.341,2.354,2.33,2.354,106253.739,248711.341134,735,60400.984,141456.984694
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,2.354,2.373,2.344,2.352,127363.223,300285.461138,987,67110.275,158232.665634
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,2.354,2.354,2.341,2.347,86796.498,203739.6876,542,40451.504,94963.188926
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,2.347,2.371,2.337,2.343,132254.282,311325.143259,915,64169.335,151078.762242
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,2.342,2.347,2.323,2.328,143696.166,335239.268384,1131,75329.747,175777.284152
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,2.33,2.355,2.328,2.351,113210.732,265314.357432,869,58362.35,136764.945031
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,2.348,2.362,2.343,2.358,93826.217,220705.286917,727,50910.365,119765.151837
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,2.356,2.358,2.349,2.35,58547.787,137775.051604,462,24024.54,56537.443863
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,2.348,2.361,2.34,2.357,50183.093,117849.791098,401,25501.382,59877.97955
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,2.355,2.355,2.333,2.348,65139.829,152667.743416,469,27530.488,64501.667605
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,2.347,2.347,2.327,2.337,104637.487,244448.3074,767,48721.941,113806.44693
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,2.336,2.337,2.275,2.3,368117.308,847742.266246,2784,189116.79,435478.280456
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,2.298,2.313,2.286,2.296,130620.03,300224.805711,1174,67815.64,155887.982638
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,2.294,2.314,2.294,2.309,121004.741,278981.552926,900,65493.522,151015.665223
2020-10-11T02:00:00+00:00Z,2020-10-11T02:59:59.999000+00:00Z,2.307,2.314,2.3,2.307,71037.318,163880.455517,523,27633.542,63746.196342
2020-10-11T03:00:00+00:00Z,2020-10-11T03:59:59.999000+00:00Z,2.307,2.307,2.286,2.296,69452.365,159473.655754,532,31307.078,71921.173764
2020-10-11T04:00:00+00:00Z,2020-10-11T04:59:59.999000+00:00Z,2.296,2.315,2.289,2.294,99930.111,229901.357007,706,54298.355,124914.799144
2020-10-11T05:00:00+00:00Z,2020-10-11T05:59:59.999000+00:00Z,2.294,2.32,2.294,2.314,108195.007,249923.798907,742,51465.416,118904.505229
2020-10-11T06:00:00+00:00Z,2020-10-11T06:59:59.999000+00:00Z,2.314,2.323,2.312,2.314,106243.275,246205.171382,694,55957.546,129679.635434
2020-10-11T07:00:00+00:00Z,2020-10-11T07:59:59.999000+00:00Z,2.315,2.326,2.312,2.321,85043.252,197196.024961,619,38512.642,89280.288435
2020-10-11T08:00:00+00:00Z,2020-10-11T08:59:59.999000+00:00Z,2.322,2.34,2.309,2.328,110793.557,257526.580774,917,56079.683,130369.909305
2020-10-11T09:00:00+00:00Z,2020-10-11T09:59:59.999000+00:00Z,2.329,2.329,2.314,2.322,101728.256,236063.172413,800,48388.49,112275.791534
2020-10-11T10:00:00+00:00Z,2020-10-11T10:59:59.999000+00:00Z,2.323,2.348,2.316,2.341,125496.091,292611.23607,992,58153.72,135523.981705
2020-10-11T11:00:00+00:00Z,2020-10-11T11:59:59.999000+00:00Z,2.341,2.348,2.329,2.335,97114.632,226865.630437,758,40998.699,95766.804631
2020-10-11T12:00:00+00:00Z,2020-10-11T12:59:59.999000+00:00Z,2.336,2.341,2.309,2.311,110772.776,257152.917726,905,53413.748,124011.880978
2020-10-11T13:00:00+00:00Z,2020-10-11T13:59:59.999000+00:00Z,2.309,2.319,2.301,2.319,76588.146,176977.705022,503,42070.347,97233.135331
