# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,REIUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-05-04T04:00:00+00:00Z
# t0_final_iso,2022-05-04T04:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,284941a49a860eb0
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-05-04T04:00:00+00:00Z,2022-05-04T04:59:59.999000+00:00Z,0.1506,0.178,0.115,0.1289,80243056.5,10772708.11553,20201,43748288.4,5957176.08862
2022-05-04T05:00:00+00:00Z,2022-05-04T05:59:59.999000+00:00Z,0.1287,0.1299,0.1225,0.1252,8106438.4,1019063.25724,2589,3280583.4,414104.98725
2022-05-04T06:00:00+00:00Z,2022-05-04T06:59:59.999000+00:00Z,0.1251,0.1265,0.1188,0.1228,9289481.9,1131867.81075,3156,2480199.7,303323.2506
2022-05-04T07:00:00+00:00Z,2022-05-04T07:59:59.999000+00:00Z,0.1229,0.125,0.1143,0.1161,11580338.3,1373212.51118,3947,5909421.7,696590.69494
2022-05-04T08:00:00+00:00Z,2022-05-04T08:59:59.999000+00:00Z,0.1162,0.1219,0.1035,0.1192,29384519.7,3324289.08475,7666,14345550.8,1619129.61432
2022-05-04T09:00:00+00:00Z,2022-05-04T09:59:59.999000+00:00Z,0.1191,0.123,0.1164,0.119,7042602.7,847734.11142,2640,4086108.7,492190.82718
2022-05-04T10:00:00+00:00Z,2022-05-04T10:59:59.999000+00:00Z,0.119,0.1207,0.1142,0.1163,8071274.5,943732.47603,3537,3552359.9,416286.52047
2022-05-04T11:00:00+00:00Z,2022-05-04T11:59:59.999000+00:00Z,0.1164,0.1256,0.1135,0.1189,13553397.5,1638503.25513,5124,8464251.5,1025874.00804
2022-05-04T12:00:00+00:00Z,2022-05-04T12:59:59.999000+00:00Z,0.1188,0.1199,0.116,0.1196,7744616.5,920685.81141,2530,4773910.4,569042.73875
2022-05-04T13:00:00+00:00Z,2022-05-04T13:59:59.999000+00:00Z,0.1196,0.1225,0.1185,0.1191,7717828.8,928659.66672,2942,4042351.6,486290.73689
2022-05-04T14:00:00+00:00Z,2022-05-04T14:59:59.999000+00:00Z,0.1191,0.1192,0.115,0.1174,6944646.9,813541.95771,3044,2963664.7,348120.52526
2022-05-04T15:00:00+00:00Z,2022-05-04T15:59:59.999000+00:00Z,0.1177,0.1183,0.1086,0.1152,12755918.0,1437405.37747,4897,5830257.1,655148.76309
2022-05-04T16:00:00+00:00Z,2022-05-04T16:59:59.999000+00:00Z,0.1148,0.1157,0.1037,0.1111,11680460.4,1292984.57597,4732,3880755.3,432794.79497
2022-05-04T17:00:00+00:00Z,2022-05-04T17:59:59.999000+00:00Z,0.1111,0.113,0.1085,0.1102,5489637.4,606468.1456,2119,2729181.0,301537.86166
2022-05-04T18:00:00+00:00Z,2022-05-04T18:59:59.999000+00:00Z,0.1102,0.1149,0.109,0.1141,4731620.9,527847.25878,1942,2428960.1,271223.68198
2022-05-04T19:00:00+00:00Z,2022-05-04T19:59:59.999000+00:00Z,0.1141,0.121,0.1129,0.1191,10549070.5,1238788.27425,4155,5754455.8,676490.19188
2022-05-04T20:00:00+00:00Z,2022-05-04T20:59:59.999000+00:00Z,0.119,0.121,0.1161,0.1196,7406077.8,880650.63606,3289,3729653.4,443875.91455
2022-05-04T21:00:00+00:00Z,2022-05-04T21:59:59.999000+00:00Z,0.1196,0.123,0.1184,0.1222,8094862.9,983265.15344,2943,4159839.0,505560.20475
2022-05-04T22:00:00+00:00Z,2022-05-04T22:59:59.999000+00:00Z,0.1222,0.1247,0.1171,0.118,8039710.1,969130.85525,3819,3623424.7,438450.60913
2022-05-04T23:00:00+00:00Z,2022-05-04T23:59:59.999000+00:00Z,0.1175,0.124,0.1175,0.1208,5010475.0,604252.73638,2586,2537673.5,306182.35479
2022-05-05T00:00:00+00:00Z,2022-05-05T00:59:59.999000+00:00Z,0.1207,0.1207,0.117,0.1188,4547626.7,540690.7766,1531,1897973.6,225364.98995
2022-05-05T01:00:00+00:00Z,2022-05-05T01:59:59.999000+00:00Z,0.119,0.1193,0.1156,0.1167,3844322.3,451492.63733,1377,1693185.8,199153.55107
2022-05-05T02:00:00+00:00Z,2022-05-05T02:59:59.999000+00:00Z,0.1167,0.1196,0.1163,0.1179,3273444.9,386482.72301,1390,1749948.7,206735.65519
2022-05-05T03:00:00+00:00Z,2022-05-05T03:59:59.999000+00:00Z,0.1178,0.1246,0.1172,0.1237,6324637.9,762352.5489,2709,3938891.8,475631.97228
2022-05-05T04:00:00+00:00Z,2022-05-05T04:59:59.999000+00:00Z,0.1237,0.1237,0.1185,0.1205,5550833.3,667906.24152,2661,2822985.2,339810.08593
2022-05-05T05:00:00+00:00Z,2022-05-05T05:59:59.999000+00:00Z,0.1205,0.1208,0.1177,0.1182,2512745.8,299619.47482,1057,845048.8,100947.83756
2022-05-05T06:00:00+00:00Z,2022-05-05T06:59:59.999000+00:00Z,0.1182,0.1189,0.1138,0.114,6207087.8,718849.1722,2146,2718817.6,314384.00964
2022-05-05T07:00:00+00:00Z,2022-05-05T07:59:59.999000+00:00Z,0.1139,0.1169,0.1131,0.1157,3665469.3,421360.09052,1553,1898606.5,218247.44328
2022-05-05T08:00:00+00:00Z,2022-05-05T08:59:59.999000+00:00Z,0.1152,0.1189,0.1139,0.1162,4633849.2,540059.03647,1886,2379338.6,277832.07209
2022-05-05T09:00:00+00:00Z,2022-05-05T09:59:59.999000+00:00Z,0.1163,0.1163,0.1151,0.116,1748301.8,202102.4638,884,826569.1,95639.94042
2022-05-05T10:00:00+00:00Z,2022-05-05T10:59:59.999000+00:00Z,0.116,0.1161,0.1122,0.1136,3694521.4,421339.75154,1457,1146787.3,130643.27825
2022-05-05T11:00:00+00:00Z,2022-05-05T11:59:59.999000+00:00Z,0.1137,0.1139,0.1073,0.1074,10220041.8,1129527.19402,4316,4335797.3,481272.50226
2022-05-05T12:00:00+00:00Z,2022-05-05T12:59:59.999000+00:00Z,0.1074,0.1098,0.105,0.1095,16118062.1,1729696.65384,4122,9364997.6,1008699.72936
2022-05-05T13:00:00+00:00Z,2022-05-05T13:59:59.999000+00:00Z,0.1095,0.11,0.1049,0.1062,7121173.3,762375.82867,2703,3335926.2,357954.47638
2022-05-05T14:00:00+00:00Z,2022-05-05T14:59:59.999000+00:00Z,0.1066,0.1068,0.1018,0.1036,9372272.3,976756.97258,2982,4378973.8,456283.03019
2022-05-05T15:00:00+00:00Z,2022-05-05T15:59:59.999000+00:00Z,0.1037,0.1042,0.0898,0.0916,21087299.1,2010874.30279,5092,7756627.3,738313.23434
2022-05-05T16:00:00+00:00Z,2022-05-05T16:59:59.999000+00:00Z,0.0917,0.0952,0.0916,0.0949,4859886.1,455757.16719,1884,2170246.2,203429.9162
2022-05-05T17:00:00+00:00Z,2022-05-05T17:59:59.999000+00:00Z,0.0949,0.0958,0.0932,0.0936,2289104.5,216734.04698,995,916164.1,86948.94708
2022-05-05T18:00:00+00:00Z,2022-05-05T18:59:59.999000+00:00Z,0.0936,0.0944,0.0912,0.092,2700432.9,250563.92542,1578,1083637.8,100734.68356
2022-05-05T19:00:00+00:00Z,2022-05-05T19:59:59.999000+00:00Z,0.092,0.0943,0.0887,0.0937,3440733.4,314280.19523,1676,1876950.1,171881.33856
