# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,RLCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f15624f4572fe905
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.7906,0.797,0.7785,0.7824,75676.45,59430.088488,327,39546.43,31130.636771
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.7818,0.7891,0.7725,0.7793,62125.11,48464.609239,314,44211.21,34503.217422
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.7793,0.7846,0.7721,0.7826,18651.61,14530.130438,142,10072.93,7837.731751
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.7818,0.7883,0.7789,0.7822,25046.81,19592.136602,126,9883.9,7742.77166
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.7825,0.7893,0.7761,0.7874,32543.92,25469.700005,207,15306.06,12002.707345
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.786,0.8,0.7842,0.7885,43194.9,34192.360741,218,31581.04,25002.202905
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.7899,0.7996,0.7883,0.7943,39197.57,31212.449785,174,25705.8,20480.602662
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.7929,0.7943,0.7815,0.7886,20955.0,16513.557444,133,9581.71,7554.468443
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.7888,0.7905,0.7728,0.7765,29523.99,23010.748154,151,5054.52,3941.463107
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.777,0.786,0.777,0.7855,16991.92,13285.382657,120,10054.97,7863.050091
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.7865,0.7916,0.7831,0.7869,7256.94,5714.110275,96,3072.91,2422.011162
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.7894,0.7937,0.7818,0.7851,109726.45,86394.559921,347,49154.13,38699.171883
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.783,0.7855,0.7763,0.7775,50728.86,39616.602592,301,21734.06,16982.259548
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.7767,0.7819,0.7722,0.775,30399.39,23624.868832,179,16322.98,12688.129683
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.7727,0.7727,0.7615,0.7658,65541.99,50265.785441,329,33443.19,25630.290828
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.7662,0.7756,0.7662,0.7743,55181.56,42568.762992,246,16840.5,13007.352374
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.7743,0.8,0.7696,0.7803,42363.65,33094.732855,192,32442.54,25408.140421
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.7804,0.7821,0.7712,0.7756,43718.65,33984.016882,262,14039.59,10912.487727
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.7748,0.8196,0.7704,0.8057,165313.3,132231.050054,875,95913.59,76791.192579
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.8062,0.8194,0.8057,0.811,133293.8,108124.683593,616,87433.43,70971.629545
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.8127,0.8188,0.8071,0.8166,70018.17,57041.06117,286,41813.45,34068.128145
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.8177,0.8309,0.8104,0.8234,83057.2,68247.849641,441,52887.78,43535.093873
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.8235,0.8269,0.8154,0.823,33001.3,27135.357992,247,13239.43,10896.34119
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.8229,0.835,0.816,0.83,52399.81,43286.408636,386,36816.41,30437.702185
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.8323,0.8494,0.8183,0.8244,66295.36,54826.851389,493,34443.81,28576.734984
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.8255,0.8299,0.8227,0.8269,24501.3,20260.33183,183,12325.69,10202.862725
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.8276,0.8283,0.8113,0.8218,45830.15,37467.890659,260,32538.05,26590.696208
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.8206,0.8206,0.8055,0.816,75502.58,61330.799802,350,39002.98,31722.316236
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.8186,0.8236,0.8151,0.8234,17837.2,14626.49207,168,10850.8,8908.210739
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.8219,0.8323,0.8169,0.831,20346.35,16777.788688,184,12420.87,10250.061552
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.8315,0.8368,0.828,0.8344,23465.82,19516.520674,170,8306.21,6911.595
