# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ROSEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-11-19T08:00:00+00:00Z
# t0_final_iso,2020-11-19T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,83d9a1251a1945d2
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-11-19T08:00:00+00:00Z,2020-11-19T08:59:59.999000+00:00Z,0.03,0.12,0.03,0.04289,284963374.2,14421874.92469,38602,130943685.1,6654583.550029
2020-11-19T09:00:00+00:00Z,2020-11-19T09:59:59.999000+00:00Z,0.04284,0.04302,0.03864,0.042,76426025.1,3120306.960397,8976,39098180.6,1597485.158918
2020-11-19T10:00:00+00:00Z,2020-11-19T10:59:59.999000+00:00Z,0.042,0.04604,0.04021,0.045,43439836.3,1862791.637669,5743,25319252.8,1086047.334376
2020-11-19T11:00:00+00:00Z,2020-11-19T11:59:59.999000+00:00Z,0.04505,0.04576,0.04227,0.04367,40248263.8,1764210.930645,5160,20240271.8,886781.899831
2020-11-19T12:00:00+00:00Z,2020-11-19T12:59:59.999000+00:00Z,0.04367,0.04367,0.0402,0.0414,20228768.3,847788.623362,2387,9929249.9,415459.172577
2020-11-19T13:00:00+00:00Z,2020-11-19T13:59:59.999000+00:00Z,0.04132,0.043,0.04018,0.04198,19283506.3,803883.058974,1900,10616329.8,444002.734576
2020-11-19T14:00:00+00:00Z,2020-11-19T14:59:59.999000+00:00Z,0.04198,0.04418,0.04168,0.04288,27036248.4,1163891.068148,3273,13405167.8,577951.852096
2020-11-19T15:00:00+00:00Z,2020-11-19T15:59:59.999000+00:00Z,0.0429,0.04779,0.04265,0.04583,49526491.9,2262711.844202,6351,26547400.5,1211056.2501
2020-11-19T16:00:00+00:00Z,2020-11-19T16:59:59.999000+00:00Z,0.04583,0.04769,0.04508,0.04582,25721881.8,1189730.284039,3916,13356175.6,618778.129735
2020-11-19T17:00:00+00:00Z,2020-11-19T17:59:59.999000+00:00Z,0.04582,0.04582,0.0431,0.0439,13987970.4,619284.087156,2012,6069149.8,268392.916647
2020-11-19T18:00:00+00:00Z,2020-11-19T18:59:59.999000+00:00Z,0.04382,0.04382,0.04211,0.04358,12970628.3,557050.347877,1807,6080772.7,261111.093761
2020-11-19T19:00:00+00:00Z,2020-11-19T19:59:59.999000+00:00Z,0.04353,0.04356,0.0406,0.04087,16485883.2,686258.032637,2117,6951682.0,289912.944428
2020-11-19T20:00:00+00:00Z,2020-11-19T20:59:59.999000+00:00Z,0.04085,0.04143,0.03918,0.04061,24999722.4,1008650.600407,3575,12941917.8,522693.445071
2020-11-19T21:00:00+00:00Z,2020-11-19T21:59:59.999000+00:00Z,0.04061,0.04087,0.03729,0.0381,27380733.7,1066237.925058,3453,13988619.4,546969.359749
2020-11-19T22:00:00+00:00Z,2020-11-19T22:59:59.999000+00:00Z,0.03801,0.0393,0.03712,0.03838,12197515.7,463562.214863,1358,5023442.1,191044.346322
2020-11-19T23:00:00+00:00Z,2020-11-19T23:59:59.999000+00:00Z,0.03839,0.04066,0.03753,0.03777,18402760.5,716381.781359,2114,8933099.8,348534.028654
2020-11-20T00:00:00+00:00Z,2020-11-20T00:59:59.999000+00:00Z,0.03776,0.03777,0.03522,0.0375,20588519.8,755898.725215,2190,8230510.5,302668.483604
2020-11-20T01:00:00+00:00Z,2020-11-20T01:59:59.999000+00:00Z,0.0375,0.03837,0.037,0.03746,11507578.4,433560.702459,1361,5550696.5,209169.182834
2020-11-20T02:00:00+00:00Z,2020-11-20T02:59:59.999000+00:00Z,0.03749,0.0397,0.03731,0.03888,15082579.9,583008.885608,1496,9657440.8,372776.870759
2020-11-20T03:00:00+00:00Z,2020-11-20T03:59:59.999000+00:00Z,0.03888,0.0395,0.03718,0.03756,11368328.3,436314.698795,1351,5868214.3,225505.415127
2020-11-20T04:00:00+00:00Z,2020-11-20T04:59:59.999000+00:00Z,0.03758,0.04031,0.03727,0.04031,14698858.7,565744.317841,1237,7738120.7,299787.756241
2020-11-20T05:00:00+00:00Z,2020-11-20T05:59:59.999000+00:00Z,0.04031,0.04047,0.03834,0.03937,8390581.4,329191.733158,1073,3824966.4,149970.341389
2020-11-20T06:00:00+00:00Z,2020-11-20T06:59:59.999000+00:00Z,0.03929,0.04335,0.03928,0.04123,31802298.5,1328372.338601,3268,18493809.0,771778.982101
2020-11-20T07:00:00+00:00Z,2020-11-20T07:59:59.999000+00:00Z,0.04124,0.04138,0.03991,0.04085,14242815.3,577562.313434,1914,6131072.9,248939.536671
