# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,RPLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-01-18T08:00:00+00:00Z
# t0_final_iso,2023-01-18T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,59850127942d4549
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-01-18T08:00:00+00:00Z,2023-01-18T08:59:59.999000+00:00Z,25.66,42.9,25.66,36.95,267054.45,10246937.8982,26958,149309.6,5758963.8378
2023-01-18T09:00:00+00:00Z,2023-01-18T09:59:59.999000+00:00Z,36.94,37.25,33.46,34.45,74321.64,2601860.409,7862,40532.76,1415693.0579
2023-01-18T10:00:00+00:00Z,2023-01-18T10:59:59.999000+00:00Z,34.45,35.5,34.29,34.87,33063.15,1155203.8776,4318,21835.22,763005.6947
2023-01-18T11:00:00+00:00Z,2023-01-18T11:59:59.999000+00:00Z,34.82,36.85,34.55,35.75,33346.16,1187842.4035,4370,18378.94,655617.5201
2023-01-18T12:00:00+00:00Z,2023-01-18T12:59:59.999000+00:00Z,35.75,35.79,33.82,34.4,19336.62,671288.513,2935,7963.16,276707.7645
2023-01-18T13:00:00+00:00Z,2023-01-18T13:59:59.999000+00:00Z,34.47,34.9,33.91,34.13,16056.5,550900.1272,2155,8234.63,282898.5714
2023-01-18T14:00:00+00:00Z,2023-01-18T14:59:59.999000+00:00Z,34.13,35.0,34.11,34.76,13847.24,477938.9794,1806,6504.88,224710.9096
2023-01-18T15:00:00+00:00Z,2023-01-18T15:59:59.999000+00:00Z,34.8,35.69,31.7,32.35,31317.36,1074667.7465,3688,13288.31,457506.012
2023-01-18T16:00:00+00:00Z,2023-01-18T16:59:59.999000+00:00Z,32.36,32.6,29.5,30.79,50209.83,1552384.2046,5304,19798.93,613655.7613
2023-01-18T17:00:00+00:00Z,2023-01-18T17:59:59.999000+00:00Z,30.89,32.9,30.66,31.77,25531.4,812515.2,3278,13852.21,439884.2878
