# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SAHARAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-06-26T12:00:00+00:00Z
# t0_final_iso,2025-06-26T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e7354cdf303b773f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-06-26T12:00:00+00:00Z,2025-06-26T12:59:59.999000+00:00Z,0.02,0.158,0.02,0.1305,664806916.0,96014734.93608,498725,312860698.0,45302197.75876
2025-06-26T13:00:00+00:00Z,2025-06-26T13:59:59.999000+00:00Z,0.1305,0.135,0.11,0.11629,226941194.0,27849085.23997,228188,111941542.0,13778477.7964
2025-06-26T14:00:00+00:00Z,2025-06-26T14:59:59.999000+00:00Z,0.11631,0.11798,0.09375,0.09389,141778417.0,14929494.56548,140931,64192247.0,6751322.0366
2025-06-26T15:00:00+00:00Z,2025-06-26T15:59:59.999000+00:00Z,0.0938,0.09989,0.09212,0.09408,83720330.0,7978448.6082,78401,42634402.0,4066398.12722
2025-06-26T16:00:00+00:00Z,2025-06-26T16:59:59.999000+00:00Z,0.09409,0.1095,0.09352,0.10095,110207720.0,11149018.2214,88799,56736655.0,5739251.64396
2025-06-26T17:00:00+00:00Z,2025-06-26T17:59:59.999000+00:00Z,0.10098,0.10355,0.091,0.09101,58529680.0,5750197.05083,55842,28045350.0,2759279.57318
2025-06-26T18:00:00+00:00Z,2025-06-26T18:59:59.999000+00:00Z,0.09101,0.09206,0.08608,0.08879,52749170.0,4689936.5579,43659,26521281.0,2358910.70926
2025-06-26T19:00:00+00:00Z,2025-06-26T19:59:59.999000+00:00Z,0.08874,0.09134,0.086,0.0894,28678470.0,2534324.24483,26795,14652346.0,1296015.58356
2025-06-26T20:00:00+00:00Z,2025-06-26T20:59:59.999000+00:00Z,0.08929,0.0925,0.0881,0.08948,38729453.0,3477349.56307,35444,21704438.0,1949636.89754
2025-06-26T21:00:00+00:00Z,2025-06-26T21:59:59.999000+00:00Z,0.0895,0.09266,0.08884,0.09144,25035663.0,2272624.94943,21674,13336097.0,1210707.83634
2025-06-26T22:00:00+00:00Z,2025-06-26T22:59:59.999000+00:00Z,0.09142,0.09676,0.09069,0.09144,37922022.0,3553919.87259,34948,21413858.0,2007801.42473
2025-06-26T23:00:00+00:00Z,2025-06-26T23:59:59.999000+00:00Z,0.0914,0.09549,0.0911,0.09501,19179296.0,1794007.92395,22670,9892304.0,925106.30508
