# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SANTOSUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-12-01T11:00:00+00:00Z
# t0_final_iso,2021-12-01T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d4fcc3d261066d70
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-01T11:00:00+00:00Z,2021-12-01T11:59:59.999000+00:00Z,2.5,35.993,2.5,16.726,6485766.43,139692276.69834,307704,3177978.34,69067501.45647
2021-12-01T12:00:00+00:00Z,2021-12-01T12:59:59.999000+00:00Z,16.746,17.8,15.597,16.731,1921169.98,32350421.13079,81928,1024848.19,17319106.50312
2021-12-01T13:00:00+00:00Z,2021-12-01T13:59:59.999000+00:00Z,16.73,16.9,13.686,14.528,1305558.69,18994004.32743,45105,606494.43,8784586.79867
2021-12-01T14:00:00+00:00Z,2021-12-01T14:59:59.999000+00:00Z,14.5,14.536,13.068,14.069,834712.94,11494463.55484,26356,427624.31,5901480.11544
2021-12-01T15:00:00+00:00Z,2021-12-01T15:59:59.999000+00:00Z,14.067,14.6,12.012,12.473,734080.57,9653048.26681,23358,343198.65,4536079.4278
2021-12-01T16:00:00+00:00Z,2021-12-01T16:59:59.999000+00:00Z,12.479,14.369,12.3,13.236,1263994.03,17031701.8342,34213,763104.8,10309299.8503
2021-12-01T17:00:00+00:00Z,2021-12-01T17:59:59.999000+00:00Z,13.236,14.148,12.433,12.924,415477.6,5500222.42445,17316,212682.69,2823199.40385
2021-12-01T18:00:00+00:00Z,2021-12-01T18:59:59.999000+00:00Z,12.937,14.4,12.922,13.6,721451.73,9927059.52335,27744,420219.17,5779699.94624
2021-12-01T19:00:00+00:00Z,2021-12-01T19:59:59.999000+00:00Z,13.594,13.7,12.873,13.104,291915.25,3871909.765,13079,141456.99,1878016.0736
2021-12-01T20:00:00+00:00Z,2021-12-01T20:59:59.999000+00:00Z,13.104,13.59,12.561,12.686,302465.66,3945197.91171,12666,163828.55,2139024.44637
