# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SEIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-08-15T12:00:00+00:00Z
# t0_final_iso,2023-08-15T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8687a32bcd18f34a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-08-15T12:00:00+00:00Z,2023-08-15T12:59:59.999000+00:00Z,0.064,0.48,0.064,0.1734,327660307.9,59789332.16811,191153,160966723.0,29478565.61674
2023-08-15T13:00:00+00:00Z,2023-08-15T13:59:59.999000+00:00Z,0.1735,0.1969,0.1726,0.1804,104541986.3,19445402.05667,73466,53682957.9,9994015.17939
2023-08-15T14:00:00+00:00Z,2023-08-15T14:59:59.999000+00:00Z,0.1804,0.191,0.1799,0.1886,31906743.5,5966713.5994,26122,16684435.8,3122679.72647
2023-08-15T15:00:00+00:00Z,2023-08-15T15:59:59.999000+00:00Z,0.1886,0.197,0.186,0.1903,42899613.6,8221781.21358,28479,21374899.3,4100285.03427
2023-08-15T16:00:00+00:00Z,2023-08-15T16:59:59.999000+00:00Z,0.1903,0.1905,0.1695,0.1723,31955524.3,5736887.21348,21023,10388746.6,1864279.19927
2023-08-15T17:00:00+00:00Z,2023-08-15T17:59:59.999000+00:00Z,0.1722,0.1835,0.1674,0.1818,37833853.0,6591270.65818,21525,19796347.3,3445396.44052
2023-08-15T18:00:00+00:00Z,2023-08-15T18:59:59.999000+00:00Z,0.1815,0.1821,0.1724,0.1733,9530584.4,1696713.173,9479,4173378.8,744271.55174
2023-08-15T19:00:00+00:00Z,2023-08-15T19:59:59.999000+00:00Z,0.1733,0.1792,0.167,0.1728,12967312.8,2246859.82338,10802,6474606.4,1122441.53038
2023-08-15T20:00:00+00:00Z,2023-08-15T20:59:59.999000+00:00Z,0.1729,0.1759,0.1675,0.1681,7547138.0,1296087.65165,6548,3416160.0,587248.40365
2023-08-15T21:00:00+00:00Z,2023-08-15T21:59:59.999000+00:00Z,0.1681,0.1725,0.1662,0.1678,7373780.2,1249231.90788,5617,3789653.4,642494.24244
